application_id,race,work_exp,work_industry
96,Black,4.0,Consulting
97,Asian,5.0,Technology
98,,5.0,CPG
99,White,5.0,Health Care
100,White,5.0,Consulting
101,Hispanic,6.0,Real Estate
102,Hispanic,4.0,Investment Banking
103,Black,6.0,Health Care
104,,5.0,Financial Services
105,Hispanic,4.0,Nonprofit/Gov
106,Asian,6.0,PE/VC
107,,4.0,Health Care
108,White,5.0,Consulting
109,,5.0,Other
110,Black,4.0,PE/VC
111,Black,6.0,Consulting
112,Hispanic,6.0,Investment Banking
113,Hispanic,5.0,Other
114,Asian,7.0,Consulting
115,Asian,5.0,Nonprofit/Gov
116,Hispanic,4.0,Media/Entertainment
117,White,5.0,Consulting
118,Black,4.0,Consulting
119,White,4.0,Financial Services
120,,6.0,Real Estate
121,Black,5.0,Technology
122,,4.0,Consulting
123,,4.0,PE/VC
124,Asian,6.0,Technology
125,,6.0,Technology
126,White,6.0,PE/VC
127,,5.0,Nonprofit/Gov
128,Black,7.0,Nonprofit/Gov
129,Black,7.0,Other
130,White,6.0,Other
131,White,4.0,Consulting
132,Other,6.0,Other
133,,2.0,PE/VC
134,White,7.0,Real Estate
135,White,6.0,Consulting
136,Black,5.0,Consulting
137,White,4.0,Financial Services
138,,5.0,Consulting
139,Asian,5.0,Investment Banking
140,Hispanic,5.0,Technology
141,Asian,6.0,Consulting
142,,4.0,Investment Banking
143,,5.0,PE/VC
144,Asian,5.0,Nonprofit/Gov
145,Asian,5.0,Investment Management
146,White,6.0,Technology
147,Black,7.0,Investment Management
148,Black,6.0,Financial Services
149,Asian,4.0,Investment Banking
150,Hispanic,6.0,Technology
151,Asian,5.0,Technology
152,Asian,5.0,Technology
153,,5.0,Real Estate
154,,4.0,Consulting
155,Asian,6.0,PE/VC
156,White,5.0,PE/VC
157,,6.0,Financial Services
158,Asian,6.0,Nonprofit/Gov
159,,6.0,Nonprofit/Gov
160,,7.0,PE/VC
161,White,3.0,PE/VC
162,White,4.0,Consulting
163,Black,4.0,PE/VC
164,,5.0,Consulting
165,Asian,9.0,Consulting
166,White,4.0,Nonprofit/Gov
167,White,3.0,Consulting
168,Black,5.0,PE/VC
169,,5.0,Investment Banking
170,Black,6.0,Health Care
171,Asian,4.0,CPG
172,Asian,6.0,Financial Services
173,Asian,7.0,PE/VC
174,Hispanic,3.0,PE/VC
175,,6.0,Nonprofit/Gov
176,Asian,6.0,Technology
177,White,5.0,Consulting
178,Other,3.0,Other
179,Asian,3.0,Consulting
180,,4.0,Technology
181,,4.0,Nonprofit/Gov
182,Black,5.0,Investment Management
183,White,5.0,Consulting
184,,6.0,Energy
185,,6.0,Nonprofit/Gov
186,,6.0,Other
187,,6.0,Technology
188,Hispanic,5.0,Other
189,White,6.0,PE/VC
190,,6.0,Consulting
191,White,5.0,Nonprofit/Gov
192,Asian,7.0,Investment Management
193,Black,3.0,Real Estate
194,Asian,5.0,Energy
195,,5.0,Financial Services
196,White,3.0,Nonprofit/Gov
197,,5.0,Consulting
198,Hispanic,3.0,PE/VC
199,Other,5.0,Consulting
200,Hispanic,6.0,Investment Management
201,Hispanic,5.0,Technology
202,Black,5.0,Financial Services
203,,6.0,Consulting
204,,6.0,Nonprofit/Gov
205,,3.0,Nonprofit/Gov
206,White,8.0,Consulting
207,Other,6.0,Consulting
208,,6.0,Consulting
209,White,5.0,Consulting
210,White,5.0,Nonprofit/Gov
211,,4.0,Nonprofit/Gov
212,White,5.0,Technology
213,Black,5.0,Technology
214,White,6.0,Technology
215,,5.0,Technology
216,Asian,5.0,PE/VC
217,Asian,5.0,Consulting
218,Asian,4.0,Consulting
219,White,3.0,Consulting
220,Black,5.0,Technology
221,Asian,5.0,Other
222,Black,4.0,PE/VC
223,White,6.0,Other
224,Asian,5.0,Investment Banking
225,Asian,4.0,Consulting
226,Asian,4.0,PE/VC
227,Asian,4.0,Consulting
228,Black,5.0,Consulting
229,,6.0,Other
230,Hispanic,6.0,Nonprofit/Gov
231,,6.0,Technology
232,Asian,5.0,PE/VC
233,,8.0,Technology
234,,5.0,Nonprofit/Gov
235,Black,4.0,Other
236,Black,5.0,Consulting
237,White,3.0,Consulting
238,White,4.0,PE/VC
239,White,5.0,Media/Entertainment
240,Black,5.0,Health Care
241,White,6.0,Technology
242,Asian,4.0,Financial Services
243,,5.0,Investment Management
244,Asian,7.0,PE/VC
245,Asian,6.0,Other
246,Asian,5.0,Other
247,,5.0,Other
248,White,5.0,PE/VC
249,,5.0,Consulting
250,Hispanic,5.0,Nonprofit/Gov
251,Asian,4.0,Investment Banking
252,White,4.0,Nonprofit/Gov
253,White,5.0,Financial Services
254,Black,6.0,Health Care
255,Black,5.0,Consulting
256,,3.0,Nonprofit/Gov
257,Black,4.0,Technology
258,,4.0,Investment Banking
259,Black,3.0,Technology
260,Black,5.0,PE/VC
261,,4.0,Consulting
262,Black,6.0,Consulting
263,White,6.0,Investment Management
264,Hispanic,4.0,PE/VC
265,,5.0,Technology
266,White,5.0,Nonprofit/Gov
267,White,5.0,Consulting
268,Hispanic,5.0,Nonprofit/Gov
269,Hispanic,4.0,PE/VC
270,,5.0,Nonprofit/Gov
271,,4.0,Consulting
272,Other,5.0,Other
273,Other,6.0,Investment Banking
274,Asian,4.0,Investment Banking
275,,5.0,Technology
276,Asian,5.0,Consulting
277,White,3.0,Investment Banking
278,Black,5.0,Financial Services
279,Black,6.0,Technology
280,Asian,5.0,PE/VC
281,,5.0,PE/VC
282,White,6.0,Technology
283,White,4.0,Investment Banking
284,Asian,4.0,Nonprofit/Gov
285,Black,5.0,PE/VC
286,Asian,6.0,PE/VC
287,,7.0,Consulting
288,Hispanic,2.0,PE/VC
289,Asian,3.0,Media/Entertainment
290,,4.0,Technology
291,Asian,7.0,Nonprofit/Gov
292,,6.0,Nonprofit/Gov
293,White,7.0,Nonprofit/Gov
294,Asian,5.0,Technology
295,Asian,4.0,Consulting
296,Asian,5.0,Consulting
297,,5.0,Consulting
298,Black,5.0,Financial Services
299,Asian,4.0,PE/VC
300,White,3.0,Nonprofit/Gov
301,Hispanic,5.0,Nonprofit/Gov
302,Asian,4.0,Technology
303,Hispanic,6.0,Technology
304,Black,6.0,Consulting
305,Asian,5.0,Investment Banking
306,Hispanic,6.0,Consulting
307,Asian,6.0,Technology
308,Asian,4.0,PE/VC
309,Asian,5.0,Health Care
310,White,5.0,Investment Banking
311,Other,5.0,Investment Management
312,Hispanic,2.0,Investment Banking
313,White,4.0,PE/VC
314,Asian,5.0,Consulting
315,White,5.0,Consulting
316,Asian,4.0,Investment Management
317,White,6.0,PE/VC
318,,4.0,Health Care
319,White,5.0,Consulting
320,Asian,4.0,Consulting
321,Black,6.0,Investment Banking
322,,5.0,Other
323,Black,6.0,Technology
324,,5.0,Nonprofit/Gov
325,Asian,4.0,Other
326,Hispanic,5.0,Health Care
327,White,4.0,Consulting
328,,6.0,Technology
329,White,6.0,Other
330,Asian,4.0,Other
331,Hispanic,5.0,Financial Services
332,,5.0,Consulting
333,White,5.0,Other
334,,5.0,Financial Services
335,,7.0,Real Estate
336,White,6.0,PE/VC
337,Asian,5.0,Nonprofit/Gov
338,,4.0,Financial Services
339,,5.0,Consulting
340,,5.0,Consulting
341,Other,6.0,Real Estate
342,White,6.0,Investment Banking
343,,4.0,Technology
344,White,6.0,Nonprofit/Gov
345,White,7.0,Financial Services
346,,5.0,Investment Banking
347,White,5.0,Technology
348,Black,5.0,Technology
349,White,4.0,Other
350,Hispanic,5.0,Consulting
351,Asian,5.0,Consulting
352,,6.0,Financial Services
353,White,4.0,Technology
354,White,6.0,Consulting
355,Black,5.0,PE/VC
356,White,5.0,Consulting
357,,6.0,Nonprofit/Gov
358,,5.0,Consulting
359,,3.0,Consulting
360,Asian,5.0,PE/VC
361,Black,4.0,Consulting
362,,7.0,Health Care
363,Black,5.0,Consulting
364,Other,5.0,Other
365,White,6.0,Consulting
366,White,4.0,Consulting
367,,6.0,PE/VC
368,Black,6.0,Other
369,Asian,5.0,Investment Banking
370,White,5.0,Technology
371,,6.0,Investment Banking
372,White,6.0,Other
373,Hispanic,4.0,PE/VC
374,,4.0,Consulting
375,Black,8.0,Technology
376,Black,6.0,PE/VC
377,,3.0,Financial Services
378,,7.0,CPG
379,Other,6.0,PE/VC
380,,6.0,Technology
381,White,6.0,Consulting
382,Asian,4.0,Consulting
383,Asian,5.0,Nonprofit/Gov
384,,6.0,Consulting
385,Hispanic,4.0,CPG
386,White,5.0,Investment Banking
387,Asian,5.0,Consulting
388,,5.0,Health Care
389,Hispanic,6.0,Investment Management
390,White,6.0,Other
391,Asian,3.0,Consulting
392,White,4.0,Financial Services
393,,5.0,Health Care
394,White,5.0,Financial Services
395,,5.0,Real Estate
396,Other,5.0,CPG
397,White,4.0,Financial Services
398,White,4.0,PE/VC
399,Hispanic,5.0,Other
400,White,3.0,PE/VC
401,Black,6.0,Consulting
402,Black,6.0,PE/VC
403,,5.0,Other
404,White,6.0,Consulting
405,White,4.0,PE/VC
406,White,5.0,Investment Banking
407,Black,5.0,Investment Banking
408,White,6.0,Nonprofit/Gov
409,,7.0,Investment Banking
410,Asian,5.0,Health Care
411,Asian,5.0,Consulting
412,White,5.0,Consulting
413,Asian,4.0,PE/VC
414,Asian,6.0,PE/VC
415,,5.0,Financial Services
416,Asian,4.0,Technology
417,White,5.0,Consulting
418,Asian,5.0,Technology
419,White,4.0,Consulting
420,,5.0,Health Care
421,Black,5.0,Nonprofit/Gov
422,Asian,6.0,Investment Banking
423,Asian,3.0,PE/VC
424,White,4.0,Investment Banking
425,Black,5.0,Consulting
426,,5.0,Consulting
427,,4.0,PE/VC
428,Black,5.0,PE/VC
429,,4.0,Consulting
430,Asian,5.0,Health Care
431,White,4.0,Consulting
432,White,6.0,Technology
433,White,4.0,Consulting
434,,4.0,PE/VC
435,Asian,5.0,Health Care
436,Asian,5.0,Other
437,White,5.0,Consulting
438,Asian,3.0,Technology
439,White,4.0,Consulting
440,White,5.0,Technology
441,White,7.0,PE/VC
442,,5.0,Consulting
443,White,4.0,Technology
444,Hispanic,5.0,Technology
445,White,5.0,Investment Management
446,,5.0,Investment Banking
447,Black,4.0,Consulting
448,Black,4.0,Investment Banking
449,White,5.0,Investment Banking
450,Asian,6.0,Real Estate
451,Black,5.0,Consulting
452,,5.0,Consulting
453,,4.0,Technology
454,Asian,5.0,Nonprofit/Gov
455,Black,6.0,Nonprofit/Gov
456,Black,6.0,Technology
457,White,5.0,Technology
458,Asian,4.0,Real Estate
459,Other,6.0,Technology
460,Asian,5.0,Consulting
461,Asian,3.0,PE/VC
462,White,5.0,PE/VC
463,,5.0,Real Estate
464,Asian,6.0,Investment Banking
465,White,6.0,Consulting
466,Asian,4.0,Health Care
467,White,5.0,Health Care
468,Asian,4.0,Health Care
469,Asian,4.0,Other
470,White,6.0,Technology
471,Hispanic,6.0,Nonprofit/Gov
472,Black,6.0,Nonprofit/Gov
473,Black,5.0,Investment Banking
474,Other,5.0,Technology
475,Hispanic,7.0,Consulting
476,Asian,6.0,Consulting
477,,4.0,Financial Services
478,White,4.0,Technology
479,Hispanic,5.0,PE/VC
480,Hispanic,5.0,Investment Banking
481,,2.0,PE/VC
482,,6.0,PE/VC
483,,6.0,Consulting
484,Other,5.0,Financial Services
485,,5.0,Real Estate
486,,5.0,Nonprofit/Gov
487,Hispanic,4.0,Media/Entertainment
488,White,5.0,Technology
489,,3.0,Consulting
490,White,5.0,Nonprofit/Gov
491,,5.0,Consulting
492,White,3.0,PE/VC
493,White,3.0,Nonprofit/Gov
494,,4.0,Nonprofit/Gov
495,White,8.0,CPG
496,Hispanic,5.0,PE/VC
497,White,4.0,PE/VC
498,White,3.0,PE/VC
499,White,5.0,Financial Services
500,Black,5.0,PE/VC
501,Black,3.0,Financial Services
502,Black,5.0,PE/VC
503,Asian,6.0,Other
504,Black,4.0,Technology
505,,6.0,Consulting
506,,5.0,Consulting
507,White,5.0,Technology
508,Asian,4.0,Technology
509,Asian,6.0,PE/VC
510,White,5.0,Technology
511,Asian,5.0,PE/VC
512,,4.0,Investment Banking
513,Asian,6.0,Nonprofit/Gov
514,Asian,4.0,Consulting
515,Other,4.0,Consulting
516,White,5.0,Consulting
517,,4.0,Health Care
518,,6.0,Consulting
519,,4.0,Real Estate
520,Black,5.0,Health Care
521,Asian,5.0,Nonprofit/Gov
522,,6.0,Technology
523,Hispanic,4.0,Financial Services
524,,4.0,Technology
525,,4.0,Other
526,Hispanic,5.0,Nonprofit/Gov
527,Asian,5.0,Technology
528,White,5.0,Financial Services
529,Other,5.0,Other
530,Other,6.0,Investment Banking
531,,5.0,Technology
532,Asian,5.0,PE/VC
533,Black,5.0,Investment Banking
534,,6.0,Investment Banking
535,White,5.0,Investment Banking
536,Asian,5.0,Investment Banking
537,Black,4.0,Retail
538,Asian,6.0,PE/VC
539,White,4.0,PE/VC
540,Asian,5.0,Other
541,,4.0,Consulting
542,White,4.0,PE/VC
543,Hispanic,5.0,Technology
544,,4.0,Technology
545,Hispanic,3.0,Nonprofit/Gov
546,Hispanic,5.0,Consulting
547,Other,4.0,Technology
548,White,6.0,Consulting
549,Black,4.0,Real Estate
550,Asian,4.0,Other
551,White,5.0,Consulting
552,Asian,4.0,Nonprofit/Gov
553,White,5.0,Investment Banking
554,White,5.0,Financial Services
555,Black,5.0,Investment Banking
556,,4.0,Investment Banking
557,Hispanic,5.0,PE/VC
558,,6.0,Nonprofit/Gov
559,White,6.0,Investment Banking
560,,7.0,Financial Services
561,Asian,6.0,Consulting
562,,4.0,Consulting
563,White,5.0,Consulting
564,,5.0,Other
565,Black,7.0,PE/VC
566,Other,5.0,Other
567,Black,4.0,PE/VC
568,Black,4.0,Investment Management
569,White,4.0,Other
570,Black,6.0,Other
571,Black,4.0,Investment Banking
572,White,4.0,Consulting
573,,4.0,Consulting
574,White,4.0,Consulting
575,,4.0,Consulting
576,,6.0,Investment Management
577,Asian,7.0,Technology
578,Asian,4.0,Technology
579,Hispanic,6.0,Technology
580,Asian,5.0,Other
581,White,4.0,Nonprofit/Gov
582,Black,4.0,Nonprofit/Gov
583,White,4.0,Investment Banking
584,White,3.0,Consulting
585,,5.0,Other
586,Asian,5.0,Consulting
587,Black,4.0,Consulting
588,Black,3.0,PE/VC
589,Black,5.0,Consulting
590,White,3.0,Nonprofit/Gov
591,,4.0,Nonprofit/Gov
592,White,4.0,Nonprofit/Gov
593,White,6.0,Consulting
594,,5.0,Consulting
595,Asian,6.0,Consulting
596,,5.0,Financial Services
597,White,7.0,Nonprofit/Gov
598,,5.0,Nonprofit/Gov
599,Asian,6.0,Real Estate
600,,5.0,Nonprofit/Gov
601,,5.0,Investment Management
602,White,3.0,Other
603,,7.0,PE/VC
604,Black,7.0,Technology
605,Black,6.0,Consulting
606,White,5.0,Other
607,,3.0,Consulting
608,Hispanic,5.0,Technology
609,Asian,6.0,Nonprofit/Gov
610,Asian,6.0,Nonprofit/Gov
611,Asian,5.0,Real Estate
612,Asian,5.0,Technology
613,White,5.0,PE/VC
614,White,7.0,Consulting
615,Black,5.0,Technology
616,Black,5.0,PE/VC
617,,5.0,Technology
618,Black,5.0,Consulting
619,Other,5.0,Health Care
620,Asian,4.0,Consulting
621,Other,5.0,Technology
622,Hispanic,5.0,Technology
623,Black,4.0,CPG
624,Black,6.0,Consulting
625,,7.0,Health Care
626,,6.0,Real Estate
627,,4.0,Technology
628,Hispanic,5.0,Health Care
629,Asian,6.0,Media/Entertainment
630,Black,5.0,Investment Banking
631,White,3.0,Consulting
632,,6.0,Other
633,Hispanic,5.0,Health Care
634,Asian,4.0,Energy
635,White,6.0,Technology
636,,4.0,PE/VC
637,Hispanic,5.0,Nonprofit/Gov
638,,3.0,Consulting
639,,5.0,Financial Services
640,Asian,6.0,Health Care
641,,5.0,PE/VC
642,,5.0,Consulting
643,Black,4.0,CPG
644,White,6.0,Technology
645,,5.0,Financial Services
646,,5.0,Technology
647,Asian,4.0,Nonprofit/Gov
648,,6.0,PE/VC
649,Asian,4.0,Technology
650,Asian,6.0,Investment Banking
651,Black,6.0,Consulting
652,,3.0,Consulting
653,,4.0,Consulting
654,,4.0,Consulting
655,,5.0,Financial Services
656,,6.0,Consulting
657,Asian,4.0,Technology
658,Other,6.0,Other
659,Other,6.0,Technology
660,,5.0,Financial Services
661,White,5.0,Financial Services
662,Asian,6.0,PE/VC
663,,4.0,Financial Services
664,White,5.0,Financial Services
665,,5.0,Financial Services
666,,4.0,Technology
667,,4.0,PE/VC
668,Asian,7.0,Investment Management
669,Black,6.0,Health Care
670,,5.0,Consulting
671,White,5.0,Health Care
672,Hispanic,6.0,Financial Services
673,White,4.0,Retail
674,Other,5.0,PE/VC
675,Black,4.0,Financial Services
676,Hispanic,3.0,Investment Management
677,Black,7.0,Consulting
678,White,4.0,Consulting
679,,3.0,Other
680,White,6.0,Nonprofit/Gov
681,,5.0,Consulting
682,White,6.0,Consulting
683,Black,4.0,Technology
684,White,6.0,Technology
685,White,5.0,Financial Services
686,Other,5.0,Technology
687,Asian,6.0,Health Care
688,Hispanic,4.0,Consulting
689,,6.0,Consulting
690,White,6.0,Health Care
691,,4.0,Consulting
692,,5.0,Consulting
693,,4.0,Technology
694,,5.0,Other
695,,6.0,Media/Entertainment
696,Hispanic,5.0,Health Care
697,White,5.0,PE/VC
698,,4.0,Consulting
699,Black,6.0,PE/VC
700,,4.0,Investment Banking
701,Asian,5.0,Consulting
702,Asian,6.0,Other
703,Black,6.0,Consulting
704,Other,6.0,PE/VC
705,Asian,6.0,Financial Services
706,Asian,3.0,Investment Banking
707,Asian,4.0,Consulting
708,White,5.0,PE/VC
709,,3.0,Consulting
710,White,6.0,Consulting
711,Asian,4.0,Retail
712,Other,4.0,Consulting
713,White,6.0,Consulting
714,Asian,7.0,Consulting
715,Asian,4.0,Retail
716,,5.0,Nonprofit/Gov
717,White,3.0,Consulting
718,Hispanic,6.0,Consulting
719,Asian,4.0,Technology
720,,6.0,Consulting
721,,3.0,Media/Entertainment
722,Asian,6.0,Investment Management
723,,5.0,Nonprofit/Gov
724,,5.0,Health Care
725,White,4.0,PE/VC
726,,6.0,Nonprofit/Gov
727,White,5.0,Financial Services
728,Hispanic,4.0,Investment Banking
729,,6.0,Consulting
730,Asian,4.0,Technology
731,White,5.0,Technology
732,,6.0,Financial Services
733,White,5.0,Consulting
734,Asian,6.0,Nonprofit/Gov
735,,5.0,Technology
736,Black,4.0,PE/VC
737,Black,4.0,Other
738,Asian,3.0,Consulting
739,White,2.0,Technology
740,Hispanic,6.0,Investment Banking
741,Black,5.0,Nonprofit/Gov
742,Asian,5.0,Consulting
743,White,4.0,Consulting
744,White,5.0,Consulting
745,Hispanic,5.0,Consulting
746,White,5.0,PE/VC
747,,4.0,Investment Banking
748,,4.0,CPG
749,White,4.0,Consulting
750,,5.0,Consulting
751,Hispanic,6.0,PE/VC
752,,4.0,Health Care
753,,6.0,Technology
754,,5.0,Other
755,Asian,3.0,Health Care
756,Asian,5.0,Other
757,,4.0,Nonprofit/Gov
758,,4.0,Consulting
759,White,3.0,Consulting
760,Asian,6.0,Technology
761,,5.0,Consulting
762,Black,6.0,Consulting
763,Asian,6.0,Consulting
764,,5.0,Health Care
765,Black,7.0,Consulting
766,Black,4.0,Nonprofit/Gov
767,,6.0,Consulting
768,White,6.0,PE/VC
769,Black,6.0,Technology
770,Black,6.0,Nonprofit/Gov
771,White,6.0,Health Care
772,Black,5.0,Nonprofit/Gov
773,,5.0,Technology
774,,4.0,Consulting
775,Black,5.0,Investment Management
776,,3.0,Consulting
777,Black,5.0,Other
778,,5.0,Health Care
779,Hispanic,4.0,Other
780,,5.0,Investment Banking
781,Black,6.0,Health Care
782,Black,6.0,Investment Banking
783,Asian,6.0,Consulting
784,,3.0,Technology
785,Asian,6.0,Nonprofit/Gov
786,,6.0,Nonprofit/Gov
787,White,4.0,Health Care
788,,5.0,Financial Services
789,,5.0,Consulting
790,,5.0,Nonprofit/Gov
791,Asian,5.0,PE/VC
792,Hispanic,5.0,Other
793,Black,7.0,PE/VC
794,Black,6.0,Investment Management
795,Asian,4.0,Financial Services
796,,5.0,Consulting
797,Hispanic,5.0,Financial Services
798,,4.0,Other
799,Hispanic,5.0,PE/VC
800,Hispanic,5.0,Financial Services
801,,6.0,Health Care
802,White,3.0,Consulting
803,,5.0,Financial Services
804,Hispanic,7.0,PE/VC
805,Black,4.0,Consulting
806,,5.0,Nonprofit/Gov
807,White,5.0,Investment Banking
808,Asian,4.0,Investment Banking
809,Black,4.0,Investment Banking
810,White,5.0,PE/VC
811,,5.0,Financial Services
812,,6.0,Health Care
813,White,4.0,PE/VC
814,,4.0,Consulting
815,Black,6.0,Nonprofit/Gov
816,Hispanic,4.0,PE/VC
817,White,3.0,Energy
818,,3.0,Financial Services
819,,4.0,Financial Services
820,,5.0,Other
821,,6.0,Investment Banking
822,White,6.0,CPG
823,,7.0,Consulting
824,Black,5.0,PE/VC
825,White,5.0,CPG
826,,5.0,PE/VC
827,Black,6.0,Technology
828,,4.0,PE/VC
829,Black,4.0,Health Care
830,White,6.0,Consulting
831,White,6.0,PE/VC
832,Hispanic,6.0,Nonprofit/Gov
833,White,5.0,Investment Banking
834,Asian,4.0,Technology
835,White,6.0,Other
836,,4.0,Other
837,Hispanic,6.0,Consulting
838,,4.0,PE/VC
839,Black,4.0,Nonprofit/Gov
840,,6.0,Investment Banking
841,Asian,6.0,Consulting
842,Asian,7.0,PE/VC
843,Asian,5.0,Consulting
844,,3.0,Nonprofit/Gov
845,Hispanic,6.0,PE/VC
846,White,5.0,Financial Services
847,,4.0,Consulting
848,,4.0,Other
849,Hispanic,6.0,Nonprofit/Gov
850,Asian,6.0,Consulting
851,White,5.0,Technology
852,Black,6.0,Nonprofit/Gov
853,,5.0,Retail
854,,5.0,Health Care
855,,5.0,Investment Banking
856,Hispanic,4.0,Consulting
857,Hispanic,6.0,CPG
858,Asian,5.0,Other
859,Hispanic,4.0,Health Care
860,,5.0,Consulting
861,White,4.0,Consulting
862,White,5.0,Investment Management
863,White,6.0,Nonprofit/Gov
864,,7.0,Media/Entertainment
865,,6.0,Nonprofit/Gov
866,White,6.0,Technology
867,White,5.0,CPG
868,Asian,5.0,Media/Entertainment
869,Black,7.0,Consulting
870,Hispanic,3.0,Nonprofit/Gov
871,,7.0,Nonprofit/Gov
872,Asian,5.0,Consulting
873,Hispanic,7.0,Consulting
874,,3.0,Financial Services
875,White,5.0,Investment Banking
876,,5.0,Consulting
877,Asian,6.0,Consulting
878,Asian,5.0,Media/Entertainment
879,White,6.0,Financial Services
880,White,5.0,PE/VC
881,,4.0,Other
882,,7.0,PE/VC
883,,5.0,Other
884,White,7.0,Financial Services
885,Hispanic,3.0,Financial Services
886,Asian,5.0,Consulting
887,Asian,7.0,Consulting
888,Asian,4.0,Nonprofit/Gov
889,,5.0,Consulting
890,,3.0,Consulting
891,Asian,5.0,PE/VC
892,Hispanic,5.0,Other
893,,7.0,Consulting
894,White,5.0,Consulting
895,Asian,6.0,Consulting
896,,7.0,Health Care
897,Hispanic,5.0,Technology
898,Asian,5.0,PE/VC
899,White,6.0,Technology
900,Other,5.0,Nonprofit/Gov
901,Asian,4.0,Consulting
902,,4.0,PE/VC
903,Black,5.0,Consulting
904,Asian,6.0,Real Estate
905,White,6.0,PE/VC
906,Hispanic,6.0,Other
907,,7.0,Consulting
908,White,3.0,Technology
909,Black,6.0,Consulting
910,Asian,7.0,Investment Banking
911,White,4.0,Consulting
912,,6.0,Nonprofit/Gov
913,,5.0,Technology
914,Asian,4.0,PE/VC
915,Black,5.0,Nonprofit/Gov
916,White,5.0,Consulting
917,,4.0,PE/VC
918,,4.0,Consulting
919,Asian,5.0,Consulting
920,Asian,6.0,Nonprofit/Gov
921,Hispanic,6.0,Nonprofit/Gov
922,,4.0,Investment Management
923,,5.0,Nonprofit/Gov
924,,7.0,Nonprofit/Gov
925,,5.0,Investment Banking
926,Asian,5.0,Investment Management
927,White,8.0,Other
928,Hispanic,6.0,Consulting
929,Hispanic,5.0,PE/VC
930,Asian,5.0,Consulting
931,Asian,5.0,Consulting
932,White,4.0,PE/VC
933,Asian,5.0,Other
934,,4.0,PE/VC
935,,5.0,Investment Banking
936,,5.0,CPG
937,,4.0,Consulting
938,Black,6.0,Consulting
939,White,3.0,Real Estate
940,Black,4.0,Technology
941,Asian,3.0,Consulting
942,Asian,4.0,Nonprofit/Gov
943,Black,5.0,Technology
944,,6.0,Technology
945,Hispanic,5.0,Technology
946,Hispanic,6.0,Other
947,Asian,5.0,Health Care
948,Hispanic,7.0,CPG
949,Asian,5.0,Investment Banking
950,Hispanic,5.0,Consulting
951,White,5.0,Financial Services
952,White,4.0,PE/VC
953,Black,6.0,Consulting
954,Asian,4.0,Financial Services
955,White,5.0,Technology
956,Black,5.0,Consulting
957,,4.0,PE/VC
958,Black,5.0,PE/VC
959,,5.0,PE/VC
960,Asian,6.0,PE/VC
961,,5.0,PE/VC
962,White,6.0,Real Estate
