application_id,gender,international,gpa,major,gmat,admission
75,Female,True,3.35,Business,640.0,Admit
76,Female,False,3.24,Humanities,590.0,Waitlist
77,Male,False,3.18,Humanities,640.0,
78,Male,True,3.2,Humanities,640.0,
79,Male,False,3.17,Business,640.0,
80,Female,False,3.1,STEM,680.0,Admit
81,Male,False,2.93,Humanities,620.0,
82,Male,True,3.2,STEM,730.0,
83,Male,False,3.52,STEM,610.0,
84,Female,False,3.35,Humanities,710.0,Admit
85,Male,False,3.15,STEM,620.0,
86,Male,False,3.21,Business,640.0,
87,Male,False,3.1,Business,670.0,
88,Male,False,3.48,Business,710.0,Admit
89,Male,False,3.15,Humanities,650.0,
90,Male,False,3.09,Business,610.0,
91,Female,False,3.14,Humanities,660.0,
92,Male,False,2.97,STEM,580.0,
93,Male,False,3.17,STEM,670.0,
94,Female,False,3.23,Humanities,620.0,Admit
95,Female,False,3.05,Humanities,600.0,Admit
96,Male,False,3.32,Business,670.0,Admit
97,Male,False,3.08,Humanities,640.0,
98,Male,True,3.36,STEM,690.0,
99,Male,False,3.1,Humanities,610.0,
100,Female,False,3.38,Humanities,660.0,Admit
101,Male,False,3.26,Humanities,650.0,
102,Male,False,3.2,Humanities,600.0,
103,Male,False,3.65,Humanities,700.0,
104,Female,True,3.34,Business,650.0,Admit
105,Female,False,3.3,Humanities,670.0,Admit
106,Male,False,3.11,Business,610.0,
107,Male,True,3.08,Humanities,740.0,
108,Male,False,3.2,STEM,590.0,
109,Male,True,3.3,STEM,590.0,
110,Male,False,3.21,Humanities,610.0,
111,Female,False,3.26,Humanities,670.0,
112,Female,False,3.29,STEM,640.0,
113,Female,False,3.25,Humanities,640.0,
114,Female,False,3.2,Humanities,680.0,Admit
115,Female,False,3.23,STEM,610.0,Admit
116,Male,False,3.32,Humanities,670.0,
117,Female,False,3.46,STEM,660.0,Admit
118,Female,False,3.29,Humanities,610.0,
119,Male,False,3.33,Humanities,680.0,Admit
120,Female,True,2.99,Humanities,570.0,Admit
121,Male,False,3.22,Business,610.0,
122,Female,True,3.29,Business,710.0,Admit
123,Male,True,3.26,Humanities,650.0,
124,Male,False,3.25,Humanities,620.0,
125,Male,True,3.32,STEM,630.0,
126,Male,False,3.44,Business,740.0,
127,Male,True,3.4,Humanities,730.0,
128,Female,False,3.51,Humanities,700.0,
129,Female,False,3.43,Humanities,710.0,
130,Female,False,3.27,Business,660.0,Admit
131,Male,False,3.34,Humanities,700.0,Admit
132,Male,False,3.07,Humanities,640.0,
133,Male,True,3.36,Humanities,670.0,
134,Male,False,3.21,Humanities,690.0,
135,Female,False,3.28,Humanities,610.0,Admit
136,Female,False,3.06,Business,650.0,
137,Male,False,3.32,Business,670.0,
138,Male,True,3.33,Humanities,670.0,
139,Female,False,3.31,STEM,600.0,Admit
140,Male,False,3.16,STEM,570.0,
141,Male,False,3.2,STEM,600.0,
142,Male,True,3.17,STEM,600.0,
143,Female,True,3.48,STEM,780.0,Admit
144,Male,False,3.1,STEM,570.0,
145,Male,False,2.95,Business,590.0,
146,Male,False,3.32,Humanities,570.0,
147,Male,False,3.24,Humanities,660.0,
148,Female,False,3.21,STEM,580.0,
149,Male,False,3.32,Humanities,660.0,
150,Male,False,3.2,Humanities,630.0,
151,Male,False,3.37,Business,710.0,Admit
152,Male,False,3.14,Humanities,620.0,
153,Female,True,3.32,Humanities,650.0,Admit
154,Female,True,3.13,Business,580.0,Admit
155,Female,False,3.55,Humanities,680.0,Admit
156,Male,False,3.22,STEM,620.0,
157,Male,True,3.42,STEM,630.0,
158,Female,False,3.18,STEM,650.0,Admit
159,Male,True,3.14,STEM,620.0,
160,Male,True,3.24,Humanities,680.0,
161,Male,False,3.3,Business,630.0,
162,Female,False,3.2,STEM,610.0,Admit
163,Male,False,3.41,Humanities,710.0,
164,Male,True,3.03,STEM,570.0,
165,Male,False,3.3,Humanities,640.0,
166,Female,False,3.17,STEM,600.0,Admit
167,Female,False,3.43,Business,680.0,Admit
168,Male,False,3.36,STEM,700.0,Admit
169,Female,True,3.15,STEM,650.0,Admit
170,Female,False,3.23,Business,680.0,Admit
171,Female,False,3.36,Humanities,710.0,Admit
172,Male,False,3.0,STEM,570.0,
173,Male,False,3.25,Humanities,640.0,
174,Male,False,3.15,Humanities,620.0,
175,Female,True,3.17,STEM,630.0,Admit
176,Male,False,2.97,STEM,610.0,
177,Female,False,3.25,Humanities,670.0,Admit
178,Male,False,3.33,Humanities,640.0,
179,Male,False,3.43,Business,680.0,
180,Male,True,3.17,Humanities,670.0,
181,Male,True,3.4,Business,750.0,
182,Male,False,3.24,STEM,600.0,
183,Male,False,3.34,Humanities,700.0,Admit
184,Male,True,3.29,Humanities,660.0,
185,Male,True,3.04,Business,660.0,
186,Male,True,3.4,Humanities,690.0,Admit
187,Male,True,3.01,Humanities,670.0,
188,Male,False,3.54,STEM,700.0,
189,Male,False,3.23,STEM,710.0,
190,Male,True,3.15,Humanities,650.0,
191,Female,False,3.32,Humanities,730.0,Admit
192,Male,False,3.47,Business,690.0,
193,Female,False,3.29,Business,590.0,
194,Male,False,3.2,STEM,690.0,
195,Female,True,3.48,Humanities,670.0,Admit
196,Female,False,3.14,Business,600.0,Admit
197,Male,True,3.45,Humanities,620.0,
198,Male,False,3.31,STEM,620.0,
199,Female,False,3.6,Humanities,670.0,Admit
200,Male,False,3.5,STEM,700.0,Admit
201,Male,False,3.61,Business,690.0,
202,Male,False,3.11,STEM,650.0,
203,Male,True,3.1,Humanities,580.0,
204,Male,True,3.06,STEM,620.0,
205,Male,True,3.18,Business,630.0,
206,Male,False,3.05,Humanities,570.0,
207,Male,False,3.45,Humanities,700.0,Admit
208,Female,True,3.26,Business,630.0,Admit
209,Male,False,3.35,Business,660.0,Admit
210,Female,False,3.23,Business,670.0,Admit
211,Male,True,3.11,Business,640.0,
212,Female,False,3.44,Business,750.0,Admit
213,Female,False,3.14,Humanities,580.0,
214,Female,False,3.24,Business,660.0,Admit
215,Male,True,3.43,Humanities,610.0,
216,Male,False,3.27,STEM,600.0,
217,Male,False,3.41,Humanities,670.0,
218,Female,False,3.02,Humanities,570.0,Admit
219,Male,False,3.24,STEM,670.0,
220,Male,False,3.23,STEM,630.0,
221,Male,False,3.09,Humanities,690.0,
222,Male,False,3.64,STEM,680.0,
223,Male,False,3.71,STEM,720.0,
224,Female,False,3.19,Business,630.0,Admit
225,Female,False,3.24,STEM,670.0,Admit
226,Male,False,3.01,Humanities,610.0,
227,Male,False,3.4,Business,630.0,
228,Female,False,3.18,Humanities,650.0,
229,Male,True,3.39,Humanities,650.0,
230,Female,False,3.06,STEM,640.0,
231,Male,True,3.01,Business,610.0,
232,Male,False,3.34,Business,590.0,
233,Male,True,3.34,STEM,680.0,
234,Male,True,3.33,STEM,720.0,Admit
235,Male,False,3.4,STEM,680.0,
236,Male,False,3.02,STEM,590.0,
237,Male,False,3.49,Humanities,720.0,
238,Male,False,3.45,Humanities,710.0,
239,Male,False,3.33,Humanities,660.0,
240,Female,False,3.27,Humanities,680.0,
241,Female,False,3.15,Business,620.0,Admit
242,Female,False,3.11,STEM,620.0,Admit
243,Male,True,3.15,Humanities,590.0,
244,Male,False,3.11,Business,600.0,
245,Male,False,3.17,Business,640.0,
246,Female,False,3.02,STEM,570.0,Admit
247,Male,True,3.04,STEM,630.0,
248,Male,False,3.22,STEM,650.0,
249,Male,True,3.77,STEM,780.0,
250,Female,False,3.31,Business,590.0,
251,Male,False,3.3,Humanities,660.0,
252,Male,False,3.26,Humanities,690.0,
253,Male,False,3.1,Humanities,570.0,
254,Female,False,3.61,Humanities,740.0,Admit
255,Female,False,3.33,Business,620.0,
256,Male,True,3.28,Humanities,750.0,
257,Female,False,3.47,STEM,730.0,
258,Male,True,3.27,Humanities,640.0,
259,Male,False,3.33,STEM,670.0,
260,Female,False,3.28,Humanities,650.0,
261,Male,True,3.32,Humanities,750.0,
262,Male,False,3.1,Business,620.0,
263,Male,False,3.21,Business,630.0,
264,Male,False,3.12,Humanities,620.0,
265,Male,True,3.05,Humanities,600.0,
266,Male,False,3.31,Humanities,620.0,
267,Male,False,3.28,STEM,600.0,
268,Male,False,2.95,Humanities,600.0,
269,Female,False,3.19,STEM,690.0,
270,Female,True,3.34,Humanities,670.0,Admit
271,Female,True,3.34,Business,620.0,Admit
272,Male,False,3.43,Humanities,680.0,
273,Female,False,3.23,Humanities,670.0,Admit
274,Male,False,3.31,STEM,650.0,
275,Male,True,3.3,STEM,650.0,
276,Female,False,3.05,Humanities,630.0,Admit
277,Male,False,3.52,Humanities,770.0,
278,Female,False,3.15,Business,570.0,
279,Female,False,3.11,Business,660.0,
280,Male,False,3.05,Business,610.0,
281,Male,True,3.04,Business,570.0,
282,Male,False,3.3,Business,650.0,
283,Male,False,3.58,Business,740.0,Admit
284,Female,False,2.97,Humanities,590.0,Admit
285,Male,False,3.29,STEM,630.0,
286,Female,False,3.49,Business,780.0,Admit
287,Female,True,3.33,STEM,640.0,Admit
288,Male,False,3.14,Business,580.0,
289,Male,False,3.42,STEM,750.0,Admit
290,Male,True,3.18,STEM,600.0,
291,Male,False,2.98,Business,630.0,
292,Female,True,2.99,Humanities,630.0,Admit
293,Male,False,3.1,Business,600.0,
294,Female,False,3.35,Business,670.0,Admit
295,Male,False,2.95,Humanities,570.0,
296,Male,False,3.16,Business,580.0,
297,Female,True,3.34,Humanities,570.0,Admit
298,Male,False,3.14,Business,660.0,
299,Male,False,3.1,STEM,630.0,
300,Male,False,3.21,Humanities,660.0,
301,Male,False,3.37,Business,690.0,
302,Male,False,3.36,Business,720.0,Admit
303,Male,False,3.2,Humanities,650.0,
304,Female,False,3.15,Business,620.0,
305,Male,False,3.53,STEM,660.0,Admit
306,Female,False,3.24,Humanities,660.0,
307,Female,False,3.25,Humanities,710.0,Admit
308,Female,False,3.34,Humanities,760.0,Admit
309,Male,False,3.16,STEM,650.0,
310,Male,False,3.4,STEM,630.0,
311,Male,False,3.49,Business,700.0,Admit
312,Male,False,3.17,Humanities,670.0,
313,Male,False,3.3,Business,650.0,
314,Female,False,3.25,Humanities,580.0,Admit
315,Male,False,3.33,Business,580.0,
316,Female,False,3.29,Humanities,700.0,Admit
317,Male,False,3.32,Humanities,700.0,
318,Female,True,3.33,STEM,680.0,Admit
319,Female,False,3.32,Humanities,630.0,Admit
320,Male,False,3.03,Humanities,590.0,
321,Male,False,3.44,Business,650.0,
322,Female,True,3.24,STEM,610.0,Admit
323,Female,False,3.36,Humanities,650.0,
324,Female,True,3.14,Humanities,580.0,Admit
325,Male,False,3.2,STEM,710.0,
326,Male,False,3.1,Humanities,570.0,
327,Male,False,3.37,Humanities,660.0,
328,Male,True,3.31,Humanities,610.0,
329,Male,False,3.34,STEM,750.0,
330,Male,False,3.38,Business,570.0,
331,Female,False,3.32,Humanities,600.0,
332,Male,True,3.33,Business,670.0,Admit
333,Male,False,3.23,STEM,600.0,
334,Male,True,3.06,STEM,630.0,
335,Male,True,3.01,Business,570.0,
336,Female,False,3.21,Humanities,700.0,Admit
337,Male,False,3.5,Humanities,670.0,
338,Female,True,3.29,Humanities,690.0,Admit
339,Male,True,3.2,Business,650.0,
340,Male,True,3.11,Humanities,600.0,
341,Female,False,3.1,Business,620.0,Admit
342,Male,False,3.39,Business,730.0,
343,Male,True,3.28,Business,660.0,
344,Female,False,3.18,STEM,590.0,Admit
345,Female,False,2.96,Humanities,580.0,Admit
346,Male,True,3.58,STEM,710.0,Admit
347,Female,False,3.35,STEM,700.0,Admit
348,Male,False,3.16,STEM,650.0,
349,Male,False,3.1,STEM,620.0,
350,Male,False,3.17,STEM,700.0,
351,Male,False,3.2,Business,690.0,
352,Female,True,3.09,Humanities,660.0,Admit
353,Female,False,3.47,Humanities,760.0,Admit
354,Male,False,3.24,STEM,630.0,
355,Male,False,3.28,STEM,720.0,Admit
356,Male,False,3.37,STEM,690.0,Admit
357,Female,True,3.31,Humanities,630.0,Admit
358,Female,True,3.03,Humanities,660.0,Admit
359,Male,True,3.05,Humanities,580.0,
360,Male,False,3.06,Humanities,600.0,
361,Male,False,3.41,Humanities,620.0,
362,Male,True,3.46,Humanities,650.0,
363,Male,False,3.16,STEM,620.0,
364,Male,False,3.06,Business,630.0,
365,Female,False,3.42,Humanities,700.0,Admit
366,Female,False,3.27,Business,660.0,Admit
367,Male,True,3.08,STEM,580.0,
368,Male,False,3.27,Humanities,690.0,
369,Male,False,3.22,Business,580.0,
370,Female,False,3.16,Humanities,620.0,Admit
371,Male,True,3.39,STEM,710.0,
372,Male,False,3.22,STEM,570.0,
373,Female,False,3.12,Business,570.0,
374,Female,True,3.21,STEM,600.0,Admit
375,Female,False,3.01,Humanities,660.0,
376,Female,False,3.47,Business,640.0,
377,Female,True,3.18,Business,690.0,Admit
378,Male,True,3.38,Humanities,680.0,
379,Female,False,3.11,STEM,610.0,Admit
380,Male,True,3.08,Humanities,620.0,
381,Female,False,3.26,STEM,650.0,Admit
382,Male,False,3.21,Business,630.0,
383,Female,False,3.1,Business,610.0,Admit
384,Male,True,3.17,Business,580.0,
385,Male,False,3.43,Humanities,660.0,Admit
386,Female,False,3.31,STEM,620.0,Admit
387,Female,False,3.03,Humanities,590.0,Admit
388,Female,True,3.08,STEM,630.0,Admit
389,Female,False,3.18,Humanities,620.0,
390,Male,False,3.47,Business,690.0,
391,Male,False,3.42,Business,720.0,
392,Female,False,3.34,Business,680.0,Admit
393,Male,True,3.37,Business,680.0,
394,Female,False,3.49,Humanities,690.0,Admit
395,Male,True,3.32,STEM,580.0,
396,Male,False,3.3,Humanities,620.0,
397,Male,False,3.38,Humanities,680.0,
398,Male,False,3.18,STEM,590.0,
399,Female,False,3.28,STEM,630.0,
400,Male,False,3.24,Humanities,600.0,
401,Male,False,3.15,Humanities,610.0,
402,Male,False,3.16,STEM,600.0,
403,Male,True,3.22,Humanities,640.0,
404,Female,False,3.35,Business,620.0,Admit
405,Female,False,3.36,Business,620.0,Admit
406,Female,False,3.06,Business,580.0,Admit
407,Male,False,3.17,STEM,660.0,
408,Female,False,3.06,Business,610.0,Admit
409,Male,True,3.39,Humanities,670.0,
410,Male,False,3.44,Business,600.0,
411,Male,False,3.14,Humanities,640.0,
412,Female,False,3.29,Business,600.0,Admit
413,Female,False,3.18,Humanities,630.0,Admit
414,Male,False,3.52,Business,730.0,
415,Male,True,3.31,Humanities,630.0,
416,Female,False,3.13,Humanities,670.0,Waitlist
417,Male,False,3.26,STEM,650.0,
418,Female,False,3.07,STEM,630.0,Waitlist
419,Male,False,3.07,Business,570.0,
420,Male,True,3.11,Business,620.0,
421,Male,False,3.21,Humanities,700.0,
422,Male,False,3.29,Humanities,640.0,
423,Male,False,3.39,Business,710.0,
424,Male,False,3.22,Business,650.0,
425,Male,False,3.23,STEM,680.0,
426,Female,True,3.0,Humanities,630.0,Admit
427,Male,True,3.12,Humanities,630.0,
428,Female,False,3.23,Humanities,630.0,
429,Male,True,3.34,Humanities,760.0,
430,Male,False,3.18,Business,640.0,
431,Male,False,3.33,STEM,640.0,
432,Male,False,3.56,STEM,710.0,
433,Male,False,3.13,Humanities,580.0,
434,Male,True,3.54,Business,690.0,Admit
435,Female,False,3.19,STEM,690.0,Waitlist
436,Male,False,3.28,STEM,680.0,
437,Female,False,3.43,Humanities,770.0,Admit
438,Female,False,3.12,Humanities,600.0,Waitlist
439,Male,False,3.37,Humanities,640.0,
440,Male,False,3.17,Business,630.0,
441,Female,False,3.46,STEM,680.0,Admit
442,Male,True,3.25,Business,670.0,
443,Female,False,3.25,STEM,620.0,Admit
444,Female,False,3.44,Humanities,740.0,
445,Female,False,3.18,Humanities,570.0,Admit
446,Male,True,3.22,STEM,630.0,
447,Female,False,3.03,Business,590.0,
448,Male,False,3.3,Business,680.0,
449,Male,False,3.33,Business,660.0,
450,Male,False,3.47,Business,660.0,
451,Male,False,3.3,Humanities,610.0,
452,Male,True,3.33,Business,680.0,
453,Male,True,3.11,Business,570.0,
454,Male,False,3.21,Humanities,650.0,
455,Male,False,3.21,STEM,650.0,
456,Male,False,3.27,Humanities,650.0,
457,Male,False,3.19,Business,650.0,
458,Male,False,3.43,Humanities,640.0,
459,Female,False,3.17,Business,660.0,Admit
460,Male,False,3.4,Business,680.0,Admit
461,Female,False,3.35,Humanities,660.0,Waitlist
462,Male,False,3.08,Humanities,690.0,
463,Male,True,3.46,Business,640.0,
464,Male,False,3.28,Business,600.0,
465,Female,False,3.06,STEM,590.0,Admit
466,Female,False,3.37,Humanities,640.0,Waitlist
467,Male,False,3.35,Business,760.0,
468,Female,False,3.19,Humanities,660.0,Waitlist
469,Female,False,3.36,Humanities,670.0,Admit
470,Female,False,3.22,Humanities,670.0,Admit
471,Male,False,3.37,Humanities,720.0,Admit
472,Female,False,3.17,Humanities,630.0,
473,Male,False,3.48,Business,690.0,Admit
474,Female,False,3.34,STEM,680.0,Admit
475,Female,False,3.18,STEM,680.0,
476,Female,False,3.1,Business,640.0,Waitlist
477,Male,True,3.13,Humanities,640.0,
478,Male,False,3.44,Business,740.0,
479,Male,False,3.24,STEM,620.0,
480,Female,False,3.26,Humanities,670.0,
481,Male,True,3.3,STEM,600.0,
482,Female,True,3.21,STEM,590.0,Admit
483,Female,True,3.28,Business,600.0,Admit
484,Female,False,3.27,Business,580.0,Admit
485,Female,True,3.2,STEM,610.0,Admit
486,Male,True,3.15,Business,600.0,
487,Male,False,3.54,Humanities,700.0,
488,Male,False,3.27,Business,620.0,
489,Male,True,3.48,STEM,680.0,
490,Male,False,3.11,STEM,640.0,
491,Male,True,3.3,Business,600.0,
492,Male,False,3.22,Humanities,640.0,
493,Male,False,3.11,Business,570.0,
494,Female,True,3.18,STEM,620.0,Admit
495,Male,False,3.15,Humanities,680.0,
496,Male,False,3.33,STEM,640.0,
497,Male,False,3.28,STEM,680.0,
498,Male,False,3.42,Business,720.0,Admit
499,Male,False,3.28,STEM,650.0,
500,Male,False,3.06,STEM,600.0,
501,Female,False,3.12,Business,650.0,
502,Male,False,2.96,Humanities,620.0,
503,Female,False,3.55,Business,640.0,Waitlist
504,Female,False,3.37,Humanities,640.0,
505,Male,True,3.27,STEM,620.0,
506,Male,True,3.11,STEM,590.0,
507,Female,False,3.33,STEM,660.0,Admit
508,Female,False,3.28,Humanities,690.0,Waitlist
509,Male,False,3.2,STEM,650.0,
510,Male,False,3.06,Humanities,630.0,
511,Female,False,3.51,STEM,780.0,Waitlist
512,Female,True,3.47,Business,650.0,Admit
513,Female,False,3.13,STEM,620.0,
514,Male,False,3.18,STEM,620.0,
515,Male,False,3.17,Business,610.0,
516,Male,False,3.32,Humanities,630.0,
517,Male,True,3.31,Business,700.0,
518,Female,True,3.23,Humanities,630.0,Admit
519,Male,True,3.2,Humanities,570.0,
520,Female,False,3.18,Business,600.0,
521,Male,False,3.32,Business,610.0,
522,Male,True,3.08,Business,690.0,
523,Male,False,3.32,STEM,690.0,
524,Male,True,3.16,STEM,660.0,
525,Male,True,3.33,Business,720.0,
526,Male,False,3.04,Humanities,570.0,
527,Male,False,3.18,Humanities,670.0,
528,Female,False,3.03,STEM,600.0,Admit
529,Female,False,3.42,Humanities,760.0,Admit
530,Female,False,3.27,Humanities,650.0,Admit
531,Female,True,3.13,Business,650.0,Admit
532,Male,False,3.2,Business,610.0,
533,Male,False,3.48,STEM,690.0,
534,Female,True,3.19,Business,590.0,Admit
535,Female,False,3.35,Humanities,720.0,Admit
536,Male,False,3.61,Business,690.0,
537,Male,False,3.23,STEM,630.0,
538,Male,False,3.35,Humanities,570.0,
539,Male,False,3.03,STEM,570.0,
540,Male,False,3.42,STEM,710.0,
541,Female,True,3.16,Humanities,690.0,Admit
542,Male,False,3.43,STEM,700.0,
543,Male,False,3.33,Humanities,640.0,
544,Male,True,3.15,STEM,680.0,
545,Male,False,3.25,Humanities,660.0,
546,Male,False,3.3,Humanities,780.0,
547,Male,False,3.0,Humanities,570.0,
548,Female,False,3.5,Humanities,680.0,Admit
549,Male,False,3.22,STEM,700.0,
550,Male,False,3.21,STEM,570.0,
551,Female,False,3.33,Business,630.0,Waitlist
552,Female,False,2.93,Humanities,590.0,
553,Female,False,3.35,Humanities,640.0,Waitlist
554,Male,False,3.27,Business,740.0,
555,Male,False,3.33,Humanities,620.0,
556,Female,True,3.23,Business,680.0,Admit
557,Male,False,3.26,Humanities,610.0,
558,Female,True,3.04,Business,620.0,Admit
559,Male,False,3.31,Humanities,580.0,
560,Male,True,3.17,STEM,590.0,
561,Male,False,3.31,STEM,680.0,
562,Male,True,3.06,Business,640.0,
563,Male,False,3.09,Humanities,570.0,
564,Female,True,3.36,STEM,690.0,Admit
565,Female,False,3.42,STEM,690.0,
566,Male,False,3.24,Humanities,640.0,
567,Male,False,3.18,Humanities,600.0,
568,Male,False,3.15,Humanities,570.0,
569,Male,False,3.41,Business,660.0,
570,Female,False,2.89,Humanities,590.0,
571,Male,False,3.37,STEM,690.0,
572,Male,False,3.23,Business,630.0,
573,Male,True,3.29,Business,670.0,
574,Female,False,3.16,Business,630.0,Waitlist
575,Male,True,3.04,Humanities,580.0,
576,Female,True,3.17,Humanities,630.0,Admit
577,Male,False,3.38,Humanities,720.0,
578,Male,False,3.23,Business,570.0,
579,Male,False,3.46,Business,660.0,Admit
580,Male,False,3.39,Business,650.0,
581,Male,False,3.32,Business,720.0,Admit
582,Male,False,3.34,STEM,670.0,
583,Male,False,3.33,STEM,680.0,Admit
584,Male,False,3.35,Business,660.0,Admit
585,Male,True,3.35,STEM,690.0,Admit
586,Female,False,3.01,Business,570.0,
587,Female,False,3.02,STEM,660.0,
588,Male,False,3.42,Humanities,780.0,
589,Male,False,3.01,Humanities,640.0,
590,Male,False,3.47,STEM,680.0,
591,Male,True,3.04,Business,620.0,
592,Female,False,3.33,Humanities,700.0,Admit
593,Male,False,3.44,Business,660.0,Admit
594,Female,True,3.19,STEM,700.0,Admit
595,Male,False,3.07,Humanities,570.0,
596,Male,True,3.29,Business,630.0,
597,Male,False,3.27,STEM,590.0,
598,Male,True,3.43,Humanities,720.0,
599,Male,False,3.15,Business,620.0,
600,Male,True,3.06,STEM,650.0,
601,Female,True,3.24,STEM,660.0,Admit
602,Female,False,2.98,STEM,640.0,Waitlist
603,Male,True,3.04,Business,610.0,
604,Female,False,3.31,STEM,720.0,Admit
605,Female,False,3.25,Business,630.0,
606,Male,False,2.99,Humanities,630.0,
607,Female,True,3.0,Business,630.0,Admit
608,Male,False,3.4,Humanities,660.0,
609,Female,False,3.17,Business,580.0,
610,Female,False,3.69,STEM,780.0,Admit
611,Male,False,2.79,Business,600.0,
612,Female,False,2.87,STEM,570.0,
613,Male,False,3.09,Business,640.0,
614,Male,False,3.16,STEM,650.0,
615,Female,False,3.22,Humanities,660.0,Admit
616,Female,False,3.39,Humanities,650.0,
617,Male,True,3.46,Humanities,680.0,
618,Male,False,3.2,Business,670.0,
619,Male,False,2.88,Business,570.0,
620,Male,False,3.51,Business,700.0,
621,Male,False,3.25,Business,640.0,
622,Female,False,3.4,Business,780.0,Admit
623,Male,False,3.2,STEM,670.0,
624,Male,False,2.95,STEM,570.0,
625,Male,True,3.33,Humanities,710.0,Admit
626,Female,True,3.07,STEM,640.0,Admit
627,Male,True,3.12,Humanities,720.0,
628,Male,False,3.18,Business,570.0,
629,Male,False,3.11,Humanities,610.0,
630,Male,False,3.11,STEM,570.0,
631,Male,False,2.99,Humanities,580.0,
632,Male,True,3.38,Business,740.0,
633,Female,False,3.08,Humanities,600.0,
634,Male,False,3.45,STEM,650.0,
635,Male,False,3.51,Humanities,750.0,
636,Male,True,3.29,Humanities,690.0,
637,Male,False,3.4,STEM,700.0,
638,Male,True,3.36,STEM,690.0,
639,Male,True,3.45,Humanities,650.0,
640,Male,False,3.48,STEM,780.0,
641,Female,True,3.14,Business,590.0,Admit
642,Male,True,3.34,Business,660.0,Admit
643,Female,False,3.43,Humanities,630.0,
644,Male,False,3.14,STEM,720.0,
645,Male,True,3.19,Business,670.0,
646,Male,True,3.0,Business,620.0,
647,Male,False,3.24,Business,640.0,
648,Female,True,3.12,Humanities,690.0,Admit
649,Male,False,3.37,Business,680.0,
650,Male,False,3.39,Humanities,690.0,
651,Male,False,3.32,Business,610.0,
652,Male,True,3.33,Business,690.0,Admit
653,Male,True,3.29,STEM,620.0,
654,Female,True,3.23,Business,640.0,Admit
655,Male,True,3.12,Humanities,630.0,
656,Male,True,3.24,Humanities,610.0,
657,Female,False,3.37,Humanities,670.0,Admit
658,Female,False,3.17,Business,570.0,Admit
659,Male,False,3.12,Humanities,680.0,
660,Male,True,3.21,Humanities,660.0,Admit
