work_exp,gmat,admission,race,gpa
6.0,610.0,,Other,3.09
5.0,600.0,,Asian,3.27
5.0,730.0,,,3.32
5.0,670.0,,,3.15
6.0,610.0,,,3.23
5.0,580.0,,,3.03
5.0,600.0,,Hispanic,3.36
5.0,600.0,,White,3.1
5.0,590.0,,White,3.14
7.0,650.0,,White,3.35
5.0,670.0,,Black,3.27
6.0,700.0,Admit,White,3.21
5.0,620.0,,Other,3.22
5.0,620.0,,White,3.44
5.0,700.0,Admit,White,3.4
6.0,620.0,,Asian,3.06
4.0,660.0,Admit,Black,3.22
5.0,570.0,,Asian,3.35
4.0,590.0,,Black,3.16
6.0,630.0,,,3.13
4.0,690.0,Admit,Other,3.51
4.0,640.0,,,3.32
6.0,680.0,,Black,3.36
6.0,680.0,,,3.38
6.0,700.0,,White,3.35
6.0,640.0,,Hispanic,3.32
2.0,600.0,,Asian,3.15
6.0,570.0,,White,3.22
5.0,660.0,,Asian,3.29
6.0,710.0,,Black,3.24
5.0,670.0,,Hispanic,3.52
5.0,640.0,,White,3.4
5.0,660.0,,,3.16
4.0,650.0,,,3.26
4.0,710.0,,,3.32
7.0,650.0,,,3.29
4.0,740.0,Admit,Asian,3.32
6.0,690.0,,Black,3.33
7.0,620.0,Admit,White,3.23
5.0,570.0,,,3.21
6.0,620.0,,White,3.05
4.0,610.0,,,3.45
6.0,740.0,,Hispanic,3.35
4.0,580.0,,White,3.1
4.0,670.0,,,3.24
5.0,750.0,,,3.44
4.0,630.0,Admit,Asian,3.18
4.0,570.0,,,3.14
5.0,570.0,,Asian,3.1
5.0,630.0,,,3.44
5.0,690.0,,White,3.26
6.0,620.0,Waitlist,White,3.07
6.0,620.0,,Asian,3.29
4.0,680.0,,,3.32
4.0,600.0,,,3.03
6.0,580.0,,Asian,3.24
5.0,660.0,,,3.13
4.0,710.0,Admit,,3.05
3.0,720.0,,White,3.49
3.0,570.0,,White,3.19
6.0,640.0,,Black,3.1
3.0,650.0,,Hispanic,3.37
5.0,570.0,,,2.88
5.0,620.0,,Hispanic,3.13
6.0,620.0,,Hispanic,3.22
6.0,670.0,,,3.11
3.0,610.0,,Hispanic,3.21
6.0,570.0,,Black,3.16
4.0,700.0,,,3.31
6.0,670.0,,Other,3.61
5.0,670.0,,White,3.19
5.0,630.0,,Other,3.41
6.0,660.0,,Asian,3.23
7.0,590.0,,Asian,3.11
4.0,650.0,Admit,,3.11
7.0,630.0,,Black,3.0
4.0,670.0,Admit,Asian,3.25
5.0,570.0,,White,3.13
4.0,640.0,,Black,3.09
3.0,630.0,,White,3.04
7.0,630.0,,,2.92
4.0,570.0,,White,3.05
4.0,610.0,,Other,3.12
5.0,680.0,,,3.34
5.0,710.0,,,3.58
5.0,650.0,,Asian,3.17
4.0,640.0,,Other,3.38
4.0,680.0,,White,3.35
5.0,590.0,,White,3.28
6.0,570.0,,,2.65
5.0,670.0,,Black,3.31
6.0,570.0,,Asian,3.05
6.0,600.0,,,3.14
4.0,570.0,,,3.12
5.0,570.0,,,2.97
5.0,710.0,Admit,White,3.28
6.0,700.0,,,3.49
5.0,630.0,,White,2.98
5.0,620.0,,Black,3.23
5.0,650.0,,Black,3.22
6.0,690.0,,White,3.26
5.0,630.0,,,3.21
4.0,640.0,,Asian,3.01
6.0,640.0,,Black,3.07
7.0,670.0,,Black,3.15
6.0,710.0,Admit,Asian,3.3
4.0,570.0,,White,3.13
5.0,660.0,,Black,3.46
5.0,570.0,,White,3.25
4.0,670.0,Admit,,3.43
4.0,750.0,,Asian,3.35
5.0,690.0,Admit,Asian,3.43
3.0,570.0,,White,3.06
6.0,650.0,,White,3.23
3.0,670.0,Admit,Hispanic,3.35
4.0,620.0,,,3.11
6.0,690.0,,White,3.28
5.0,570.0,,Hispanic,3.1
7.0,680.0,Waitlist,,3.27
5.0,620.0,,Hispanic,3.24
7.0,700.0,,Black,3.36
3.0,660.0,,Black,3.25
3.0,600.0,,,3.11
4.0,620.0,,Asian,3.28
6.0,590.0,,,3.09
6.0,570.0,,Black,2.88
6.0,580.0,,Black,3.28
5.0,620.0,,,3.33
3.0,660.0,Admit,White,3.35
5.0,640.0,,White,3.53
3.0,720.0,Admit,Asian,3.41
4.0,670.0,,Other,3.46
5.0,660.0,Admit,Hispanic,3.31
6.0,620.0,,Asian,3.17
5.0,680.0,,Asian,3.43
6.0,630.0,Admit,,3.26
6.0,570.0,,,3.09
4.0,620.0,,Other,3.31
5.0,670.0,,,3.41
5.0,690.0,,Hispanic,3.61
2.0,660.0,Admit,,3.35
5.0,700.0,,,3.17
4.0,620.0,,,3.26
4.0,700.0,,Asian,3.38
6.0,690.0,,Black,3.58
6.0,710.0,,,3.35
6.0,590.0,,White,3.15
7.0,600.0,,Asian,3.26
5.0,680.0,Waitlist,,3.22
5.0,630.0,,,3.29
3.0,620.0,,Black,3.48
4.0,660.0,Admit,White,3.27
5.0,620.0,,Black,3.06
5.0,660.0,,Asian,3.08
4.0,620.0,,Black,3.26
4.0,750.0,,,3.43
5.0,600.0,,Asian,3.1
5.0,590.0,,Other,3.42
4.0,600.0,,,3.09
4.0,720.0,,Asian,3.39
5.0,600.0,,,3.23
7.0,730.0,,,3.3
6.0,680.0,,,3.4
5.0,600.0,,White,2.97
4.0,610.0,,White,3.23
6.0,680.0,Admit,Asian,3.38
6.0,660.0,Waitlist,Black,3.31
4.0,670.0,,,3.37
5.0,620.0,,,3.12
7.0,680.0,,White,3.22
7.0,630.0,,,3.24
7.0,610.0,,Asian,3.19
6.0,690.0,,,3.3
5.0,590.0,,Asian,3.16
5.0,740.0,,Hispanic,3.44
4.0,650.0,,,3.19
7.0,770.0,,Black,3.5
4.0,680.0,,White,3.28
3.0,570.0,,White,3.11
5.0,700.0,,Black,3.19
5.0,680.0,,Hispanic,3.12
5.0,620.0,,,3.04
3.0,690.0,,Black,3.1
6.0,760.0,,Other,3.36
5.0,780.0,,Asian,3.56
5.0,610.0,,,3.52
3.0,590.0,,Black,3.29
4.0,620.0,,Black,3.16
4.0,730.0,,Asian,3.32
5.0,660.0,,Asian,3.16
5.0,630.0,,,3.14
6.0,670.0,,Black,3.56
5.0,650.0,,Black,3.3
4.0,690.0,,White,3.44
6.0,660.0,,Black,3.21
6.0,660.0,,White,3.37
6.0,660.0,Admit,White,3.31
6.0,650.0,,Black,3.19
5.0,570.0,,Hispanic,3.21
5.0,660.0,Admit,,3.21
5.0,590.0,,,3.34
8.0,570.0,,Hispanic,3.27
5.0,620.0,,,3.2
5.0,620.0,,,3.14
8.0,670.0,,Asian,3.23
6.0,710.0,Admit,,3.25
7.0,580.0,,,3.17
5.0,630.0,,White,3.24
7.0,580.0,,,3.01
4.0,650.0,,White,3.29
3.0,670.0,,,3.55
4.0,630.0,,Asian,3.25
5.0,660.0,,Asian,3.27
5.0,570.0,,Black,2.99
5.0,600.0,,Asian,3.15
6.0,700.0,Admit,Asian,3.56
6.0,640.0,Admit,,3.42
6.0,680.0,,White,3.19
5.0,570.0,,Asian,3.03
4.0,710.0,,Other,3.28
4.0,670.0,,White,3.2
6.0,590.0,,Asian,3.4
5.0,690.0,,Hispanic,3.28
6.0,700.0,,White,3.47
6.0,650.0,,,3.03
5.0,730.0,,Black,3.48
4.0,650.0,,,3.17
5.0,590.0,,Asian,2.95
3.0,630.0,,Black,3.25
5.0,630.0,,Hispanic,3.28
6.0,690.0,,White,3.26
5.0,670.0,,White,3.16
6.0,780.0,,White,3.39
4.0,760.0,,Black,3.59
5.0,630.0,,White,3.4
4.0,720.0,Admit,,3.38
4.0,640.0,,Black,3.18
5.0,590.0,,,2.87
3.0,700.0,,Black,3.26
6.0,660.0,,Hispanic,3.24
4.0,680.0,,White,3.29
5.0,630.0,,Asian,3.24
4.0,730.0,,Other,3.39
4.0,620.0,,Other,3.45
5.0,580.0,,,3.2
6.0,670.0,,White,3.46
4.0,570.0,,Black,3.17
4.0,690.0,Admit,Asian,3.26
4.0,570.0,,Asian,3.09
4.0,620.0,,White,3.28
4.0,610.0,,White,3.05
4.0,600.0,,Asian,3.44
6.0,570.0,,,2.72
5.0,600.0,,,2.99
5.0,570.0,,,3.01
5.0,700.0,,Other,3.48
6.0,760.0,,Black,3.4
4.0,630.0,,Hispanic,3.13
5.0,660.0,,,3.29
6.0,670.0,,Black,3.48
5.0,640.0,,Asian,3.36
4.0,610.0,,,3.24
4.0,700.0,,,3.24
5.0,670.0,,Asian,3.29
7.0,680.0,Admit,White,3.46
5.0,650.0,,Asian,3.32
3.0,600.0,,White,3.15
6.0,660.0,,,3.28
5.0,730.0,,Asian,3.62
6.0,660.0,,Other,3.2
6.0,590.0,,Black,3.35
4.0,750.0,Admit,White,3.21
6.0,660.0,,Asian,3.47
5.0,640.0,,,3.24
3.0,690.0,,Hispanic,3.4
5.0,670.0,,,3.35
4.0,630.0,,Hispanic,3.19
7.0,680.0,Admit,White,3.31
6.0,630.0,,Black,3.43
5.0,680.0,Admit,,3.66
4.0,710.0,,Black,3.57
5.0,660.0,Admit,White,3.65
6.0,690.0,,Hispanic,3.37
5.0,650.0,,,3.16
5.0,730.0,Admit,White,3.21
6.0,720.0,Admit,Black,3.39
6.0,580.0,,White,3.31
4.0,710.0,,Asian,3.3
4.0,570.0,Admit,Asian,3.02
4.0,610.0,,,3.17
5.0,650.0,,Asian,3.37
5.0,650.0,,,3.14
4.0,640.0,,,3.2
3.0,630.0,,,3.09
4.0,680.0,Admit,White,3.35
5.0,610.0,,Black,2.91
4.0,700.0,,,3.33
4.0,710.0,Admit,,3.36
5.0,710.0,Admit,Asian,3.52
4.0,590.0,,White,3.15
6.0,620.0,,Asian,3.21
5.0,760.0,Admit,Asian,3.58
5.0,600.0,,White,3.14
4.0,730.0,,White,3.18
5.0,740.0,,Black,3.36
4.0,700.0,,Black,3.23
4.0,630.0,,Black,3.3
4.0,630.0,,Asian,3.21
5.0,600.0,Admit,White,3.03
4.0,640.0,,Asian,3.26
5.0,670.0,,,3.09
4.0,670.0,,Black,3.2
5.0,580.0,,Black,3.04
6.0,720.0,,Asian,3.16
4.0,650.0,,Black,3.27
6.0,640.0,,,3.14
6.0,620.0,,Black,3.19
4.0,570.0,,White,2.99
5.0,570.0,,,3.09
4.0,650.0,,White,3.18
6.0,640.0,Waitlist,White,3.2
4.0,610.0,,,3.27
5.0,630.0,,Black,3.23
7.0,600.0,,Asian,2.87
6.0,650.0,,,3.23
5.0,640.0,,,3.46
6.0,720.0,,,3.37
6.0,710.0,,Other,3.18
5.0,580.0,,White,3.06
3.0,730.0,Admit,Hispanic,3.44
4.0,740.0,Admit,Black,3.34
6.0,600.0,,Other,3.21
7.0,650.0,,White,3.4
5.0,600.0,,Hispanic,3.12
2.0,670.0,,,3.21
5.0,590.0,,,2.91
4.0,600.0,,Asian,3.23
5.0,720.0,Admit,Asian,3.28
4.0,630.0,,,3.35
6.0,570.0,,White,3.22
3.0,660.0,,Black,3.27
3.0,680.0,,Black,3.33
2.0,660.0,,Black,3.08
5.0,570.0,,,2.89
2.0,570.0,,,3.17
5.0,660.0,Admit,,3.27
5.0,710.0,,Asian,3.27
5.0,650.0,,,2.99
5.0,620.0,,White,3.33
5.0,640.0,,Other,3.36
6.0,680.0,Admit,Asian,3.26
4.0,770.0,Admit,,3.36
5.0,690.0,Admit,,3.23
6.0,610.0,,,3.11
4.0,700.0,,Asian,3.32
4.0,650.0,,White,3.32
5.0,680.0,,Other,3.43
5.0,690.0,Admit,,3.29
4.0,640.0,,Hispanic,3.14
3.0,570.0,,,3.44
5.0,660.0,,Hispanic,3.24
4.0,660.0,,,3.45
4.0,720.0,,,3.39
5.0,610.0,,,2.88
6.0,570.0,,Black,3.13
5.0,610.0,,Hispanic,2.97
5.0,640.0,,,3.28
5.0,780.0,Admit,Other,3.58
4.0,640.0,,Asian,3.37
6.0,610.0,,Black,3.39
6.0,630.0,,Black,3.25
5.0,600.0,,Hispanic,3.03
4.0,670.0,,,3.29
5.0,740.0,,Asian,3.28
6.0,630.0,,,3.44
6.0,630.0,,Asian,3.12
5.0,690.0,,Other,3.42
4.0,660.0,,Black,3.29
5.0,580.0,,White,3.37
5.0,660.0,Admit,White,3.35
4.0,650.0,,White,3.18
4.0,600.0,,Black,3.13
4.0,640.0,,White,3.24
6.0,740.0,,,3.35
5.0,650.0,,Asian,3.23
5.0,780.0,Waitlist,Asian,3.51
6.0,640.0,,Black,3.24
5.0,660.0,Admit,,3.03
6.0,700.0,,,3.1
4.0,650.0,,Asian,3.17
4.0,570.0,,,3.06
4.0,590.0,,Black,3.03
5.0,630.0,,White,3.03
6.0,730.0,,Black,3.36
7.0,620.0,,Asian,3.17
5.0,710.0,Admit,,3.39
5.0,700.0,,Asian,3.29
6.0,730.0,Admit,Asian,3.33
6.0,650.0,,White,3.21
5.0,650.0,,Black,3.18
6.0,670.0,Admit,Other,3.23
4.0,600.0,,Hispanic,3.2
5.0,720.0,,,3.19
5.0,620.0,,White,3.16
3.0,570.0,,,3.18
4.0,620.0,,White,3.19
5.0,650.0,,White,3.43
5.0,690.0,Admit,,3.36
6.0,730.0,,White,3.39
6.0,630.0,,Asian,3.45
6.0,590.0,Admit,White,3.06
4.0,690.0,,Hispanic,3.58
4.0,620.0,,,3.14
4.0,640.0,,White,3.28
4.0,660.0,,,3.32
6.0,610.0,,Asian,3.27
5.0,610.0,,Black,3.19
5.0,630.0,,White,2.99
4.0,570.0,,Asian,3.05
6.0,680.0,Admit,Asian,3.26
5.0,780.0,Admit,Black,3.73
6.0,670.0,,Asian,3.54
5.0,690.0,,Black,3.29
5.0,640.0,,White,3.11
4.0,590.0,,,3.11
4.0,570.0,,Asian,3.13
4.0,610.0,,Black,3.04
6.0,710.0,,,3.41
7.0,610.0,,Hispanic,3.17
5.0,640.0,,White,3.3
4.0,680.0,,Black,3.44
5.0,600.0,,Black,3.27
5.0,720.0,,,3.39
5.0,570.0,,White,2.9
6.0,620.0,,Hispanic,3.23
1.0,710.0,Admit,Asian,3.35
4.0,640.0,,White,3.32
4.0,670.0,,,3.22
7.0,680.0,,White,3.38
3.0,740.0,,Asian,3.12
5.0,660.0,,,3.53
5.0,690.0,,Hispanic,3.33
6.0,600.0,,,3.36
3.0,640.0,,,3.21
4.0,700.0,Admit,White,3.47
5.0,600.0,,Black,3.18
4.0,630.0,,White,3.32
5.0,670.0,,Hispanic,3.18
7.0,720.0,,White,3.3
5.0,700.0,Admit,Other,3.49
6.0,650.0,,Asian,3.33
5.0,670.0,,Asian,3.15
5.0,660.0,,Black,3.03
6.0,650.0,,Black,3.25
5.0,660.0,Admit,,3.37
6.0,700.0,,White,3.26
5.0,600.0,Admit,White,3.03
8.0,670.0,,Hispanic,3.34
3.0,640.0,,White,3.22
4.0,620.0,,Hispanic,3.15
5.0,730.0,,Hispanic,3.34
5.0,650.0,,Black,3.39
6.0,680.0,Admit,,3.22
3.0,600.0,,Asian,3.19
4.0,570.0,,Asian,2.95
5.0,610.0,,Black,3.17
6.0,620.0,,Asian,3.02
5.0,610.0,,,3.43
6.0,650.0,,Other,3.11
4.0,630.0,,Asian,3.1
6.0,690.0,Admit,,3.28
5.0,710.0,,Black,3.4
7.0,680.0,,,3.37
5.0,620.0,,Other,3.12
3.0,710.0,,Black,3.34
4.0,580.0,,White,3.24
7.0,570.0,,Hispanic,3.36
4.0,660.0,Admit,White,3.3
5.0,670.0,,,3.21
5.0,630.0,,Black,3.15
4.0,660.0,,Asian,3.37
3.0,580.0,,White,2.99
6.0,600.0,,,3.2
5.0,680.0,,Asian,3.24
6.0,670.0,Admit,,3.27
5.0,580.0,,,3.12
5.0,650.0,,Hispanic,3.32
5.0,620.0,,,3.02
5.0,590.0,,Hispanic,3.35
6.0,620.0,,White,3.29
7.0,680.0,Admit,Asian,3.28
5.0,660.0,,,3.01
5.0,710.0,,Asian,3.29
5.0,650.0,,White,3.31
5.0,670.0,Waitlist,,3.36
5.0,590.0,,White,3.26
4.0,620.0,,,3.32
5.0,590.0,,White,3.03
4.0,730.0,Waitlist,,3.53
5.0,750.0,Admit,White,3.53
6.0,570.0,,Hispanic,3.21
6.0,650.0,,Black,2.98
6.0,600.0,,Hispanic,3.21
4.0,660.0,,White,3.41
4.0,630.0,,White,3.39
3.0,580.0,,White,3.24
7.0,640.0,,,3.19
4.0,670.0,,White,3.42
3.0,650.0,,White,3.07
5.0,590.0,,,3.3
6.0,620.0,,,3.31
4.0,620.0,,Asian,3.05
6.0,570.0,,White,2.73
3.0,730.0,Admit,Other,3.39
5.0,580.0,,Asian,3.19
4.0,640.0,,Black,3.2
4.0,570.0,,White,3.15
6.0,660.0,Admit,White,3.37
7.0,720.0,Admit,,3.57
4.0,760.0,Admit,Asian,3.65
6.0,600.0,Admit,,3.28
5.0,670.0,Admit,Asian,3.35
6.0,660.0,,,3.26
6.0,640.0,,,3.36
5.0,570.0,,Hispanic,3.15
7.0,720.0,,Asian,3.52
6.0,650.0,,Asian,3.2
6.0,730.0,Admit,White,3.42
4.0,730.0,,Asian,3.59
6.0,610.0,,,2.91
5.0,650.0,,,3.22
5.0,590.0,,White,2.98
5.0,670.0,,Hispanic,3.1
5.0,610.0,,White,3.09
5.0,660.0,,Asian,3.14
6.0,690.0,,Black,3.08
2.0,650.0,,White,3.16
5.0,620.0,,Black,3.25
3.0,640.0,,Hispanic,3.24
6.0,770.0,Admit,,3.46
5.0,610.0,,Black,3.12
5.0,610.0,,Hispanic,2.95
4.0,660.0,,White,3.38
5.0,670.0,,Hispanic,3.29
