international,application_id,gender,major,work_industry,admission
True,23,Female,Business,Consulting,Admit
False,958,Male,STEM,PE/VC,
False,1880,Female,Humanities,Real Estate,
False,2716,Male,Business,Consulting,
True,2539,Male,Humanities,Consulting,
True,1946,Male,STEM,Financial Services,
False,3772,Female,Humanities,Other,
True,5189,Male,Humanities,Consulting,
True,600,Male,STEM,Nonprofit/Gov,
False,5790,Male,Humanities,Technology,
True,2838,Female,Humanities,Financial Services,
False,3921,Male,Humanities,Investment Banking,
False,4968,Male,Business,PE/VC,
False,4267,Male,Business,Other,
False,2165,Female,Humanities,Consulting,
False,1291,Male,STEM,Technology,
False,1826,Male,STEM,PE/VC,
False,1466,Female,Business,Technology,
False,4585,Male,Humanities,PE/VC,
False,2748,Male,Humanities,Consulting,
True,4189,Male,STEM,PE/VC,
True,1579,Male,Business,Nonprofit/Gov,
False,3363,Female,STEM,Other,
True,1604,Male,STEM,Technology,
True,1160,Female,Business,Consulting,
True,4984,Female,Business,Other,
False,571,Male,STEM,Investment Banking,
False,4470,Female,STEM,Other,
False,4071,Male,Business,PE/VC,
False,3681,Female,Humanities,Nonprofit/Gov,
False,4451,Male,Business,Investment Banking,
False,444,Female,Humanities,Technology,
False,1849,Male,Business,Health Care,
False,1815,Male,STEM,Financial Services,
False,3742,Male,Humanities,PE/VC,
False,1300,Male,Humanities,Investment Management,Admit
True,5988,Male,STEM,Consulting,
True,5418,Male,Humanities,Nonprofit/Gov,
False,1802,Male,STEM,Consulting,
False,1624,Male,STEM,Consulting,
False,4764,Male,Business,Other,
False,1573,Female,Humanities,Nonprofit/Gov,
False,2321,Female,Humanities,Technology,
False,5179,Male,Humanities,Technology,
True,5719,Male,Humanities,Financial Services,
False,4242,Male,STEM,Nonprofit/Gov,
False,5610,Male,STEM,Financial Services,
False,2609,Female,Business,Consulting,Admit
True,2698,Female,Business,Financial Services,
True,4998,Female,Business,Financial Services,
False,225,Female,STEM,Consulting,Admit
True,409,Male,Humanities,Investment Banking,
False,6016,Male,STEM,Investment Banking,
False,2490,Female,Humanities,Consulting,Admit
False,1092,Male,Business,PE/VC,
True,639,Male,Humanities,Financial Services,
False,2051,Male,Business,Real Estate,Admit
False,5221,Female,Business,PE/VC,Admit
False,1748,Female,Business,Consulting,
True,3629,Female,STEM,Other,
True,3092,Male,Humanities,Investment Banking,
True,4686,Male,Business,Financial Services,
False,4002,Female,Humanities,Consulting,
False,5597,Male,Humanities,Consulting,
True,5704,Male,Business,Health Care,
False,1608,Female,Humanities,Consulting,Admit
False,5865,Male,Humanities,Financial Services,
True,2365,Male,STEM,CPG,
False,1064,Female,Business,Consulting,
True,3126,Male,STEM,PE/VC,
True,694,Male,Humanities,Other,
False,4831,Female,STEM,CPG,
False,5429,Male,Business,Nonprofit/Gov,
True,934,Male,STEM,PE/VC,
False,1902,Female,Humanities,Consulting,Admit
False,4758,Male,Humanities,Consulting,
True,4867,Male,Business,Investment Banking,
False,1006,Male,STEM,Consulting,
False,4816,Male,Business,Investment Banking,
False,2904,Male,Humanities,Investment Banking,
False,5417,Female,STEM,PE/VC,
False,3218,Male,Humanities,Investment Management,
False,4372,Male,STEM,Consulting,
False,2086,Female,STEM,Other,
False,6029,Male,Business,PE/VC,
False,4663,Male,STEM,Consulting,
False,2126,Male,Humanities,Technology,
True,1981,Male,Business,PE/VC,
True,735,Male,Business,Technology,
False,3116,Male,STEM,Health Care,
True,4795,Male,Business,PE/VC,
False,3843,Male,Humanities,Technology,
False,5105,Male,Humanities,Investment Banking,
False,2240,Female,STEM,Consulting,
False,4638,Female,Business,Consulting,
False,386,Female,STEM,Investment Banking,Admit
True,1205,Male,Humanities,PE/VC,
True,1157,Male,Humanities,Nonprofit/Gov,Admit
False,4204,Male,Business,Technology,
True,5937,Female,Humanities,Consulting,
False,1422,Female,Humanities,Nonprofit/Gov,
False,5606,Male,Business,Nonprofit/Gov,Admit
False,5061,Male,Humanities,PE/VC,
True,3429,Female,STEM,Investment Banking,
False,3849,Male,Business,Technology,
True,3124,Female,Humanities,PE/VC,
True,5225,Male,Business,PE/VC,
False,1890,Female,STEM,Consulting,
False,13,Female,Humanities,PE/VC,Waitlist
True,1191,Male,Humanities,Consulting,
False,5543,Male,Humanities,Health Care,
False,4051,Male,Humanities,Nonprofit/Gov,
False,3073,Female,STEM,Consulting,Admit
False,4594,Male,STEM,Health Care,
False,1033,Male,STEM,Technology,Admit
False,3714,Male,Business,Technology,
False,565,Female,STEM,PE/VC,
False,364,Male,Business,Other,
False,4705,Male,Humanities,Financial Services,
False,4067,Female,Humanities,Financial Services,
False,816,Male,Business,PE/VC,
False,1974,Female,STEM,Health Care,
False,2535,Male,Humanities,PE/VC,
False,4421,Female,STEM,Consulting,
False,3222,Female,Humanities,Health Care,Admit
False,2079,Male,Business,Other,
True,6004,Male,Humanities,Investment Banking,
False,947,Male,Business,Health Care,
False,4015,Male,Humanities,CPG,
True,2475,Female,Business,Nonprofit/Gov,
False,4147,Female,Business,Consulting,
False,956,Female,Business,Consulting,
False,1131,Female,Business,PE/VC,
False,3951,Female,Humanities,Consulting,
False,3980,Female,Humanities,PE/VC,
False,4936,Male,Humanities,Consulting,
True,5069,Male,Business,Consulting,
False,6169,Female,STEM,Consulting,Admit
False,356,Male,STEM,Consulting,Admit
False,2851,Male,STEM,Consulting,
False,2190,Male,Humanities,Nonprofit/Gov,
True,5358,Male,STEM,Technology,Admit
False,1903,Male,Business,Consulting,
False,4136,Female,Humanities,Energy,
True,3827,Female,Humanities,Consulting,
False,1722,Male,Humanities,Financial Services,
True,2187,Female,Humanities,Consulting,
False,5572,Female,Humanities,Technology,
True,16,Female,Humanities,Consulting,Admit
True,1098,Female,Business,Investment Banking,
False,1226,Female,STEM,Investment Banking,
False,2996,Female,Humanities,Investment Banking,
False,3704,Female,STEM,Investment Banking,Admit
False,2989,Male,Humanities,Other,
False,2301,Male,STEM,Media/Entertainment,
False,4570,Male,STEM,Consulting,
False,268,Male,Humanities,Nonprofit/Gov,
True,4095,Male,Business,Investment Banking,
False,817,Male,Humanities,Energy,
False,1150,Female,STEM,Financial Services,
True,3727,Male,STEM,Technology,
True,1770,Male,Business,Financial Services,Admit
False,4712,Female,STEM,Consulting,
True,5290,Male,Business,Health Care,
False,1918,Male,Business,CPG,
False,4939,Male,Humanities,Consulting,
False,6017,Female,Humanities,Consulting,
True,1546,Female,Humanities,Technology,
False,294,Female,Business,Technology,Admit
False,5310,Male,Business,Consulting,
False,474,Female,STEM,Technology,Admit
False,1531,Male,Humanities,Technology,
False,1505,Male,Humanities,PE/VC,Admit
False,5724,Female,STEM,PE/VC,Admit
False,1292,Female,Business,Investment Banking,Admit
False,1576,Male,STEM,Financial Services,
False,5256,Male,Humanities,Financial Services,
False,4228,Male,Business,Consulting,
True,1887,Female,Humanities,Media/Entertainment,
True,1349,Female,Humanities,PE/VC,
False,5713,Male,Business,Investment Banking,
False,3060,Male,STEM,Nonprofit/Gov,
False,4432,Female,Humanities,PE/VC,
False,1007,Male,Humanities,Consulting,
False,5868,Male,Business,PE/VC,Admit
False,4626,Female,STEM,Other,
False,1471,Female,STEM,PE/VC,
False,5654,Male,STEM,Investment Management,Admit
False,3746,Female,Humanities,Technology,
False,5674,Male,STEM,Consulting,
True,663,Female,STEM,Financial Services,Admit
False,1545,Male,STEM,Consulting,
False,2513,Male,Business,PE/VC,
False,214,Female,Business,Technology,Admit
False,5364,Female,STEM,Nonprofit/Gov,
False,1631,Female,Business,Nonprofit/Gov,
False,1744,Male,Humanities,Consulting,
True,104,Female,Business,Financial Services,Admit
True,160,Male,Humanities,PE/VC,
False,5504,Female,STEM,Other,
False,1106,Female,Business,PE/VC,
False,651,Male,Business,Consulting,
False,3416,Female,Humanities,PE/VC,
False,4919,Male,Business,Nonprofit/Gov,
False,3167,Female,STEM,CPG,Admit
False,411,Male,Humanities,Consulting,
False,4472,Male,STEM,Health Care,
False,1230,Male,STEM,Investment Banking,
False,2825,Female,Humanities,Consulting,
True,2169,Male,STEM,Nonprofit/Gov,
False,136,Female,Business,Consulting,
True,4754,Male,Humanities,Technology,
False,1333,Female,Humanities,Investment Banking,
False,2752,Male,STEM,Other,
False,4323,Female,Business,PE/VC,
False,1268,Male,STEM,Investment Management,Admit
False,3854,Male,Humanities,Consulting,
False,2131,Female,Humanities,PE/VC,
False,569,Male,Business,Other,
True,723,Male,Business,Nonprofit/Gov,
False,5507,Male,STEM,Investment Banking,
False,4546,Male,Business,Nonprofit/Gov,Admit
False,702,Male,Business,Other,
True,1935,Male,STEM,Consulting,
False,4167,Male,Humanities,Consulting,
True,4505,Female,STEM,Other,Admit
True,3178,Female,Business,Health Care,
False,4552,Male,STEM,Consulting,
True,3057,Male,STEM,Consulting,
False,4592,Female,Humanities,Financial Services,
True,4699,Male,Business,Other,Admit
False,110,Male,Humanities,PE/VC,
True,5660,Male,Business,Other,
False,5130,Male,STEM,Investment Banking,
False,299,Male,STEM,PE/VC,
False,2897,Female,Business,Health Care,
True,1630,Male,Humanities,Consulting,
True,4888,Female,Humanities,Health Care,
False,1222,Male,Humanities,Financial Services,
True,5981,Male,Business,Technology,
False,6128,Female,Humanities,Health Care,
False,2720,Male,STEM,Consulting,
False,3998,Male,STEM,Technology,Admit
True,4822,Male,Business,Technology,
False,1952,Female,STEM,Investment Banking,
False,5101,Male,Business,Investment Banking,
False,2677,Female,STEM,Financial Services,Waitlist
False,3488,Male,Humanities,Health Care,
True,4504,Male,Humanities,Health Care,Admit
True,1347,Male,Humanities,PE/VC,Admit
False,2907,Female,Business,Investment Banking,Admit
False,3653,Female,Business,Consulting,
False,5531,Male,STEM,Financial Services,
True,2496,Male,Business,Investment Banking,
False,488,Male,Business,Technology,
False,697,Female,Humanities,PE/VC,Waitlist
False,3916,Female,Business,Investment Banking,
False,2226,Male,STEM,CPG,
False,1516,Male,STEM,Nonprofit/Gov,
False,3080,Male,STEM,Consulting,
True,3514,Male,STEM,Media/Entertainment,
False,2683,Male,Humanities,CPG,
True,5700,Male,Humanities,Investment Banking,
True,646,Male,Business,Technology,
True,5343,Male,Humanities,Investment Management,Admit
True,4531,Male,STEM,Technology,
False,1607,Female,Business,PE/VC,
False,2976,Male,STEM,Technology,
False,2627,Female,STEM,PE/VC,
False,140,Male,STEM,Technology,
False,3696,Male,STEM,Technology,
False,5136,Female,STEM,Retail,
False,614,Male,STEM,Consulting,
False,6189,Male,STEM,Consulting,
True,47,Male,Humanities,PE/VC,
False,1330,Male,STEM,Technology,
False,3444,Female,Humanities,Consulting,Admit
True,2947,Male,STEM,Nonprofit/Gov,
False,4733,Male,STEM,Consulting,
False,5476,Male,Humanities,Technology,
False,2108,Male,STEM,Technology,Admit
False,3440,Female,STEM,Investment Banking,
True,2610,Male,Humanities,Financial Services,
False,4423,Female,Humanities,PE/VC,
True,3494,Female,Humanities,Investment Banking,
False,1199,Male,Humanities,Energy,Admit
True,3952,Male,Humanities,Nonprofit/Gov,
False,2649,Male,Humanities,Investment Banking,
False,2335,Male,Humanities,Media/Entertainment,
False,779,Female,Business,Other,
False,3407,Male,Humanities,Consulting,
False,4396,Male,STEM,Consulting,
True,4428,Male,Business,Other,
True,750,Male,Business,Consulting,
False,410,Male,Business,Health Care,
False,248,Male,STEM,PE/VC,
True,5153,Male,Humanities,Consulting,
False,4616,Male,Humanities,Health Care,
True,3542,Male,Business,Other,
False,1293,Male,Humanities,Consulting,
False,955,Female,STEM,Technology,
True,4912,Male,Humanities,Consulting,
False,3059,Male,Business,Nonprofit/Gov,
False,2013,Male,Business,Nonprofit/Gov,
False,5856,Male,Humanities,Consulting,
False,3243,Male,STEM,Investment Banking,
True,5985,Female,STEM,Consulting,
False,3706,Female,STEM,Nonprofit/Gov,
False,4604,Male,Humanities,Technology,
False,5995,Female,STEM,Consulting,Admit
False,3647,Male,STEM,PE/VC,
True,4625,Male,STEM,Other,
False,588,Male,Humanities,PE/VC,
False,1804,Female,Business,PE/VC,
True,3732,Female,STEM,Consulting,
False,2068,Female,Humanities,PE/VC,
False,4499,Male,Business,Health Care,
False,1302,Female,Humanities,Financial Services,Admit
False,3498,Male,Business,Consulting,
False,2670,Female,Humanities,Consulting,
False,644,Male,STEM,Technology,
True,3062,Male,STEM,Media/Entertainment,
False,3025,Female,Humanities,Nonprofit/Gov,Admit
True,2323,Male,Humanities,PE/VC,
False,430,Male,Business,Health Care,
False,807,Female,Business,Investment Banking,Admit
False,1337,Male,Business,Financial Services,
False,5055,Male,Humanities,Investment Banking,
False,1273,Female,Business,CPG,
False,673,Male,STEM,Retail,
False,682,Male,Business,Consulting,Admit
True,6019,Male,Business,Financial Services,Admit
False,2843,Male,STEM,Consulting,
False,2527,Female,Humanities,PE/VC,
True,2041,Female,Business,Consulting,
False,3976,Male,Humanities,Investment Banking,Admit
False,3726,Male,Business,PE/VC,
True,3887,Male,STEM,Media/Entertainment,
False,3577,Female,Humanities,Financial Services,Admit
False,1840,Male,Humanities,Investment Banking,
False,730,Male,Humanities,Technology,
False,2052,Male,Business,Consulting,
False,1074,Male,STEM,Financial Services,Admit
False,1645,Female,STEM,Consulting,
False,2564,Male,Business,Consulting,
True,1167,Male,Humanities,Technology,
False,966,Female,Humanities,PE/VC,
False,5618,Male,STEM,Nonprofit/Gov,
False,2941,Male,STEM,Investment Banking,
False,4542,Female,STEM,Financial Services,
False,2722,Female,Humanities,Technology,
True,754,Male,Humanities,Other,Admit
False,722,Male,STEM,Investment Management,Admit
False,5127,Female,Business,Consulting,
False,4620,Female,Business,Real Estate,
False,910,Female,Humanities,Investment Banking,
False,251,Male,Humanities,Investment Banking,
True,5970,Female,Humanities,Financial Services,
False,5614,Male,STEM,Nonprofit/Gov,Admit
False,976,Male,Humanities,Investment Management,
False,1182,Female,STEM,Financial Services,Admit
True,5778,Male,STEM,Consulting,
True,4533,Female,STEM,Consulting,
True,5396,Male,Humanities,Financial Services,
False,2248,Male,STEM,Consulting,
True,211,Male,Business,Nonprofit/Gov,
True,3637,Male,Humanities,Technology,
False,3662,Female,Humanities,Investment Banking,
True,169,Female,STEM,Investment Banking,Admit
True,2499,Male,Humanities,Technology,
False,2424,Female,Humanities,PE/VC,
True,4394,Male,STEM,Consulting,
True,486,Male,Business,Nonprofit/Gov,
True,4377,Male,STEM,CPG,
False,64,Male,STEM,Technology,
False,3673,Male,Humanities,Consulting,
False,3985,Female,Business,Nonprofit/Gov,
False,2265,Female,Business,Nonprofit/Gov,
True,876,Male,Humanities,Consulting,
False,4134,Male,STEM,Financial Services,
True,31,Male,STEM,Consulting,
False,5910,Male,Business,Other,Admit
True,2655,Male,Business,Technology,
True,5332,Female,Business,Consulting,
True,1585,Male,Humanities,PE/VC,Admit
False,911,Female,STEM,Consulting,
True,3226,Male,Business,Energy,
False,3469,Male,Business,PE/VC,
False,1038,Female,Business,Health Care,
True,5407,Male,Business,Consulting,
True,5545,Male,STEM,Nonprofit/Gov,Waitlist
False,5223,Female,Business,Nonprofit/Gov,Admit
False,933,Male,Humanities,Other,
False,131,Male,Humanities,Consulting,Admit
False,2962,Male,Humanities,Technology,
True,4246,Male,Humanities,PE/VC,Admit
False,597,Male,STEM,Nonprofit/Gov,
False,72,Female,Humanities,Consulting,Waitlist
True,1870,Female,Humanities,Other,
False,931,Female,Humanities,Consulting,
False,3193,Male,Humanities,Other,
True,2901,Female,Humanities,Other,
False,3310,Male,Humanities,Financial Services,Admit
False,1267,Female,Business,Media/Entertainment,
False,4773,Male,STEM,PE/VC,
True,4990,Female,STEM,Health Care,
False,3104,Female,Business,Nonprofit/Gov,
False,6121,Female,Business,PE/VC,
False,604,Female,STEM,Technology,Admit
False,781,Male,Business,Health Care,
False,4234,Male,Humanities,Nonprofit/Gov,
True,3988,Male,STEM,Investment Management,
False,3094,Male,STEM,Consulting,
False,5965,Male,Humanities,Consulting,
False,83,Male,STEM,Consulting,
False,5251,Female,Business,Financial Services,Admit
False,1989,Female,Humanities,Consulting,Admit
False,3965,Male,Humanities,PE/VC,
False,4354,Male,Business,CPG,
True,346,Male,STEM,Investment Banking,Admit
True,4632,Female,Humanities,Consulting,
False,5289,Male,Business,Consulting,Admit
False,2184,Female,Humanities,Consulting,
False,4390,Male,Business,Technology,
False,3805,Female,STEM,Real Estate,Admit
False,3611,Male,Humanities,Technology,
True,1936,Male,Business,Real Estate,
False,2829,Male,STEM,Consulting,
False,553,Female,Humanities,Investment Banking,Waitlist
False,2809,Female,Humanities,Nonprofit/Gov,
True,4647,Male,Business,Financial Services,
False,450,Male,Business,Real Estate,
True,2613,Male,Humanities,Consulting,
True,518,Female,Humanities,Consulting,Admit
False,4747,Male,Humanities,Investment Management,
False,3155,Female,Humanities,Consulting,
False,1354,Male,Business,Consulting,
False,5382,Male,Humanities,Investment Management,
False,2915,Male,Humanities,Real Estate,
False,3305,Male,Business,Health Care,
False,3338,Male,Business,Nonprofit/Gov,
False,3294,Female,Business,Consulting,
False,370,Female,Humanities,Technology,Admit
False,536,Male,Business,Investment Banking,
True,1934,Male,STEM,Nonprofit/Gov,
False,4948,Female,STEM,Investment Banking,
False,1159,Male,Business,Consulting,
True,522,Male,Business,Technology,
True,2307,Female,Business,Financial Services,
False,2616,Male,Humanities,Consulting,
False,5260,Male,Humanities,Investment Banking,
False,4490,Male,Business,Financial Services,
False,929,Male,Humanities,PE/VC,
False,4491,Male,Humanities,Other,
True,5906,Male,STEM,Other,
False,2222,Male,STEM,Other,
True,4408,Male,STEM,Nonprofit/Gov,
True,3384,Female,Humanities,Consulting,
False,3740,Male,Humanities,PE/VC,
False,3606,Male,Humanities,Consulting,
False,5326,Female,STEM,Investment Banking,
True,973,Female,Business,PE/VC,
False,2071,Female,Humanities,Other,
False,1469,Male,Business,Consulting,
False,4251,Male,STEM,Consulting,
False,5009,Male,STEM,Technology,
True,4382,Female,Humanities,Financial Services,
False,5728,Female,Humanities,Health Care,Admit
True,4434,Female,Humanities,PE/VC,Admit
False,6116,Female,STEM,Consulting,
False,2162,Male,Business,Real Estate,Admit
False,2570,Male,Business,Health Care,
True,4858,Male,Humanities,Consulting,
True,1391,Male,Humanities,Consulting,
False,1424,Male,Business,Consulting,
False,24,Male,Business,PE/VC,
False,2054,Female,Business,Consulting,Admit
False,3760,Male,Business,Investment Banking,Admit
False,6034,Female,Business,Nonprofit/Gov,
True,1082,Male,Business,Investment Banking,
True,848,Male,STEM,Other,
True,5824,Male,Humanities,Consulting,
False,3677,Female,Humanities,Other,
True,2835,Male,Humanities,Health Care,
False,1844,Male,Humanities,PE/VC,
False,520,Female,Business,Health Care,
False,3994,Male,Humanities,Technology,
False,4044,Male,Business,Nonprofit/Gov,
False,1010,Male,Business,Consulting,
False,5751,Male,Business,Consulting,
True,5496,Male,Humanities,PE/VC,
False,3349,Male,Business,Health Care,
False,1694,Female,STEM,Consulting,
False,2069,Male,Humanities,Consulting,
False,4473,Female,Humanities,Consulting,
False,3548,Male,STEM,Consulting,
False,4501,Male,Business,Consulting,
False,1165,Male,Humanities,PE/VC,
True,3492,Female,Business,Nonprofit/Gov,
False,4308,Male,Business,Consulting,Admit
False,4737,Female,Humanities,CPG,Admit
False,839,Female,Humanities,Nonprofit/Gov,
False,4337,Female,Business,PE/VC,
True,5565,Male,Humanities,Consulting,
True,271,Female,Business,Consulting,Admit
False,5157,Male,Humanities,Nonprofit/Gov,
True,937,Male,Business,Consulting,
True,5049,Male,Humanities,Technology,
False,919,Female,Business,Consulting,
False,2027,Female,Business,CPG,Admit
False,3711,Male,Business,PE/VC,
False,4249,Male,Humanities,PE/VC,
True,4895,Female,Business,Investment Banking,
False,3517,Male,Business,Technology,
False,3393,Male,Business,Consulting,
True,1702,Female,Business,Technology,
True,5623,Male,Business,Nonprofit/Gov,
False,3828,Male,Business,Investment Banking,
False,582,Male,STEM,Nonprofit/Gov,
False,662,Male,Business,PE/VC,
True,3376,Male,Humanities,Investment Banking,
True,5528,Male,Humanities,Consulting,Admit
True,6097,Male,STEM,Consulting,
True,463,Male,Business,Real Estate,
True,1078,Female,Humanities,PE/VC,Admit
False,1155,Male,Humanities,Nonprofit/Gov,
False,3779,Male,Humanities,PE/VC,
False,80,Female,STEM,Health Care,Admit
False,1899,Female,STEM,Consulting,
False,4519,Female,Business,Nonprofit/Gov,
True,1907,Female,Humanities,PE/VC,
True,4085,Female,Business,PE/VC,
False,3572,Male,Humanities,Consulting,
False,2712,Female,STEM,Consulting,
False,1385,Male,STEM,Health Care,
True,4333,Male,Humanities,PE/VC,
False,1622,Female,STEM,PE/VC,
False,6036,Female,STEM,Consulting,
False,2345,Male,Humanities,Other,Admit
False,4832,Female,Humanities,Media/Entertainment,
False,3970,Female,Business,Consulting,
True,229,Male,Humanities,Other,
True,2264,Female,Humanities,Other,
False,3324,Male,Business,Consulting,
True,820,Female,Business,Other,Waitlist
False,2318,Female,Humanities,Technology,
True,890,Male,Business,Consulting,
True,1237,Male,Business,Investment Banking,
False,1453,Male,Humanities,Nonprofit/Gov,
False,2317,Female,STEM,Nonprofit/Gov,
True,1911,Male,Business,Consulting,
False,3863,Male,Humanities,Technology,
True,1073,Male,STEM,PE/VC,
False,2008,Female,Humanities,Technology,
False,4385,Female,STEM,Real Estate,
True,1276,Female,Humanities,Consulting,
True,159,Male,STEM,Nonprofit/Gov,
True,3885,Male,Business,Consulting,
True,1114,Male,Business,Real Estate,
False,2518,Female,Humanities,Consulting,
False,4851,Male,Business,Consulting,
False,2241,Male,Business,Other,
True,1996,Female,STEM,PE/VC,
True,3419,Female,Humanities,Technology,
False,2233,Female,STEM,Other,
False,6182,Male,Humanities,Media/Entertainment,
True,3009,Male,STEM,Nonprofit/Gov,
True,853,Female,STEM,Retail,Waitlist
False,3752,Male,Humanities,Technology,
False,5167,Female,STEM,Consulting,
False,441,Female,STEM,PE/VC,Admit
False,2414,Male,Humanities,Investment Banking,
True,3808,Male,Humanities,Consulting,
False,5134,Male,Humanities,Technology,Admit
True,5866,Male,Humanities,Consulting,
False,1258,Female,STEM,Consulting,
False,282,Male,Business,Technology,
False,1563,Male,STEM,Consulting,
False,4031,Male,Humanities,Technology,Admit
False,3339,Male,STEM,Consulting,
False,5541,Male,Humanities,Technology,
False,3199,Male,Humanities,CPG,
False,5884,Female,STEM,Consulting,Admit
False,5727,Male,Business,Retail,
True,5245,Female,Humanities,Consulting,
False,1606,Male,STEM,Investment Banking,
False,1632,Male,Business,Investment Banking,
False,4010,Male,STEM,Consulting,
True,5658,Female,STEM,Media/Entertainment,
False,5335,Male,Business,Consulting,
False,3027,Male,STEM,Investment Banking,
False,44,Female,Humanities,Consulting,Admit
False,3182,Male,Business,Other,
False,5359,Male,Humanities,Consulting,
False,5841,Male,Humanities,Nonprofit/Gov,
False,2390,Female,Humanities,Consulting,
False,3657,Female,Business,Other,
