Owner_play_time_minutes,Longitude,Country,Eye_colour,Preferred_food,Fur_colour_dominant,Fur_pattern,Breed,Body_length,Age_in_years,Gender,Weight,Neutered_or_spayed
46,2.349014,France,amber,wet,white,solid,Angora,27,0.75,male,3.3,True
9,-74.00597,USA,yellow,wet,black,solid,Maine coon,50,4.75,female,5.92,True
34,-77.03637,USA,blue,dry,seal,colorpoint,Ragdoll,47,2.75,female,4.63,True
27,-122.67621,USA,amber,wet,white,solid,Angora,36,5.17,female,2.5,False
17,8.682127,Germany,blue,wet,white,solid,Angora,39,5.17,female,4.1,False
19,-0.57918,France,blue,dry,black,solid,Angora,41,4.75,male,4.2,False
11,-122.41942,USA,yellow,wet,brown/chocolate,tabby,Maine coon,84,6.5,male,11.3,False
26,11.576124,Germany,blue,wet,seal,colorpoint,Ragdoll,45,6.92,male,7.67,True
19,-77.03637,USA,yellow,dry,brown/chocolate,tabby,Maine coon,42,6.33,female,8.13,True
30,-71.05977,USA,blue,wet,red/cream,colorpoint,Ragdoll,49,9.17,female,5.73,True
29,-71.05977,USA,blue,dry,red/cream,colorpoint,Ragdoll,46,9.58,male,5.87,True
30,-71.05977,USA,blue,wet,seal,colorpoint,Ragdoll,38,8.75,female,6.04,True
24,-122.33207,USA,blue,wet,seal,colorpoint,Ragdoll,49,4.67,female,4.62,True
38,11.576124,Germany,green,wet,seal,colorpoint,Ragdoll,22,0.67,female,3.8,True
10,-87.623177,USA,blue,wet,seal,colorpoint,Ragdoll,44,5.83,male,8.59,True
34,-1.890401,UK,green,wet,red/cream,tabby,Maine coon,16,0.17,male,1.1,False
34,-77.03637,USA,yellow,wet,brown/chocolate,tabby,Maine coon,65,7.5,female,7.86,False
14,-87.623177,USA,blue,wet,seal,colorpoint,Ragdoll,47,4.92,male,7.19,True
25,-122.41942,USA,blue,wet,seal,colorpoint,Ragdoll,45,3.08,female,4.4,False
13,-0.127758,UK,yellow,wet,black,solid,Maine coon,42,1.75,male,3.7,False
38,-114.066666,Canada,blue,wet,seal,colorpoint,Ragdoll,27,1.33,female,3.6,True
19,-1.553621,France,blue,dry,red/cream,solid,Angora,36,2.33,female,4.0,False
27,-87.623177,USA,blue,wet,red/cream,tabby,Angora,37,8.08,male,3.8,True
14,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,47,3.17,female,4.38,False
26,-74.00597,USA,yellow,wet,brown/chocolate,solid,Maine coon,65,7.08,female,6.7,True
18,-87.623177,USA,yellow,wet,white,solid,Maine coon,56,6.75,male,9.7,True
22,-74.00597,USA,yellow,dry,brown/chocolate,solid,Maine coon,45,6.17,female,3.65,True
7,-74.00597,USA,blue,wet,brown/chocolate,colorpoint,Ragdoll,31,7.08,female,5.28,True
20,-122.67621,USA,green,wet,white,solid,Angora,33,6.75,female,2.9,False
32,-122.41942,USA,green,dry,seal,bicolor,Ragdoll,53,2.67,male,6.15,True
39,-74.00597,USA,yellow,wet,black,solid,Maine coon,75,3.58,female,8.22,False
28,-77.03637,USA,green,wet,seal,colorpoint,Ragdoll,50,4.58,male,8.46,True
36,-77.03637,USA,green,wet,seal,colorpoint,Ragdoll,40,4.83,female,4.44,True
28,-77.03637,USA,yellow,wet,red/cream,tabby,Maine coon,76,5.92,male,10.4,False
6,-71.05977,USA,green,dry,seal,colorpoint,Ragdoll,20,2.17,female,6.0,True
38,-71.05977,USA,yellow,wet,black,solid,Maine coon,80,7.58,female,7.9,False
10,-1.549077,UK,blue,dry,seal,colorpoint,Ragdoll,48,6.25,female,6.29,False
19,11.576124,Germany,amber,wet,white,solid,Angora,36,5.17,male,4.3,True
41,-122.41942,USA,blue,wet,seal,colorpoint,Ragdoll,49,2.83,male,8.92,True
32,-74.00597,USA,blue,dry,white,solid,Angora,39,5.0,female,4.7,True
36,-122.41942,USA,yellow,wet,brown/chocolate,bicolor,Maine coon,48,5.42,female,4.15,True
13,-73.561668,Canada,blue,wet,seal,colorpoint,Ragdoll,38,7.75,female,5.52,True
9,-122.41942,USA,blue,dry,seal,colorpoint,Ragdoll,44,5.08,female,6.75,False
55,-0.57918,France,amber,wet,white,solid,Angora,31,0.92,female,3.9,True
35,-74.00597,USA,yellow,wet,red/cream,bicolor,Maine coon,86,8.58,male,10.0,False
8,-77.03637,USA,blue,dry,brown/chocolate,colorpoint,Ragdoll,46,4.42,female,4.75,False
16,-122.67621,USA,green,wet,white,solid,Angora,42,7.75,male,4.7,True
12,-2.991573,UK,yellow,dry,black,solid,Maine coon,60,1.75,female,4.5,True
32,-71.05977,USA,yellow,dry,brown/chocolate,tabby,Maine coon,51,3.58,female,6.67,True
33,4.834277,France,amber,wet,white,solid,Angora,39,4.0,male,4.6,True
29,8.682127,Germany,yellow,wet,red/cream,tabby,Maine coon,78,7.0,male,11.0,True
24,8.682127,Germany,blue,dry,white,solid,Angora,41,5.67,male,4.3,False
21,-122.33207,USA,blue,wet,white,solid,Angora,38,7.17,female,4.6,False
34,-74.00597,USA,green,wet,brown/chocolate,tabby,Maine coon,15,0.08,female,0.8,False
39,-1.890401,UK,blue,wet,black,tortie,Angora,40,7.08,male,5.0,False
34,-122.33207,USA,blue,dry,white,solid,Angora,33,7.0,female,3.0,False
18,-71.05977,USA,amber,dry,black,bicolor,Angora,38,5.75,female,4.4,True
23,2.349014,France,blue,dry,white,solid,Angora,35,3.58,female,3.4,True
39,-2.991573,UK,yellow,wet,brown/chocolate,tabby,Maine coon,51,2.17,male,9.4,True
34,-73.561668,Canada,blue,wet,seal,colorpoint,Ragdoll,21,1.25,female,3.5,True
26,-2.991573,UK,yellow,wet,black,solid,Maine coon,58,1.75,male,3.1,True
26,-79.347015,Canada,blue,wet,white,solid,Angora,41,6.92,male,4.7,True
13,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,39,9.33,female,6.15,True
32,4.834277,France,amber,dry,white,solid,Angora,36,2.33,female,3.3,True
30,-0.57918,France,blue,dry,white,solid,Angora,32,2.58,female,3.0,False
13,-1.890401,UK,blue,wet,white,solid,Angora,37,9.75,male,4.9,False
25,-77.03637,USA,amber,wet,white,solid,Angora,40,7.83,male,5.3,True
18,-74.00597,USA,blue,dry,white,solid,Angora,41,8.33,male,4.1,True
22,-71.05977,USA,blue,wet,brown/chocolate,colorpoint,Ragdoll,23,2.0,female,3.9,True
27,-76.61219,USA,blue,wet,white,solid,Maine coon,37,1.42,female,3.2,True
25,-77.03637,USA,amber,wet,white,solid,Angora,39,6.5,male,3.5,True
34,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,46,7.17,female,5.04,False
34,11.576124,Germany,yellow,dry,black,solid,Maine coon,49,6.83,female,8.41,False
30,-74.00597,USA,blue,wet,black,solid,Angora,41,7.75,male,3.8,False
31,-122.41942,USA,yellow,wet,black,solid,Maine coon,48,5.0,male,8.1,False
17,-71.05977,USA,yellow,dry,red/cream,solid,Maine coon,38,6.42,female,7.82,True
18,-122.67621,USA,blue,wet,seal,colorpoint,Ragdoll,56,9.83,male,8.4,False
18,-77.03637,USA,yellow,wet,red/cream,tabby,Maine coon,58,4.58,male,7.5,False
36,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,44,8.17,male,8.59,True
13,-74.00597,USA,blue,wet,black,bicolor,Angora,61,9.58,male,5.0,True
32,-0.127758,UK,yellow,wet,brown/chocolate,tabby,Maine coon,53,3.67,female,4.0,True
22,-71.05977,USA,blue,dry,seal,colorpoint,Ragdoll,45,2.67,female,5.31,False
5,-76.61219,USA,blue,wet,seal,colorpoint,Ragdoll,28,2.42,female,4.39,False
12,-71.05977,USA,yellow,wet,black,solid,Maine coon,79,3.08,female,6.55,False
16,-71.05977,USA,blue,wet,brown/chocolate,colorpoint,Ragdoll,25,2.25,female,6.78,True
29,-74.00597,USA,green,dry,white,solid,Angora,36,4.92,male,4.4,True
11,-122.33207,USA,yellow,wet,brown/chocolate,tabby,Maine coon,57,8.33,female,8.3,False
32,-74.00597,USA,amber,wet,white,solid,Angora,34,7.42,female,3.3,True
26,-71.05977,USA,yellow,dry,black,solid,Maine coon,68,7.83,male,11.6,True
5,-71.05977,USA,blue,wet,seal,colorpoint,Ragdoll,43,2.92,male,6.96,False
38,-74.00597,USA,blue,wet,red/cream,tabby,Maine coon,14,0.17,male,1.2,False
2,-73.561668,Canada,blue,dry,brown/chocolate,colorpoint,Ragdoll,44,7.83,female,7.07,False
13,-122.33207,USA,green,dry,white,solid,Angora,40,3.5,male,3.9,True
36,-77.03637,USA,amber,dry,white,solid,Angora,35,4.58,male,4.3,False
44,13.404954,Germany,green,dry,red/cream,tabby,Maine coon,85,2.58,male,9.4,True
33,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,50,8.75,male,6.79,False
4,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,36,6.08,female,5.43,False
21,-2.242631,UK,green,wet,brown/chocolate,tabby,Maine coon,15,0.17,male,1.3,False
23,-122.33207,USA,amber,wet,white,solid,Angora,39,3.67,male,4.5,False
12,13.404954,Germany,blue,wet,white,solid,Angora,39,5.67,male,5.5,True
48,3.87771,France,blue,wet,white,solid,Angora,19,0.33,male,2.5,False
29,-122.41942,USA,blue,wet,seal,colorpoint,Ragdoll,43,2.83,male,5.97,True
16,-74.00597,USA,blue,dry,brown/chocolate,colorpoint,Ragdoll,27,4.75,male,4.7,True
28,13.404954,Germany,blue,wet,seal,colorpoint,Ragdoll,48,7.0,male,8.23,True
25,5.36978,France,blue,wet,white,solid,Angora,26,1.25,female,3.4,True
20,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,50,7.25,female,3.66,False
8,-77.03637,USA,blue,dry,seal,colorpoint,Ragdoll,47,9.08,male,7.91,True
12,-122.33207,USA,blue,wet,red/cream,tabby,Angora,40,7.25,male,5.4,True
31,-77.03637,USA,blue,wet,white,solid,Angora,13,0.08,female,0.8,False
12,-87.623177,USA,yellow,wet,black,solid,Maine coon,56,4.92,female,8.89,True
22,-122.41942,USA,blue,wet,seal,colorpoint,Ragdoll,52,8.5,male,8.33,True
19,-1.549077,UK,yellow,wet,black,solid,Maine coon,53,1.58,female,5.0,True
23,-71.05977,USA,yellow,dry,brown/chocolate,tabby,Maine coon,65,9.67,female,6.61,False
19,-74.00597,USA,blue,wet,white,solid,Angora,37,10.0,female,3.7,True
37,-122.33207,USA,yellow,wet,red/cream,solid,Maine coon,83,9.0,male,11.6,True
13,-74.00597,USA,amber,dry,black,bicolor,Angora,34,8.92,female,4.5,True
15,-74.00597,USA,blue,wet,red/cream,mitted,Ragdoll,45,6.0,female,3.73,False
21,-122.41942,USA,blue,dry,red/cream,colorpoint,Ragdoll,21,0.33,male,3.0,False
47,11.576124,Germany,blue,wet,brown/chocolate,colorpoint,Ragdoll,21,0.67,female,3.7,True
32,8.682127,Germany,blue,wet,white,solid,Angora,14,0.17,female,0.7,False
38,2.349014,France,blue,wet,red/cream,solid,Angora,40,2.58,male,4.5,True
26,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,47,3.17,female,6.42,True
27,5.36978,France,blue,wet,white,solid,Angora,40,1.5,male,3.6,False
38,-74.00597,USA,amber,dry,white,solid,Angora,33,4.25,female,2.7,False
24,11.576124,Germany,yellow,wet,red/cream,tabby,Maine coon,72,2.5,male,9.1,True
37,-122.33207,USA,green,wet,brown/chocolate,tabby,Maine coon,54,4.83,male,7.0,False
23,-122.33207,USA,yellow,wet,brown/chocolate,tabby,Maine coon,49,9.42,female,6.45,True
21,13.404954,Germany,blue,wet,white,solid,Maine coon,73,6.25,male,11.2,True
11,-76.61219,USA,blue,dry,seal,colorpoint,Ragdoll,61,5.42,male,9.19,True
23,-77.03637,USA,blue,dry,seal,colorpoint,Ragdoll,27,2.17,male,7.39,True
23,3.87771,France,amber,wet,white,solid,Angora,38,6.25,male,3.6,False
27,-77.03637,USA,green,dry,seal,colorpoint,Ragdoll,50,3.33,female,4.88,False
38,-71.05977,USA,yellow,wet,black,solid,Maine coon,59,7.58,male,8.1,True
22,-122.41942,USA,blue,wet,red/cream,colorpoint,Ragdoll,51,3.5,male,7.32,True
4,-1.549077,UK,blue,dry,seal,colorpoint,Ragdoll,23,1.5,female,3.9,True
34,-122.33207,USA,green,dry,seal,colorpoint,Ragdoll,21,2.08,female,4.72,True
16,-114.066666,Canada,amber,dry,black,bicolor,Angora,33,7.25,female,4.0,False
54,-0.127758,UK,blue,wet,white,solid,Maine coon,35,0.58,male,3.7,False
19,-122.67621,USA,blue,wet,lilac,colorpoint,Ragdoll,41,9.83,female,5.76,True
11,-0.57918,France,blue,dry,white,solid,Angora,40,3.08,male,5.3,True
28,-1.549077,UK,blue,wet,red/cream,bicolor,Ragdoll,26,0.42,female,3.7,False
25,-71.05977,USA,blue,wet,seal,colorpoint,Ragdoll,45,7.08,male,8.18,True
30,-122.33207,USA,blue,wet,red/cream,solid,Angora,37,6.5,female,4.5,True
30,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,45,6.08,female,5.84,True
7,-122.33207,USA,blue,dry,seal,colorpoint,Ragdoll,50,3.42,male,6.83,False
10,-123.116226,Canada,yellow,wet,red/cream,tabby,Maine coon,66,5.42,male,7.5,False
9,-74.00597,USA,blue,wet,white,solid,Angora,38,6.5,female,5.2,True
21,-77.03637,USA,yellow,wet,black,solid,Maine coon,65,9.33,male,6.2,True
13,-1.549077,UK,blue,wet,white,solid,Angora,33,5.08,female,2.4,False
36,-74.00597,USA,blue,wet,white,solid,Angora,35,4.58,female,3.4,False
4,-76.61219,USA,green,dry,seal,colorpoint,Ragdoll,33,9.92,female,6.07,True
18,-122.67621,USA,blue,dry,seal,colorpoint,Ragdoll,47,4.33,male,5.64,False
26,-74.00597,USA,green,dry,white,solid,Angora,38,5.92,male,4.3,False
15,-71.05977,USA,yellow,wet,black,solid,Maine coon,83,9.0,male,11.3,True
11,-74.00597,USA,amber,wet,black,bicolor,Angora,40,3.83,male,4.8,True
23,-1.890401,UK,blue,dry,white,solid,Maine coon,32,2.0,female,3.8,False
27,-74.00597,USA,yellow,wet,black,tortie,Maine coon,74,4.83,female,4.95,False
18,-114.066666,Canada,yellow,dry,black,solid,Maine coon,71,5.67,female,5.2,True
11,-122.67621,USA,yellow,wet,black,solid,Maine coon,80,7.08,female,5.62,True
25,-74.00597,USA,yellow,dry,brown/chocolate,tabby,Maine coon,42,4.83,female,6.19,True
9,-122.67621,USA,blue,dry,seal,mitted,Ragdoll,48,7.08,female,3.92,False
18,-73.561668,Canada,yellow,wet,brown/chocolate,solid,Maine coon,53,5.25,female,3.76,True
12,-71.05977,USA,yellow,wet,brown/chocolate,tabby,Maine coon,77,7.42,male,11.3,True
28,-2.991573,UK,green,dry,black,bicolor,Maine coon,31,1.08,female,3.7,True
26,8.682127,Germany,blue,wet,seal,colorpoint,Ragdoll,52,5.58,male,7.55,False
8,-122.67621,USA,blue,wet,seal,colorpoint,Ragdoll,27,2.5,male,6.72,False
31,-122.67621,USA,blue,wet,brown/chocolate,colorpoint,Ragdoll,39,3.25,female,4.22,False
14,-74.00597,USA,amber,wet,white,solid,Angora,38,4.75,female,3.9,False
22,-74.00597,USA,blue,dry,red/cream,colorpoint,Ragdoll,43,3.33,male,6.35,True
20,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,14,0.17,female,0.9,False
18,-122.41942,USA,amber,wet,white,solid,Angora,40,4.83,male,4.5,True
44,-122.41942,USA,blue,wet,white,solid,Angora,39,3.0,male,4.8,False
15,-122.33207,USA,amber,wet,black,bicolor,Angora,39,6.5,male,4.2,False
1,-76.61219,USA,blue,dry,red/cream,colorpoint,Ragdoll,52,3.25,male,6.8,True
29,-77.03637,USA,blue,dry,red/cream,solid,Angora,36,7.17,male,3.5,False
30,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,47,9.0,female,6.36,False
38,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,45,3.0,female,6.1,True
7,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,48,5.08,female,6.71,True
12,-0.127758,UK,green,dry,seal,colorpoint,Ragdoll,27,5.67,female,4.9,True
29,-1.549077,UK,blue,dry,white,solid,Maine coon,31,5.75,male,3.9,False
17,3.87771,France,green,dry,seal,colorpoint,Ragdoll,40,3.5,female,4.69,False
27,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,50,3.0,male,7.48,False
13,-71.05977,USA,yellow,wet,black,solid,Maine coon,63,6.42,female,6.84,False
37,-77.03637,USA,yellow,dry,black,solid,Maine coon,64,5.0,female,5.23,True
17,8.682127,Germany,blue,wet,seal,colorpoint,Ragdoll,48,5.58,male,6.17,True
13,-74.00597,USA,blue,dry,seal,colorpoint,Ragdoll,46,3.17,male,7.79,True
24,-74.00597,USA,blue,wet,red/cream,colorpoint,Ragdoll,53,5.67,male,7.12,True
34,-1.890401,UK,yellow,wet,white,solid,Maine coon,31,2.0,male,3.0,True
11,5.36978,France,yellow,wet,black,bicolor,Maine coon,35,1.17,male,4.3,False
37,-76.61219,USA,yellow,dry,black,solid,Maine coon,85,7.58,male,7.4,False
20,-1.890401,UK,blue,wet,red/cream,bicolor,Ragdoll,26,3.0,male,4.9,False
10,-114.066666,Canada,yellow,dry,black,solid,Maine coon,52,5.5,female,6.36,True
23,-87.623177,USA,blue,wet,red/cream,bicolor,Ragdoll,11,0.08,female,0.9,False
32,-74.00597,USA,blue,dry,white,solid,Angora,37,4.75,male,4.0,False
9,-0.127758,UK,blue,dry,seal,colorpoint,Ragdoll,47,6.33,female,6.89,False
23,-0.57918,France,blue,dry,white,solid,Angora,38,2.0,male,3.7,True
11,-74.00597,USA,blue,wet,lilac,colorpoint,Ragdoll,47,9.33,female,7.34,True
16,-122.67621,USA,blue,dry,white,solid,Angora,36,5.08,female,2.3,False
48,-1.553621,France,green,wet,white,solid,Angora,31,1.42,female,3.9,True
27,-123.116226,Canada,green,wet,black,solid,Maine coon,73,5.58,female,7.6,True
32,6.773456,Germany,blue,wet,red/cream,colorpoint,Ragdoll,46,5.67,male,5.62,False
29,-71.05977,USA,amber,wet,white,solid,Angora,41,5.92,male,3.9,True
11,-123.116226,Canada,blue,wet,seal,colorpoint,Ragdoll,29,1.75,male,4.1,False
28,5.36978,France,green,wet,white,solid,Angora,34,2.92,female,4.1,True
9,13.404954,Germany,green,dry,brown/chocolate,tabby,Maine coon,78,6.83,male,7.5,True
25,-74.00597,USA,blue,wet,red/cream,bicolor,Ragdoll,51,2.67,male,5.53,False
15,-74.00597,USA,amber,dry,white,solid,Angora,35,8.67,female,4.1,True
34,-122.41942,USA,green,wet,black,solid,Maine coon,48,4.75,female,6.31,True
36,-74.00597,USA,blue,wet,white,solid,Angora,16,0.17,female,0.8,False
35,-123.116226,Canada,blue,dry,seal,mitted,Ragdoll,31,1.92,male,4.8,True
13,-122.67621,USA,yellow,wet,white,solid,Maine coon,51,5.75,female,5.91,True
36,-1.553621,France,yellow,wet,black,solid,Maine coon,48,6.58,male,3.9,False
38,-87.623177,USA,blue,wet,seal,colorpoint,Ragdoll,26,1.17,female,4.1,True
13,-114.066666,Canada,blue,dry,white,solid,Angora,40,6.67,male,4.8,True
21,11.576124,Germany,yellow,wet,black,solid,Maine coon,61,2.5,male,9.7,True
23,-77.03637,USA,amber,dry,white,solid,Angora,38,4.75,female,3.1,True
28,-74.00597,USA,blue,wet,white,solid,Angora,39,2.92,male,4.1,False
9,-71.05977,USA,yellow,wet,black,solid,Maine coon,62,7.17,male,7.0,True
28,-0.127758,UK,blue,dry,white,solid,Maine coon,31,1.08,female,3.0,False
9,-71.05977,USA,blue,wet,seal,colorpoint,Ragdoll,50,7.5,female,4.39,True
44,-0.127758,UK,blue,dry,white,solid,Maine coon,36,1.92,female,3.2,True
26,8.682127,Germany,blue,dry,white,solid,Angora,35,5.33,female,3.4,True
39,-74.00597,USA,yellow,wet,brown/chocolate,tabby,Maine coon,65,7.58,male,9.7,False
11,2.349014,France,yellow,wet,white,solid,Maine coon,54,4.0,male,4.0,False
10,-1.549077,UK,blue,wet,seal,colorpoint,Ragdoll,28,1.5,male,4.4,False
10,-71.05977,USA,blue,wet,white,bicolor,Angora,33,7.83,female,4.0,True
11,-122.67621,USA,yellow,dry,black,solid,Maine coon,97,8.0,male,10.9,True
28,-76.61219,USA,blue,dry,seal,colorpoint,Ragdoll,48,9.25,female,5.49,True
15,-77.03637,USA,blue,wet,seal,bicolor,Ragdoll,48,9.25,female,3.71,False
26,11.576124,Germany,yellow,wet,black,bicolor,Maine coon,53,3.17,male,7.1,False
21,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,24,2.5,female,4.88,True
23,-74.00597,USA,blue,wet,red/cream,colorpoint,Ragdoll,51,9.58,male,7.7,True
24,-74.00597,USA,blue,wet,red/cream,solid,Angora,39,7.83,male,5.0,True
16,-79.347015,Canada,amber,dry,white,solid,Angora,41,6.58,male,3.9,False
12,-71.05977,USA,blue,dry,red/cream,colorpoint,Ragdoll,49,5.17,male,7.06,False
36,-79.347015,Canada,blue,dry,seal,bicolor,Ragdoll,27,1.42,female,4.1,True
16,-122.33207,USA,yellow,wet,black,solid,Maine coon,102,7.67,male,10.1,True
36,-122.33207,USA,yellow,dry,brown/chocolate,tabby,Maine coon,87,6.25,male,8.3,False
18,-122.67621,USA,blue,dry,seal,colorpoint,Ragdoll,41,6.08,female,6.47,True
31,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,38,2.83,female,5.3,False
9,-71.05977,USA,amber,wet,black,bicolor,Angora,41,8.08,male,4.2,True
18,-79.347015,Canada,yellow,dry,black,solid,Maine coon,51,5.42,male,9.2,True
13,-77.03637,USA,blue,wet,seal,tortie,Ragdoll,46,4.58,female,4.37,True
11,-71.05977,USA,yellow,wet,brown/chocolate,tabby,Maine coon,65,7.17,male,8.7,True
6,13.404954,Germany,blue,dry,seal,colorpoint,Ragdoll,44,6.75,female,4.41,True
29,-73.561668,Canada,green,dry,red/cream,colorpoint,Ragdoll,27,2.0,male,4.9,True
39,-1.890401,UK,yellow,wet,brown/chocolate,tabby,Maine coon,66,2.17,female,5.36,True
20,5.36978,France,blue,wet,black,tortie,Angora,25,0.58,female,3.0,False
8,-71.05977,USA,green,wet,seal,mitted,Ragdoll,23,2.08,female,4.33,True
22,-76.61219,USA,blue,wet,seal,colorpoint,Ragdoll,40,5.17,female,4.07,False
37,-0.127758,UK,yellow,wet,black,solid,Maine coon,60,1.58,female,3.7,True
24,-76.61219,USA,yellow,wet,black,solid,Maine coon,46,9.5,female,8.34,True
31,4.834277,France,blue,wet,red/cream,bicolor,Ragdoll,49,3.75,male,5.6,True
17,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,48,4.67,female,5.81,False
12,-76.61219,USA,blue,wet,red/cream,tabby,Angora,40,6.58,male,4.2,False
18,3.87771,France,green,wet,seal,colorpoint,Ragdoll,51,3.58,male,8.33,True
11,-76.61219,USA,blue,wet,white,solid,Angora,37,9.67,female,4.6,False
13,-74.00597,USA,blue,wet,seal,colorpoint,Ragdoll,26,5.17,female,4.7,True
18,-77.03637,USA,green,wet,seal,tortie,Ragdoll,38,5.08,female,4.37,True
37,-122.33207,USA,yellow,dry,brown/chocolate,tabby,Maine coon,83,4.25,male,10.5,True
12,-71.05977,USA,yellow,dry,black,solid,Maine coon,42,7.42,female,7.27,True
36,-0.127758,UK,blue,wet,black,bicolor,Maine coon,17,0.17,female,1.0,False
12,-74.00597,USA,yellow,dry,black,bicolor,Maine coon,52,2.92,male,8.4,True
23,8.682127,Germany,amber,wet,black,solid,Angora,38,5.42,male,4.3,True
18,-122.67621,USA,blue,dry,white,solid,Angora,40,8.5,male,4.0,False
37,-122.67621,USA,blue,wet,white,solid,Maine coon,39,7.67,female,7.98,True
14,13.404954,Germany,blue,wet,seal,colorpoint,Ragdoll,45,5.67,male,5.87,True
14,-71.05977,USA,yellow,dry,black,tortie,Maine coon,53,10.0,female,6.5,False
41,-1.890401,UK,yellow,wet,black,tortie,Maine coon,34,0.5,female,3.0,False
22,-122.33207,USA,blue,wet,white,solid,Angora,34,4.75,female,2.7,True
10,3.87771,France,green,wet,black,solid,Angora,34,2.25,female,3.7,False
23,-77.03637,USA,blue,dry,white,solid,Angora,33,7.25,female,2.5,True
12,6.773456,Germany,yellow,wet,red/cream,tabby,Maine coon,71,2.42,male,8.3,True
39,8.682127,Germany,amber,dry,white,solid,Angora,39,5.75,male,4.4,False
30,-74.00597,USA,green,dry,white,solid,Angora,37,6.33,female,3.1,False
47,-1.553621,France,amber,wet,white,solid,Angora,22,0.58,male,3.0,False
28,-122.33207,USA,green,dry,white,solid,Angora,37,7.75,female,2.8,False
31,-77.03637,USA,blue,dry,white,solid,Angora,36,7.67,male,4.9,False
34,13.404954,Germany,green,wet,lilac,bicolor,Ragdoll,22,6.92,female,4.0,False
9,-122.33207,USA,blue,wet,seal,colorpoint,Ragdoll,41,4.5,female,5.38,False
38,3.87771,France,amber,wet,white,solid,Angora,26,0.67,male,3.3,True
36,-77.03637,USA,blue,dry,seal,colorpoint,Ragdoll,51,4.92,male,7.99,False
24,-77.03637,USA,amber,dry,white,solid,Angora,37,4.58,female,3.4,True
4,-79.347015,Canada,blue,wet,seal,colorpoint,Ragdoll,24,1.83,female,3.8,True
9,-76.61219,USA,green,wet,seal,colorpoint,Ragdoll,47,3.5,female,5.36,False
28,-2.242631,UK,blue,dry,white,solid,Maine coon,32,3.17,male,3.9,True
30,-1.890401,UK,blue,wet,seal,colorpoint,Ragdoll,22,1.58,female,4.2,True
3,-75.697193,Canada,blue,wet,seal,colorpoint,Ragdoll,43,7.58,male,7.08,True
28,-77.03637,USA,blue,wet,seal,colorpoint,Ragdoll,44,6.0,male,5.71,True
