Building Type,Square Footage,Day of Week,Appliances Used,Number of Occupants,Energy Consumption
Commercial,10647,Weekday,41,46,3796.71
Industrial,32588,Weekend,10,75,5013.75
Industrial,39943,Weekday,5,74,5228.01
Commercial,25074,Weekend,18,41,3891.86
Residential,42740,Weekday,22,60,4649.88
Residential,25361,Weekend,26,77,3937.59
Residential,38743,Weekday,23,65,4546.15
Residential,8348,Weekend,37,67,3244.98
Commercial,47265,Weekday,44,4,5206.34
Residential,2692,Weekday,13,83,2656.26
Commercial,16905,Weekend,26,88,4158.47
Industrial,16396,Weekend,49,79,5037.86
Industrial,8507,Weekday,28,36,3798.54
Residential,36272,Weekday,6,93,4253.4
Industrial,42707,Weekend,44,4,5471.43
Industrial,48424,Weekday,28,49,5961.49
Industrial,40474,Weekend,6,82,5358.22
Residential,32847,Weekend,35,34,4085.95
Industrial,34914,Weekend,18,99,5428.56
Industrial,2550,Weekday,45,97,4374.59
Commercial,20395,Weekday,27,42,3951.62
Residential,17820,Weekend,8,11,2571.98
Residential,27072,Weekend,30,12,3409.14
Commercial,9002,Weekday,41,99,4211.82
Commercial,1468,Weekday,10,21,2365.5
Commercial,21081,Weekend,42,20,3967.63
Residential,18185,Weekday,15,97,3580.93
Commercial,8936,Weekday,24,38,3240.14
Industrial,36454,Weekend,40,72,5789.16
Commercial,20579,Weekday,19,44,3787.26
Residential,31061,Weekend,17,94,4274.73
Industrial,31919,Weekend,20,77,5151.75
Industrial,3749,Weekend,4,11,2769.99
Commercial,28029,Weekend,15,38,3987.84
Industrial,18588,Weekday,17,7,3792.47
Residential,27924,Weekend,7,85,3799.24
Commercial,43034,Weekend,12,23,4550.69
Residential,9610,Weekend,1,66,2556.63
Commercial,13721,Weekend,10,8,2864.63
Residential,8304,Weekday,46,98,3771.12
Commercial,24589,Weekend,7,48,3683.59
Industrial,7283,Weekday,44,88,4576.47
Commercial,33620,Weekday,5,98,4748.66
Residential,42344,Weekday,30,5,4155.74
Commercial,17827,Weekday,4,35,3246.71
Residential,13909,Weekend,21,62,3141.67
Commercial,6224,Weekend,39,15,3097.45
Commercial,20559,Weekday,8,21,3314.12
Commercial,49090,Weekend,17,70,5390.61
Commercial,13581,Weekday,7,73,3495.35
Commercial,24395,Weekend,5,60,3844.62
Residential,36832,Weekend,30,20,3985.45
Residential,15817,Weekend,47,85,3955.17
Residential,17153,Weekday,1,9,2347.37
Industrial,48802,Weekday,9,85,5948.34
Industrial,39698,Weekday,36,85,6014.94
Residential,39163,Weekday,44,12,4454.51
Industrial,40211,Weekday,21,75,5589.71
Industrial,43501,Weekday,31,83,6041.7
Residential,14788,Weekday,9,38,2735.63
Residential,19563,Weekend,27,65,3555.64
Commercial,10016,Weekday,8,85,3437.74
Industrial,16376,Weekend,7,7,3390.53
Commercial,29421,Weekday,21,16,3927.4
Industrial,18174,Weekend,14,68,4261.05
Residential,18086,Weekend,8,21,2685.54
Commercial,42252,Weekend,33,19,4905.91
Industrial,44909,Weekday,4,4,4805.17
Industrial,37765,Weekend,35,92,5879.25
Industrial,2480,Weekday,9,30,3030.38
Residential,28196,Weekend,19,74,3907.03
Commercial,49038,Weekday,25,43,5359.38
Commercial,40192,Weekend,23,23,4549.59
Commercial,23911,Weekday,48,93,4978.71
Industrial,43380,Weekend,33,31,5465.54
Industrial,7145,Weekday,37,67,4211.11
Residential,40787,Weekday,4,35,3949.4
Commercial,23540,Weekday,10,80,4149.49
Commercial,41657,Weekday,38,76,5492.51
Industrial,32909,Weekend,29,47,5028.58
Commercial,47214,Weekend,20,48,5126.0
Residential,22230,Weekend,25,16,3125.85
Commercial,20123,Weekday,19,13,3441.55
Industrial,26022,Weekend,21,24,4314.56
Commercial,16350,Weekday,38,14,3675.54
Residential,4314,Weekend,17,43,2330.09
Residential,21081,Weekend,25,5,2972.61
Industrial,34580,Weekend,13,47,4831.96
Commercial,22931,Weekday,34,24,3991.89
Residential,42960,Weekday,33,78,5041.34
Industrial,32784,Weekend,11,10,4363.9
Commercial,2606,Weekday,2,30,2372.16
Residential,45528,Weekend,32,32,4592.9
Residential,1620,Weekend,23,72,2660.28
Residential,47555,Weekday,29,34,4726.97
Residential,46786,Weekday,49,17,4891.8
Commercial,34433,Weekday,48,58,5164.94
Commercial,11583,Weekday,17,48,3332.69
Industrial,31963,Weekday,5,69,4886.94
Residential,48023,Weekend,46,42,5152.04
Residential,49256,Weekend,35,82,5329.29
Residential,24070,Weekend,49,2,3580.56
Commercial,17459,Weekday,37,3,3554.19
Residential,47328,Weekend,3,12,3883.46
Commercial,6599,Weekend,28,27,3097.98
Commercial,41696,Weekday,43,98,5809.3
Residential,29625,Weekend,2,55,3518.13
Residential,47563,Weekend,8,41,4357.27
Commercial,46148,Weekday,20,5,4659.4
Commercial,12153,Weekend,23,75,3733.52
Commercial,45641,Weekday,21,41,5082.68
Industrial,29902,Weekend,34,15,4741.16
Residential,49374,Weekday,28,13,4561.71
Commercial,24150,Weekend,21,46,3945.47
Commercial,32919,Weekday,8,92,4640.78
Residential,47233,Weekday,8,66,4680.87
Commercial,32765,Weekday,9,26,4075.67
Industrial,9708,Weekend,24,70,4008.78
Commercial,16871,Weekday,38,93,4413.74
Commercial,31790,Weekend,31,46,4534.07
Industrial,19842,Weekday,11,15,3855.63
Commercial,6859,Weekend,47,25,3403.93
Commercial,37698,Weekday,21,4,4339.55
Industrial,49653,Weekday,12,63,5754.96
Residential,5609,Weekday,2,81,2514.4
Commercial,7040,Weekday,20,4,2727.89
Residential,13265,Weekday,41,14,3009.14
Commercial,47537,Weekday,17,34,5023.85
Residential,43820,Weekday,36,3,4376.22
Industrial,10268,Weekday,20,35,3647.48
Commercial,29365,Weekend,24,18,4063.62
Residential,27484,Weekend,48,47,4160.27
Residential,32153,Weekend,24,75,4172.08
Commercial,37912,Weekday,43,24,4993.7
Industrial,18523,Weekday,45,79,5054.19
Commercial,27237,Weekend,41,39,4495.21
Residential,34036,Weekend,43,35,4330.61
Industrial,11671,Weekend,8,63,3699.87
Commercial,3593,Weekend,41,88,3768.3
Residential,42286,Weekday,35,50,4808.64
Commercial,42449,Weekend,20,48,4930.94
Commercial,9211,Weekend,28,33,3299.75
Residential,32360,Weekend,13,40,3630.24
Residential,29898,Weekend,13,63,3791.16
Commercial,35942,Weekend,11,87,4736.66
Residential,26183,Weekend,3,68,3465.03
Commercial,49287,Weekday,42,60,5862.82
Commercial,4994,Weekday,38,79,3701.73
Commercial,11862,Weekend,36,5,3195.8
Industrial,16085,Weekend,45,95,5034.91
Industrial,11622,Weekend,4,93,3965.05
Residential,35060,Weekend,45,39,4408.36
Residential,26010,Weekend,36,7,3435.21
Commercial,36159,Weekday,30,79,5076.4
Commercial,2328,Weekday,16,69,3114.61
Industrial,18271,Weekday,28,23,4136.67
Commercial,49270,Weekday,38,28,5438.11
Commercial,17675,Weekday,36,48,4036.68
Industrial,5257,Weekend,12,74,3679.96
Commercial,43506,Weekday,34,12,4969.79
Residential,32487,Weekday,49,95,5020.9
Industrial,19529,Weekday,19,85,4612.22
Industrial,17834,Weekday,19,66,4363.89
Residential,33481,Weekday,26,90,4524.49
Commercial,6288,Weekday,20,33,2968.2
Industrial,2122,Weekday,36,68,3897.02
Residential,8406,Weekday,36,25,2842.91
Commercial,3483,Weekend,5,79,3012.32
Industrial,47554,Weekend,8,72,5628.95
Residential,6654,Weekday,24,21,2497.72
Industrial,24854,Weekend,27,60,4710.15
Industrial,5799,Weekend,23,37,3446.15
Residential,16025,Weekday,16,35,2914.3
Residential,17934,Weekday,44,70,3888.89
Industrial,10003,Weekend,47,3,3916.46
Industrial,33797,Weekday,13,86,5290.06
Industrial,25438,Weekday,16,21,4233.24
Commercial,11746,Weekday,18,1,2883.5
Industrial,47682,Weekend,37,20,5691.84
Commercial,44981,Weekday,20,81,5369.95
Commercial,20494,Weekend,9,18,3305.06
Industrial,19597,Weekend,6,89,4371.38
Commercial,38373,Weekday,27,1,4417.34
Industrial,21927,Weekday,10,95,4628.8
Residential,29234,Weekend,17,39,3519.56
Industrial,27089,Weekday,25,69,4947.78
Industrial,28587,Weekend,14,24,4329.5
Residential,30356,Weekend,30,25,3728.69
Industrial,30281,Weekend,12,46,4611.73
Residential,26789,Weekday,4,57,3459.45
Commercial,25360,Weekday,26,34,4103.09
Industrial,20920,Weekend,31,89,4892.22
Industrial,7679,Weekday,32,58,4009.27
Industrial,1507,Weekend,17,58,3407.54
Commercial,38506,Weekend,26,82,5177.22
Industrial,28645,Weekday,43,32,5097.96
Industrial,32075,Weekend,38,8,4849.54
Commercial,22680,Weekend,21,62,4092.14
Residential,43582,Weekend,4,92,4584.62
Industrial,34893,Weekday,28,86,5633.76
Industrial,8570,Weekday,45,9,3833.81
Industrial,32466,Weekday,26,29,4905.84
Residential,27845,Weekend,21,85,4015.46
Industrial,33726,Weekday,34,70,5565.67
Industrial,31773,Weekday,19,60,4988.57
Industrial,33839,Weekday,11,64,4963.62
Commercial,26931,Weekday,11,31,3798.62
Commercial,16434,Weekday,24,24,3501.94
Residential,28673,Weekend,15,31,3487.69
Residential,2490,Weekday,8,91,2619.36
Commercial,13375,Weekday,18,26,3279.17
Industrial,7559,Weekday,44,27,4027.56
Industrial,44913,Weekend,48,55,6130.17
Commercial,30527,Weekday,20,70,4616.89
Residential,26885,Weekend,23,94,4161.08
Residential,7063,Weekday,10,76,2713.95
Industrial,16922,Weekend,19,57,4195.75
Residential,37834,Weekend,10,12,3547.29
Residential,38500,Weekend,49,42,4698.47
Industrial,14129,Weekend,29,50,4193.77
Industrial,31407,Weekday,39,2,4805.22
Commercial,15163,Weekend,40,11,3612.86
Residential,7509,Weekday,18,30,2532.88
Industrial,32098,Weekend,13,4,4269.02
Industrial,7319,Weekday,37,21,3708.08
Commercial,3219,Weekend,13,27,2602.69
Commercial,22066,Weekday,40,98,4804.46
Residential,3073,Weekday,17,33,2288.52
Commercial,25291,Weekend,17,83,4348.86
Residential,16532,Weekend,18,8,2605.98
Residential,18264,Weekend,34,49,3471.43
Industrial,22304,Weekend,29,74,4878.26
Residential,42188,Weekday,43,64,5038.34
Residential,2853,Weekend,37,81,3074.25
Commercial,12418,Weekend,13,73,3525.79
Commercial,11041,Weekend,41,68,3947.63
Residential,48785,Weekend,6,84,4796.83
Industrial,21453,Weekday,6,58,4227.17
Residential,41589,Weekday,34,50,4643.44
Commercial,7714,Weekday,7,51,3019.12
Residential,14237,Weekday,28,45,3127.07
Commercial,9630,Weekday,11,25,2864.42
Commercial,19756,Weekend,47,61,4370.89
Industrial,6126,Weekday,13,49,3514.09
Residential,34242,Weekend,16,32,3750.37
Residential,32654,Weekend,48,74,4687.39
Commercial,13357,Weekday,31,83,4114.7
Industrial,45920,Weekend,34,54,5842.72
Commercial,7583,Weekend,9,16,2564.94
Industrial,34657,Weekday,47,21,5332.1
Industrial,3541,Weekend,7,80,3467.74
Industrial,12164,Weekday,41,82,4683.0
Industrial,14699,Weekday,40,83,4750.37
Commercial,18881,Weekday,6,54,3558.78
Residential,29509,Weekend,47,64,4481.81
Industrial,46507,Weekday,30,41,5772.35
Industrial,23616,Weekend,33,86,5107.0
Commercial,605,Weekday,36,16,2875.48
Industrial,38638,Weekend,14,92,5526.83
Commercial,25553,Weekday,25,96,4635.4
Residential,45123,Weekday,47,5,4730.23
Residential,2259,Weekend,45,22,2608.53
Commercial,32696,Weekend,37,19,4443.15
Residential,45465,Weekend,25,3,4251.16
Commercial,3889,Weekday,40,21,3115.68
Commercial,17587,Weekday,4,72,3658.93
Industrial,35698,Weekday,29,91,5660.75
Industrial,12454,Weekend,35,68,4355.96
Industrial,2242,Weekend,37,9,3386.72
Commercial,34520,Weekend,27,96,5080.4
Residential,22227,Weekend,49,56,4087.05
Residential,49646,Weekday,12,12,4298.92
Industrial,22515,Weekend,30,60,4757.71
Residential,31610,Weekday,36,15,3926.61
Industrial,14882,Weekday,40,48,4435.54
Commercial,47100,Weekend,1,5,4374.33
Residential,11803,Weekday,1,32,2342.32
Residential,18771,Weekend,4,66,3106.77
Industrial,41306,Weekday,41,46,5798.61
Residential,20415,Weekend,5,35,2815.34
Commercial,20433,Weekend,30,78,4254.59
Residential,48790,Weekday,38,58,5185.54
Industrial,35122,Weekday,41,56,5513.36
Residential,46526,Weekday,20,14,4276.66
Industrial,1025,Weekday,48,28,3719.19
Residential,19139,Weekday,34,97,4070.21
Commercial,27338,Weekday,49,37,4601.21
Industrial,36484,Weekend,43,69,5794.31
Industrial,14169,Weekend,5,52,3736.5
Commercial,22063,Weekend,8,92,4015.07
Residential,35701,Weekend,17,19,3665.55
Industrial,40387,Weekday,37,31,5518.13
Commercial,9578,Weekend,47,54,3891.12
Industrial,9095,Weekend,34,5,3536.81
Residential,26321,Weekend,43,89,4496.55
Residential,13484,Weekend,23,42,2924.6
Residential,16835,Weekday,7,19,2554.39
Residential,31086,Weekday,32,52,4197.59
Commercial,35935,Weekday,37,55,5018.25
Industrial,45359,Weekday,35,75,6133.65
Residential,23390,Weekend,23,50,3510.52
Residential,802,Weekday,40,17,2457.6
Residential,49189,Weekday,22,51,4839.29
Commercial,10024,Weekday,40,54,3838.73
Industrial,16869,Weekend,13,10,3598.99
Residential,4633,Weekday,2,98,2726.13
Residential,3211,Weekend,10,78,2499.0
Residential,36685,Weekend,12,63,4091.56
Residential,45141,Weekend,46,36,4879.42
Industrial,46663,Weekday,1,55,5338.19
Industrial,20456,Weekend,6,50,3975.14
Industrial,1119,Weekday,29,11,3196.17
Residential,7065,Weekend,14,4,2020.15
Residential,8473,Weekday,22,9,2443.16
Commercial,10382,Weekend,31,63,3699.65
Residential,29930,Weekend,6,63,3621.53
Residential,2896,Weekday,27,51,2684.98
Commercial,34061,Weekday,14,43,4306.74
Industrial,46039,Weekday,36,41,5822.52
Industrial,40185,Weekday,23,73,5576.14
Industrial,22919,Weekend,15,55,4349.61
Industrial,2060,Weekday,41,69,4099.62
Residential,9320,Weekend,44,40,3140.2
Commercial,19287,Weekend,34,77,4246.55
Commercial,4970,Weekend,17,21,2648.85
Industrial,18274,Weekday,22,32,4134.35
Residential,11844,Weekend,22,2,2451.63
Residential,15828,Weekend,11,52,2883.63
Industrial,12682,Weekday,32,62,4271.39
Commercial,33357,Weekend,43,92,5329.97
Commercial,25057,Weekday,32,86,4649.81
Residential,2613,Weekday,2,11,1683.95
Commercial,9700,Weekday,35,20,3297.91
Commercial,29986,Weekend,9,93,4514.09
Commercial,15782,Weekday,18,39,3508.32
Commercial,24577,Weekend,24,86,4446.22
Residential,8313,Weekday,43,4,2745.7
Commercial,35546,Weekend,4,52,4245.53
Residential,10496,Weekend,17,21,2417.11
Residential,34572,Weekend,1,14,3324.61
Commercial,24863,Weekend,40,50,4414.12
Industrial,32732,Weekday,19,60,5007.9
Industrial,22451,Weekday,30,93,5100.56
Residential,38109,Weekend,39,62,4729.67
Industrial,26349,Weekend,46,88,5563.48
Industrial,16501,Weekday,45,63,4854.04
Commercial,44372,Weekday,45,66,5744.99
Industrial,30469,Weekday,26,55,5002.91
Commercial,41100,Weekday,49,8,5063.09
Residential,29552,Weekday,38,42,4082.39
Commercial,41901,Weekend,26,23,4677.23
Residential,3724,Weekend,10,16,1915.37
Industrial,27223,Weekend,44,86,5446.83
Commercial,25451,Weekend,9,60,3909.07
Industrial,39841,Weekday,7,47,5025.81
Industrial,20316,Weekend,24,42,4331.04
Residential,33056,Weekend,11,3,3238.18
Commercial,32623,Weekday,29,65,4772.8
Commercial,24363,Weekday,35,10,3938.82
Industrial,37511,Weekday,45,47,5669.86
Commercial,27702,Weekend,14,71,4318.61
Commercial,9946,Weekend,40,35,3565.7
Residential,27088,Weekend,34,43,3859.59
Industrial,30475,Weekend,3,92,4935.7
Residential,40415,Weekday,48,8,4548.56
Industrial,38501,Weekday,3,84,5214.85
Industrial,27990,Weekend,31,85,5249.84
Residential,49488,Weekday,41,99,5746.4
Commercial,46667,Weekday,1,39,4638.97
Commercial,48338,Weekend,18,2,4693.8
Industrial,29787,Weekday,38,77,5416.01
Industrial,15874,Weekend,14,89,4318.82
Industrial,40829,Weekend,4,52,4979.96
Residential,31159,Weekday,42,35,4208.74
Industrial,49768,Weekend,22,51,5763.85
Residential,48408,Weekend,15,2,4102.94
Industrial,24558,Weekend,8,80,4566.41
Residential,49094,Weekday,11,33,4483.83
Industrial,16741,Weekend,27,19,3947.61
Residential,29125,Weekday,7,57,3631.54
Industrial,20194,Weekend,45,60,4895.61
Commercial,26672,Weekday,1,8,3384.78
Commercial,2982,Weekend,13,15,2500.56
Commercial,9517,Weekend,46,82,4149.86
Residential,43020,Weekday,34,32,4642.27
Industrial,22427,Weekday,13,8,3880.32
Industrial,37708,Weekend,23,91,5607.7
Industrial,36446,Weekday,43,92,6069.51
Residential,2943,Weekday,29,13,2318.15
Industrial,23034,Weekday,14,29,4104.1
Residential,45868,Weekend,19,97,5031.14
Industrial,11116,Weekday,17,64,3932.56
Commercial,23898,Weekend,16,55,3930.14
Commercial,28452,Weekend,43,10,4252.4
Residential,5945,Weekday,23,16,2295.33
Residential,47564,Weekend,44,23,4860.8
Commercial,44741,Weekday,12,78,5143.73
Commercial,44013,Weekend,49,15,5278.51
Residential,6871,Weekday,19,26,2364.9
Residential,2579,Weekend,49,32,2867.44
Industrial,38697,Weekend,35,17,5134.71
Industrial,1779,Weekday,14,84,3599.73
Residential,15898,Weekend,20,83,3377.38
Industrial,10677,Weekend,12,97,4173.1
Residential,25057,Weekend,29,21,3417.99
Industrial,7460,Weekday,23,32,3563.67
Residential,42474,Weekday,45,62,5101.13
Residential,23551,Weekday,37,93,4263.39
Commercial,30587,Weekend,36,70,4873.0
Industrial,10681,Weekday,47,71,4635.28
Industrial,7140,Weekday,11,65,3707.17
Industrial,35136,Weekday,42,87,5866.63
Residential,33539,Weekday,15,21,3593.42
Industrial,14635,Weekend,27,19,3900.33
Residential,17467,Weekday,36,42,3419.13
Industrial,26655,Weekend,48,70,5407.04
Industrial,45584,Weekend,11,52,5415.31
Residential,42255,Weekday,47,78,5247.04
Residential,3842,Weekday,12,45,2260.82
Industrial,37938,Weekday,17,98,5711.22
Commercial,22236,Weekend,5,65,3688.46
Residential,11925,Weekend,9,76,2921.01
Industrial,41238,Weekday,7,22,4812.15
Residential,2470,Weekday,46,65,3138.81
Industrial,27876,Weekend,26,52,4881.83
Commercial,47178,Weekend,16,27,4828.19
Commercial,33782,Weekend,40,71,5051.07
Commercial,33687,Weekend,14,90,4798.68
Residential,38067,Weekend,23,14,3870.32
Residential,3800,Weekday,26,5,2205.2
Industrial,38073,Weekend,22,87,5542.74
Industrial,35301,Weekend,45,28,5367.9
Residential,32913,Weekday,8,21,3496.82
Commercial,20346,Weekend,1,3,2924.87
Industrial,32085,Weekday,31,38,5074.24
Industrial,26792,Weekday,10,86,4874.53
Industrial,11882,Weekend,2,17,3146.62
Commercial,44665,Weekend,2,36,4563.58
Industrial,23736,Weekday,12,47,4360.36
Commercial,2639,Weekday,25,21,2779.25
Commercial,1322,Weekend,2,81,2839.18
Commercial,17161,Weekday,27,46,3820.1
Industrial,4238,Weekday,20,22,3256.52
Industrial,47181,Weekday,16,40,5571.47
Industrial,2698,Weekend,37,22,3496.99
Residential,39065,Weekday,24,75,4682.41
Residential,32383,Weekday,47,88,4847.12
Commercial,18158,Weekday,3,46,3372.41
Commercial,36908,Weekday,9,60,4531.32
Commercial,15548,Weekday,45,98,4616.46
Industrial,5471,Weekday,34,24,3601.86
Residential,30720,Weekend,15,3,3314.91
Residential,34749,Weekend,46,42,4410.42
Industrial,47117,Weekend,45,83,6530.6
Industrial,44986,Weekend,41,5,5472.2
Residential,34162,Weekday,26,48,4090.41
Industrial,18833,Weekday,25,30,4178.36
Commercial,35900,Weekend,19,49,4507.73
Commercial,14653,Weekend,4,47,3214.88
Commercial,17274,Weekday,46,97,4724.76
Residential,22374,Weekday,37,14,3437.53
Commercial,12842,Weekend,39,60,3893.95
Commercial,26643,Weekday,12,49,3985.8
Commercial,13850,Weekend,26,45,3557.61
Residential,46740,Weekend,25,19,4475.56
Industrial,14098,Weekend,45,16,4169.39
Residential,22292,Weekend,43,25,3601.83
Residential,49810,Weekday,33,65,5227.37
Residential,9627,Weekend,41,84,3511.71
Industrial,49582,Weekend,37,63,6188.4
Industrial,24252,Weekday,45,36,4908.05
Commercial,21306,Weekday,35,21,3889.08
Commercial,18797,Weekend,25,94,4278.0
Residential,26431,Weekday,14,91,3932.59
Residential,17225,Weekday,9,6,2500.08
Residential,43694,Weekend,46,45,4950.15
Residential,33421,Weekday,1,41,3516.18
Residential,22010,Weekend,21,83,3741.64
Residential,14525,Weekend,24,58,3148.79
Residential,47804,Weekend,38,99,5481.27
Residential,1026,Weekend,49,90,3375.62
Industrial,12194,Weekend,22,7,3546.34
Residential,5290,Weekday,11,61,2475.76
Commercial,39209,Weekend,24,67,5003.05
Commercial,15523,Weekend,1,52,3177.82
Residential,36624,Weekend,30,74,4518.97
Commercial,45238,Weekday,47,72,5867.13
Industrial,15652,Weekend,3,17,3408.98
Residential,32389,Weekend,31,91,4543.67
Industrial,47914,Weekend,12,47,5437.17
Industrial,36944,Weekday,18,57,5178.97
Commercial,25564,Weekday,34,87,4802.21
Industrial,42398,Weekend,22,44,5348.31
Industrial,11289,Weekend,26,11,3602.33
Industrial,13781,Weekend,29,99,4696.73
Residential,25780,Weekday,33,59,3927.94
Residential,44827,Weekday,34,94,5272.05
Residential,41470,Weekday,3,77,4290.61
Industrial,13308,Weekday,41,16,4056.28
Commercial,35201,Weekend,9,67,4504.67
Commercial,36562,Weekend,11,99,4884.18
Residential,22254,Weekday,17,10,2980.23
Commercial,20672,Weekday,10,46,3651.6
Residential,22542,Weekend,47,58,3984.2
Commercial,37648,Weekend,18,60,4736.14
Residential,1399,Weekday,15,32,2109.01
Residential,30515,Weekday,3,93,3901.38
Commercial,9283,Weekday,40,41,3663.21
Residential,28132,Weekday,9,49,3522.9
Commercial,24570,Weekday,11,17,3609.75
Industrial,26515,Weekday,25,45,4658.38
Industrial,23519,Weekday,45,55,5101.01
Industrial,44528,Weekend,22,78,5868.84
Industrial,10826,Weekend,28,21,3724.42
Industrial,10861,Weekend,36,14,3809.69
Industrial,41631,Weekend,6,13,4684.93
Industrial,21170,Weekday,8,89,4522.1
Residential,22973,Weekend,45,75,4213.66
Commercial,37377,Weekend,32,26,4687.67
Industrial,19074,Weekday,39,82,5017.45
Industrial,43323,Weekend,4,15,4727.81
Commercial,39999,Weekday,16,24,4520.19
Commercial,46393,Weekday,43,19,5341.65
Commercial,2425,Weekend,8,70,2807.29
Industrial,49270,Weekend,39,19,5877.19
Commercial,15729,Weekend,17,36,3384.58
Residential,26212,Weekend,1,35,3064.11
Commercial,36112,Weekday,42,17,4722.9
Industrial,45162,Weekday,45,85,6493.48
Commercial,22092,Weekend,1,4,3103.65
Residential,7222,Weekend,39,44,2906.57
Residential,36423,Weekday,29,89,4749.64
Residential,23765,Weekday,3,12,2752.62
Residential,29102,Weekday,41,31,3973.35
Industrial,38758,Weekday,41,7,5327.65
Industrial,32205,Weekday,17,21,4634.34
Industrial,48337,Weekday,44,69,6458.51
Industrial,2836,Weekend,46,46,3953.1
Commercial,6590,Weekday,32,89,3753.31
Residential,41498,Weekend,27,39,4411.53
Commercial,11289,Weekend,8,25,2841.31
Residential,26623,Weekend,11,37,3304.91
Commercial,4310,Weekday,44,34,3362.42
Commercial,28571,Weekend,21,25,3964.54
Residential,29041,Weekday,10,10,3193.51
Residential,27185,Weekday,8,92,3921.95
Industrial,27428,Weekend,40,48,5043.32
Industrial,27416,Weekend,37,25,4785.27
Residential,35384,Weekday,30,21,4036.12
Industrial,46148,Weekend,39,30,5718.21
Industrial,47795,Weekday,15,9,5156.72
Industrial,3520,Weekend,13,59,3419.14
Commercial,3420,Weekend,49,61,3697.77
Commercial,29035,Weekday,34,5,4132.91
Commercial,39065,Weekend,38,94,5568.44
Commercial,11331,Weekend,43,47,3791.04
Industrial,47719,Weekend,7,92,5781.83
Commercial,27458,Weekend,6,99,4367.45
Residential,49401,Weekday,13,60,4787.86
Industrial,43374,Weekday,15,64,5600.03
Industrial,23361,Weekend,26,26,4302.81
Industrial,4533,Weekday,46,20,3835.0
Commercial,2250,Weekday,4,11,2241.96
Commercial,44379,Weekend,28,15,4852.28
Residential,25262,Weekday,1,66,3344.42
Residential,11182,Weekend,45,13,3028.56
Industrial,46417,Weekday,20,82,5973.63
Residential,21889,Weekday,18,44,3350.09
Commercial,27157,Weekend,38,67,4682.44
Commercial,12701,Weekday,45,64,4157.81
Commercial,40166,Weekend,35,70,5343.05
Industrial,37930,Weekend,19,36,5008.0
Commercial,21695,Weekday,29,53,4189.13
Residential,6395,Weekday,32,10,2495.93
