RAD,AGE,CHAS,PRICE,RM,INDUS,ZN,TAX,CRIM,NOX,PTRATIO
1,20.8,0,32.2,7.088,2.97,90.0,285,0.00906,0.4,15.3
6,54.3,0,22.0,6.897,4.93,30.0,300,0.11329,0.428,16.6
4,42.8,0,32.0,6.854,6.41,40.0,254,0.09604,0.447,17.6
7,8.9,0,24.8,6.438,5.86,22.0,330,0.21409,0.431,19.1
4,98.2,0,13.3,5.857,21.89,0.0,437,0.2498,0.624,21.2
4,17.2,0,22.6,6.333,3.24,0.0,430,0.06724,0.46,16.9
7,6.8,0,29.6,6.957,5.86,22.0,330,0.08221,0.431,19.1
24,70.6,0,11.7,5.565,18.1,0.0,666,8.79212,0.584,20.2
2,36.6,0,30.3,7.107,1.52,80.0,329,0.04666,0.404,12.6
5,28.9,0,23.0,6.312,7.38,0.0,287,0.30347,0.493,19.6
24,85.1,0,13.4,6.103,18.1,0.0,666,7.05042,0.614,20.2
5,6.0,0,24.1,6.273,12.83,0.0,398,0.07896,0.437,18.7
4,84.5,0,18.2,6.096,8.14,0.0,307,0.63796,0.538,21.0
4,21.4,0,22.0,5.878,6.07,12.5,345,0.05789,0.409,18.9
4,33.5,0,28.0,6.727,4.86,25.0,281,0.04113,0.426,19.0
4,98.4,0,15.6,5.757,21.89,0.0,437,0.97617,0.624,21.2
6,18.5,0,23.7,6.481,4.93,30.0,300,0.08244,0.428,16.6
4,98.9,0,19.2,6.458,21.89,0.0,437,0.34006,0.624,21.2
24,89.0,1,16.8,5.803,18.1,0.0,666,4.22239,0.77,20.2
7,17.7,0,33.1,6.982,6.09,34.0,329,0.1,0.433,16.1
24,78.7,0,10.9,6.202,18.1,0.0,666,37.6619,0.679,20.2
4,95.4,0,18.4,5.822,21.89,0.0,437,0.32982,0.624,21.2
24,79.8,0,19.1,6.114,18.1,0.0,666,5.69175,0.583,20.2
6,95.4,0,18.7,6.092,10.01,0.0,432,0.22212,0.547,17.8
24,100.0,0,8.8,5.957,18.1,0.0,666,73.5341,0.679,20.2
24,40.3,0,21.8,5.762,18.1,0.0,666,2.81838,0.532,20.2
24,87.6,0,20.8,5.648,18.1,0.0,666,12.0482,0.614,20.2
7,40.4,0,22.0,6.59,6.09,34.0,329,0.03537,0.433,16.1
5,41.5,0,21.0,5.85,5.96,0.0,279,0.08014,0.499,19.2
5,85.1,0,28.7,6.642,13.89,0.0,276,0.07013,0.55,16.4
4,32.2,0,24.8,6.302,4.86,25.0,281,0.03659,0.426,19.0
4,97.9,0,23.0,6.372,21.89,0.0,437,0.59005,0.624,21.2
5,91.2,0,19.4,6.229,8.56,0.0,384,0.26363,0.52,20.9
24,71.0,0,19.1,5.926,18.1,0.0,666,15.5757,0.58,20.2
4,77.7,0,16.2,5.705,9.9,0.0,304,0.25356,0.544,18.4
7,70.3,0,28.2,6.849,2.18,33.0,222,0.04932,0.472,18.4
24,67.6,0,29.8,6.98,18.1,0.0,666,4.64689,0.614,20.2
24,91.4,0,21.9,4.963,18.1,0.0,666,3.69695,0.718,20.2
24,89.5,0,7.4,5.0,18.1,0.0,666,22.5971,0.7,20.2
7,34.9,0,24.3,6.108,5.86,22.0,330,0.33983,0.431,19.1
24,95.4,0,13.8,5.427,18.1,0.0,666,8.05579,0.584,20.2
5,94.5,0,31.0,7.327,3.97,20.0,264,0.82526,0.647,13.0
5,97.3,0,21.5,6.122,19.58,0.0,403,1.6566,0.871,14.7
6,31.3,0,23.2,6.209,5.32,52.5,293,0.03871,0.405,16.6
24,84.4,0,20.0,6.081,18.1,0.0,666,6.80117,0.713,20.2
6,65.1,0,20.1,6.095,4.93,30.0,300,0.10612,0.428,16.6
3,95.3,0,14.4,5.399,6.91,0.0,233,0.25387,0.448,17.9
7,13.0,0,24.4,6.487,5.86,22.0,330,0.1403,0.431,19.1
5,10.0,0,29.0,7.041,2.24,70.0,358,0.05561,0.4,14.8
24,100.0,0,16.3,5.155,18.1,0.0,666,28.6558,0.597,20.2
3,45.8,0,33.4,6.998,2.18,0.0,222,0.03237,0.458,18.7
4,87.3,0,21.0,6.674,8.14,0.0,307,1.00245,0.538,21.0
3,40.0,0,21.2,6.069,6.91,0.0,233,0.12269,0.448,17.9
1,44.4,0,22.9,6.49,1.25,40.0,335,0.06211,0.429,19.7
24,81.3,0,22.6,6.112,18.1,0.0,666,4.26131,0.77,20.2
2,36.9,0,43.8,7.82,2.89,0.0,276,0.08187,0.445,18.0
3,34.2,0,44.0,7.454,3.75,90.0,244,0.01538,0.394,15.9
8,88.5,1,26.7,6.951,6.2,0.0,307,0.35809,0.507,17.4
5,74.4,0,29.9,6.86,4.05,0.0,296,0.06642,0.51,16.6
4,97.7,0,19.6,6.326,21.89,0.0,437,1.19294,0.624,21.2
5,56.0,1,23.3,5.888,13.89,0.0,276,0.0456,0.55,16.4
5,56.4,0,23.9,6.696,3.78,55.0,370,0.02543,0.484,17.6
3,58.4,0,37.2,6.98,2.46,0.0,193,0.0578,0.488,17.8
4,77.3,0,20.6,6.249,15.04,28.0,270,0.04294,0.464,18.2
5,49.7,1,46.0,7.645,3.33,20.0,216,0.06129,0.4429,14.9
5,97.3,0,19.1,5.88,19.58,0.0,403,2.3139,0.605,14.7
24,93.6,0,16.7,6.484,18.1,0.0,666,4.87141,0.614,20.2
5,88.0,1,15.3,5.012,19.58,0.0,403,1.12658,0.871,14.7
4,88.6,1,19.3,5.404,10.59,0.0,277,0.37578,0.489,18.6
5,53.7,0,21.2,6.232,12.83,0.0,398,0.05646,0.437,18.7
24,100.0,0,17.2,6.657,18.1,0.0,666,14.0507,0.597,20.2
2,15.7,0,42.3,7.61,2.03,82.5,348,0.02177,0.415,14.7
1,23.3,0,19.4,6.031,6.06,35.0,304,0.03466,0.4379,16.9
4,76.7,0,20.3,5.972,9.9,0.0,304,0.3494,0.544,18.4
5,59.6,0,18.5,5.895,5.19,0.0,224,0.03041,0.515,20.2
4,45.7,0,19.7,5.963,5.64,21.0,243,0.08873,0.439,16.8
24,97.4,1,17.8,6.212,18.1,0.0,666,8.98296,0.77,20.2
4,98.0,0,8.1,5.093,27.74,0.0,711,0.20746,0.609,20.1
7,8.4,0,42.8,8.259,5.86,22.0,330,0.36894,0.431,19.1
2,69.7,0,22.0,5.87,25.65,0.0,188,0.06899,0.581,19.1
1,80.8,0,11.9,6.03,11.93,0.0,273,0.04741,0.573,21.0
4,93.6,0,14.0,6.174,21.89,0.0,437,0.2909,0.624,21.2
24,86.5,0,14.1,6.525,18.1,0.0,666,4.75237,0.713,20.2
4,70.4,0,23.9,6.619,4.86,25.0,281,0.04462,0.426,19.0
5,68.2,0,18.9,5.933,5.96,0.0,279,0.06417,0.499,19.2
7,71.9,0,33.4,7.42,2.18,33.0,222,0.07503,0.472,18.4
4,93.5,0,17.4,5.942,21.89,0.0,437,0.32264,0.624,21.2
8,29.2,0,23.3,6.145,5.13,25.0,284,0.15445,0.453,19.7
24,100.0,0,12.1,6.404,18.1,0.0,666,9.59571,0.693,20.2
6,28.8,0,23.1,5.67,9.69,0.0,391,0.17899,0.585,19.2
2,84.1,0,20.3,6.004,25.65,0.0,188,0.07165,0.581,19.1
1,31.5,0,20.1,6.23,1.76,80.0,241,0.01965,0.385,18.2
24,98.9,0,8.5,5.747,18.1,0.0,666,7.67202,0.693,20.2
4,98.1,0,13.6,5.57,8.14,0.0,307,1.25179,0.538,21.0
24,97.9,0,17.2,5.617,18.1,0.0,666,7.40389,0.597,20.2
1,59.7,0,16.5,6.54,1.89,0.0,422,0.02498,0.518,15.9
24,89.6,1,50.0,5.875,18.1,0.0,666,8.26725,0.668,20.2
6,65.3,0,21.2,6.019,9.69,0.0,391,0.23912,0.585,19.2
4,53.8,1,22.4,5.807,10.59,0.0,277,0.21719,0.489,18.6
5,98.2,1,50.0,7.802,19.58,0.0,403,1.83377,0.605,14.7
4,100.0,0,14.5,5.813,8.14,0.0,307,0.98843,0.538,21.0
4,58.0,0,20.3,5.79,13.92,0.0,289,0.14103,0.437,16.0
6,84.2,0,18.5,6.254,10.01,0.0,432,0.14231,0.547,17.8
8,77.7,1,27.5,6.879,6.2,0.0,307,0.62356,0.507,17.4
4,36.8,0,17.4,5.594,6.07,12.5,345,0.13554,0.409,18.9
1,91.0,0,23.9,6.976,11.93,0.0,273,0.06076,0.573,21.0
5,93.0,0,25.0,6.101,19.58,0.0,403,2.924,0.605,14.7
5,14.7,0,24.6,6.431,7.38,0.0,287,0.19186,0.493,19.6
6,22.9,0,24.8,6.565,5.32,52.5,293,0.04297,0.405,16.6
5,47.4,0,24.8,6.871,2.24,70.0,358,0.04417,0.4,14.8
6,72.9,0,19.7,5.39,9.69,0.0,391,0.2896,0.585,19.2
5,74.5,0,20.0,6.279,12.83,0.0,398,0.10153,0.437,18.7
24,97.0,0,9.7,5.036,18.1,0.0,666,11.5779,0.7,20.2
8,66.5,1,29.0,6.726,6.2,0.0,307,0.44791,0.507,17.4
4,96.0,0,16.2,5.693,21.89,0.0,437,0.25915,0.624,21.2
4,100.0,1,20.0,5.344,10.59,0.0,277,0.43571,0.489,18.6
24,77.0,0,25.0,7.061,18.1,0.0,666,5.73116,0.532,20.2
4,90.3,0,16.6,5.813,8.14,0.0,307,0.67191,0.538,21.0
5,61.4,0,20.0,5.841,5.96,0.0,279,0.09744,0.499,19.2
4,83.5,0,20.1,5.983,27.74,0.0,711,0.11132,0.609,20.1
24,78.1,0,11.0,6.193,18.1,0.0,666,7.36711,0.679,20.2
3,2.9,0,26.6,6.77,6.91,0.0,233,0.12744,0.448,17.9
5,93.8,1,21.5,5.951,13.89,0.0,276,0.11069,0.55,16.4
3,6.6,0,25.3,6.169,6.91,0.0,233,0.1415,0.448,17.9
24,92.4,0,10.5,5.818,18.1,0.0,666,22.0511,0.74,20.2
2,38.4,0,24.1,6.162,2.03,82.5,348,0.03445,0.415,14.7
6,45.6,0,22.3,6.315,5.32,52.5,293,0.0459,0.405,16.6
3,89.8,0,26.4,5.604,2.46,0.0,193,0.08308,0.488,17.8
4,72.7,0,22.5,5.783,10.59,0.0,277,0.25199,0.489,18.6
3,33.8,0,19.3,5.682,6.91,0.0,233,0.17142,0.448,17.9
24,97.5,1,50.0,7.016,18.1,0.0,666,6.53876,0.631,20.2
5,49.9,0,20.4,6.041,7.38,0.0,287,0.35114,0.493,19.6
24,100.0,0,8.7,6.152,18.1,0.0,666,15.1772,0.74,20.2
4,69.5,0,18.2,5.727,8.14,0.0,307,0.7258,0.538,21.0
24,98.7,0,14.1,6.185,18.1,0.0,666,9.32909,0.713,20.2
5,33.1,0,29.4,6.546,4.05,0.0,296,0.06664,0.51,16.6
8,80.8,0,30.1,6.618,6.2,0.0,307,0.6147,0.507,17.4
3,85.5,0,16.6,6.03,6.91,0.0,233,0.22927,0.448,17.9
24,100.0,0,23.1,3.863,18.1,0.0,666,13.5222,0.631,20.2
4,32.1,0,29.1,6.482,6.41,40.0,254,0.07978,0.447,17.6
5,45.0,0,21.4,6.286,12.83,0.0,398,0.09512,0.437,18.7
24,98.2,0,15.2,6.655,18.1,0.0,666,5.44114,0.713,20.2
8,79.9,0,31.6,7.163,6.2,0.0,307,0.41238,0.504,17.4
6,82.6,0,19.2,6.021,10.01,0.0,432,0.15098,0.547,17.8
2,61.1,0,34.7,7.185,7.07,0.0,242,0.02729,0.469,17.8
5,100.0,0,13.8,6.13,19.58,0.0,403,2.37934,0.871,14.7
2,78.9,0,21.6,6.421,7.07,0.0,242,0.02731,0.469,17.8
5,29.1,0,29.8,6.556,3.44,45.0,398,0.12579,0.437,15.2
7,76.5,0,17.6,5.593,5.86,22.0,330,0.20608,0.431,19.1
8,70.4,0,48.3,8.247,6.2,0.0,307,0.33147,0.507,17.4
7,79.2,0,20.5,6.226,5.86,22.0,330,0.19657,0.431,19.1
4,51.0,0,27.1,6.549,13.92,0.0,289,0.05372,0.437,16.0
4,7.8,0,22.8,6.065,10.81,0.0,305,0.09164,0.413,19.2
5,74.3,0,18.5,5.708,7.38,0.0,287,0.28392,0.493,19.6
3,51.8,1,35.2,7.691,6.96,20.0,223,0.22188,0.464,18.6
24,100.0,0,18.4,6.219,18.1,0.0,666,5.66637,0.74,20.2
4,32.0,0,50.0,7.875,0.46,80.0,255,0.01381,0.422,14.4
5,100.0,1,13.4,5.403,19.58,0.0,403,3.32105,0.871,14.7
4,36.6,0,20.2,5.456,8.14,0.0,307,0.80271,0.538,21.0
24,91.1,0,19.9,6.251,18.1,0.0,666,3.83684,0.77,20.2
1,69.1,0,22.4,6.593,11.93,0.0,273,0.06263,0.573,21.0
24,94.3,0,14.1,6.833,18.1,0.0,666,10.0623,0.584,20.2
4,98.8,0,18.0,6.431,21.89,0.0,437,0.32543,0.624,21.2
8,91.3,1,21.7,6.164,6.2,0.0,307,0.40771,0.507,17.4
5,92.6,1,27.0,6.25,19.58,0.0,403,1.27346,0.605,14.7
3,48.0,0,23.9,6.389,4.49,0.0,247,0.05059,0.449,18.5
5,28.1,0,31.2,6.874,3.78,55.0,370,0.03049,0.484,17.6
3,13.9,0,32.9,7.135,1.47,95.0,402,0.01778,0.403,17.0
4,37.8,0,16.1,4.973,9.9,0.0,304,2.63548,0.544,18.4
24,97.2,0,17.1,6.406,18.1,0.0,666,9.72418,0.74,20.2
4,46.7,0,22.9,6.167,4.86,25.0,281,0.03551,0.426,19.0
8,71.6,0,31.5,7.358,6.2,0.0,307,0.51183,0.507,17.4
24,94.1,0,14.9,6.728,18.1,0.0,666,9.51363,0.713,20.2
4,32.9,1,32.4,6.758,6.41,40.0,254,0.05644,0.447,17.6
24,95.4,0,8.3,5.896,18.1,0.0,666,15.8603,0.679,20.2
3,42.1,0,21.1,5.856,6.96,20.0,223,0.29916,0.464,18.6
6,79.7,0,16.8,6.027,9.69,0.0,391,0.22438,0.585,19.2
24,41.9,0,20.6,5.871,18.1,0.0,666,2.37857,0.583,20.2
3,45.1,0,22.5,6.015,4.49,0.0,247,0.05188,0.449,18.5
5,100.0,0,19.6,5.404,19.58,0.0,403,1.49632,0.871,14.7
4,71.7,0,19.8,5.782,9.9,0.0,304,0.24522,0.544,18.4
3,92.2,0,37.9,7.155,2.46,0.0,193,0.09103,0.488,17.8
8,67.8,0,22.2,6.456,5.13,25.0,284,0.11027,0.453,19.7
1,24.8,1,50.0,7.923,1.21,90.0,198,0.01501,0.401,13.6
5,100.0,0,24.3,6.066,19.58,0.0,403,1.34284,0.605,14.7
8,66.2,0,18.7,5.741,5.13,25.0,284,0.14932,0.453,19.7
6,54.0,0,21.8,5.707,9.69,0.0,391,0.17331,0.585,19.2
4,31.1,0,28.6,6.678,13.92,0.0,289,0.12932,0.437,16.0
24,74.8,0,16.1,6.425,18.1,0.0,666,6.44405,0.584,20.2
24,99.3,0,17.8,7.393,18.1,0.0,666,8.24809,0.713,20.2
24,95.0,0,11.7,6.208,18.1,0.0,666,13.9134,0.713,20.2
24,100.0,0,10.2,4.88,18.1,0.0,666,14.3337,0.7,20.2
2,95.6,0,15.7,5.613,25.65,0.0,188,0.38735,0.581,19.1
3,54.2,0,36.2,7.147,2.18,0.0,222,0.06905,0.458,18.7
3,52.3,0,17.2,5.898,4.39,0.0,352,0.06162,0.442,18.8
24,97.3,0,12.0,5.304,18.1,0.0,666,15.0234,0.614,20.2
5,30.2,0,24.7,5.966,5.96,0.0,279,0.17505,0.499,19.2
3,56.8,0,22.2,6.121,4.49,0.0,247,0.07151,0.449,18.5
5,94.6,0,17.4,5.875,19.58,0.0,403,1.20742,0.605,14.7
6,81.6,0,22.8,6.715,10.01,0.0,432,0.10084,0.547,17.8
