CRIM,AGE,INDUS,CHAS,PRICE,DIS,PTRATIO,RM,NOX,ZN,LSTAT
7.83932,65.4,18.1,0,21.4,2.9634,20.2,6.209,0.655,0.0,13.22
15.8603,95.4,18.1,0,8.3,1.9096,20.2,5.896,0.679,0.0,24.39
0.03049,28.1,3.78,0,31.2,6.4654,17.6,6.874,0.484,55.0,4.61
0.15038,97.0,25.65,0,17.3,1.9444,19.1,5.856,0.581,0.0,25.41
7.99248,100.0,18.1,0,12.3,1.5331,20.2,5.52,0.7,0.0,24.56
23.6482,96.2,18.1,0,13.1,1.3861,20.2,6.38,0.671,0.0,23.69
0.18337,98.3,27.74,0,7.0,1.7554,20.1,5.414,0.609,0.0,23.97
0.10612,65.1,4.93,0,20.1,6.3361,16.6,6.095,0.428,30.0,12.4
0.2896,72.9,9.69,0,19.7,2.7986,19.2,5.39,0.585,0.0,21.14
0.3494,76.7,9.9,0,20.3,3.1025,18.4,5.972,0.544,0.0,9.97
0.11329,54.3,4.93,0,22.0,6.3361,16.6,6.897,0.428,30.0,11.38
0.13262,96.7,8.56,0,19.5,2.1069,20.9,5.851,0.52,0.0,16.47
0.33045,61.5,6.2,0,24.0,3.6519,17.4,6.086,0.507,0.0,10.88
0.08387,36.6,12.83,0,20.3,4.5026,18.7,5.874,0.437,0.0,9.1
4.34879,84.0,18.1,0,19.9,3.0334,20.2,6.167,0.58,0.0,16.29
0.03306,37.3,5.19,0,20.6,4.8122,20.2,6.059,0.515,0.0,8.51
0.06617,25.8,3.24,0,19.3,5.2146,16.9,5.868,0.46,0.0,9.97
0.06466,20.1,2.24,0,22.5,7.8278,14.8,6.345,0.4,70.0,4.97
0.2498,98.2,21.89,0,13.3,1.6686,21.2,5.857,0.624,0.0,21.32
2.73397,94.9,19.58,0,15.4,1.5257,14.7,5.597,0.871,0.0,21.45
4.55587,87.9,18.1,0,27.5,1.6132,20.2,3.561,0.718,0.0,7.12
0.0351,33.2,2.68,0,48.5,5.118,14.7,7.853,0.4161,95.0,3.81
37.6619,78.7,18.1,0,10.9,1.8629,20.2,6.202,0.679,0.0,14.52
0.16902,88.4,25.65,0,21.4,1.9929,19.1,5.986,0.581,0.0,14.81
0.38214,86.5,6.2,0,37.6,3.2157,17.4,8.04,0.504,0.0,3.13
0.62739,56.5,8.14,0,19.9,4.4986,21.0,5.834,0.538,0.0,8.47
2.01019,96.2,19.58,0,50.0,2.0459,14.7,7.929,0.605,0.0,3.7
3.67367,51.9,18.1,0,21.2,3.9917,20.2,6.312,0.583,0.0,10.58
0.54011,81.8,3.97,0,33.8,2.1121,13.0,7.203,0.647,20.0,9.59
3.83684,91.1,18.1,0,19.9,2.2955,20.2,6.251,0.77,0.0,14.19
0.29916,42.1,6.96,0,21.1,4.429,18.6,5.856,0.464,20.0,13.0
2.36862,95.7,19.58,0,14.6,1.4608,14.7,4.926,0.871,0.0,29.53
0.17505,30.2,5.96,0,24.7,3.8473,19.2,5.966,0.499,0.0,10.13
3.69311,88.4,18.1,0,17.7,2.5671,20.2,6.376,0.713,0.0,14.65
0.13058,73.1,10.01,0,20.4,2.4775,17.8,5.872,0.547,0.0,15.37
0.34109,40.1,7.38,0,25.0,4.7211,19.6,6.415,0.493,0.0,6.12
0.41238,79.9,6.2,0,31.6,3.2157,17.4,7.163,0.504,0.0,6.36
11.0874,100.0,18.1,0,16.7,1.8589,20.2,6.411,0.718,0.0,15.02
5.09017,91.8,18.1,0,16.1,2.3682,20.2,6.297,0.713,0.0,17.27
0.01965,31.5,1.76,0,20.1,9.0892,18.2,6.23,0.385,80.0,12.93
0.05735,56.1,4.49,0,26.6,4.4377,18.5,6.63,0.449,0.0,6.53
0.15445,29.2,5.13,0,23.3,7.8148,19.7,6.145,0.453,25.0,6.86
13.0751,56.7,18.1,0,20.1,2.8237,20.2,5.713,0.58,0.0,14.76
7.36711,78.1,18.1,0,11.0,1.9356,20.2,6.193,0.679,0.0,21.52
4.64689,67.6,18.1,0,29.8,2.5329,20.2,6.98,0.614,0.0,11.66
0.25387,95.3,6.91,0,14.4,5.87,17.9,5.399,0.448,0.0,30.81
0.01301,49.3,1.52,0,32.7,7.0379,15.5,7.241,0.442,35.0,5.49
1.38799,82.0,8.14,0,13.2,3.99,21.0,5.95,0.538,0.0,27.71
18.811,100.0,18.1,0,17.9,1.5539,20.2,4.628,0.597,0.0,34.37
6.80117,84.4,18.1,0,20.0,2.7175,20.2,6.081,0.713,0.0,14.7
14.4383,100.0,18.1,0,27.5,1.4655,20.2,6.852,0.597,0.0,19.78
0.06417,68.2,5.96,0,18.9,3.3603,19.2,5.933,0.499,0.0,9.68
0.17899,28.8,9.69,0,23.1,2.7986,19.2,5.67,0.585,0.0,17.6
0.23912,65.3,9.69,0,21.2,2.4091,19.2,6.019,0.585,0.0,12.92
0.19657,79.2,5.86,0,20.5,8.0555,19.1,6.226,0.431,22.0,10.15
0.05372,51.0,13.92,0,27.1,5.9604,16.0,6.549,0.437,0.0,7.39
4.83567,53.2,18.1,0,20.6,3.1523,20.2,5.905,0.583,0.0,11.45
45.7461,100.0,18.1,0,7.0,1.6582,20.2,4.519,0.693,0.0,36.98
13.9134,95.0,18.1,0,11.7,2.2222,20.2,6.208,0.713,0.0,15.17
1.34284,100.0,19.58,0,24.3,1.7573,14.7,6.066,0.605,0.0,6.43
0.17004,85.9,7.87,0,18.9,6.5921,15.2,6.004,0.524,12.5,17.1
0.40771,91.3,6.2,1,21.7,3.048,17.4,6.164,0.507,0.0,21.46
0.04297,22.9,5.32,0,24.8,7.3172,16.6,6.565,0.405,52.5,9.51
0.08244,18.5,4.93,0,23.7,6.1899,16.6,6.481,0.428,30.0,6.36
0.05646,53.7,12.83,0,21.2,5.0141,18.7,6.232,0.437,0.0,12.34
0.19186,14.7,7.38,0,24.6,5.4159,19.6,6.431,0.493,0.0,5.08
0.10574,98.8,27.74,0,13.6,1.8681,20.1,5.983,0.609,0.0,18.07
0.75026,94.1,8.14,0,15.6,4.3996,21.0,5.924,0.538,0.0,16.3
0.10084,81.6,10.01,0,22.8,2.6775,17.8,6.715,0.547,0.0,10.16
0.66351,100.0,3.97,0,36.0,1.8946,13.0,7.333,0.647,20.0,7.79
0.01951,59.5,1.38,0,33.0,9.2229,18.6,7.104,0.4161,17.5,8.05
0.26169,90.4,9.9,0,19.4,2.834,18.4,6.023,0.544,0.0,11.72
11.1081,100.0,18.1,0,13.8,1.1742,20.2,4.906,0.668,0.0,34.77
67.9208,100.0,18.1,0,5.0,1.4254,20.2,5.683,0.693,0.0,22.98
0.08221,6.8,5.86,0,29.6,8.9067,19.1,6.957,0.431,22.0,3.53
7.05042,85.1,18.1,0,13.4,2.0218,20.2,6.103,0.614,0.0,23.29
0.01381,32.0,0.46,0,50.0,5.6484,14.4,7.875,0.422,80.0,2.97
0.38735,95.6,25.65,0,15.7,1.7572,19.1,5.613,0.581,0.0,27.26
0.07875,41.1,3.44,0,32.0,3.7886,15.2,6.782,0.437,45.0,6.68
0.04337,63.0,5.64,0,20.5,6.8147,16.8,6.115,0.439,21.0,9.43
0.01096,31.9,2.25,0,22.0,7.3073,15.3,6.453,0.389,55.0,8.23
0.04741,80.8,11.93,0,11.9,2.505,21.0,6.03,0.573,0.0,7.88
4.66883,87.9,18.1,0,12.7,2.5806,20.2,5.976,0.713,0.0,19.01
20.7162,100.0,18.1,0,11.9,1.1781,20.2,4.138,0.659,0.0,23.34
0.25356,77.7,9.9,0,16.2,3.945,18.4,5.705,0.544,0.0,11.5
0.32264,93.5,21.89,0,17.4,1.9669,21.2,5.942,0.624,0.0,16.9
0.06263,69.1,11.93,0,22.4,2.4786,21.0,6.593,0.573,0.0,9.67
15.5757,71.0,18.1,0,19.1,2.9084,20.2,5.926,0.58,0.0,18.13
0.03359,15.8,2.95,0,34.9,5.4011,18.3,7.024,0.428,75.0,1.98
4.26131,81.3,18.1,0,22.6,2.5091,20.2,6.112,0.77,0.0,12.67
0.05789,21.4,6.07,0,22.0,6.498,18.9,5.878,0.409,12.5,8.1
0.01311,21.9,1.22,0,35.4,8.6966,17.9,7.249,0.403,90.0,4.81
0.08447,68.7,4.05,0,22.6,2.7019,16.6,5.859,0.51,0.0,9.64
12.2472,59.7,18.1,0,10.2,1.9976,20.2,5.837,0.584,0.0,15.69
4.89822,100.0,18.1,0,50.0,1.3325,20.2,4.97,0.631,0.0,3.26
3.47428,82.9,18.1,1,21.9,1.9047,20.2,8.78,0.718,0.0,5.29
0.21409,8.9,5.86,0,24.8,7.3967,19.1,6.438,0.431,22.0,3.59
22.5971,89.5,18.1,0,7.4,1.5184,20.2,5.0,0.7,0.0,31.99
0.13642,22.3,10.59,0,22.6,3.9454,18.6,5.891,0.489,0.0,10.87
0.22489,94.3,7.87,0,15.0,6.3467,15.2,6.377,0.524,12.5,20.45
4.81213,90.0,18.1,0,16.4,2.5975,20.2,6.701,0.713,0.0,16.42
0.25199,72.7,10.59,0,22.5,4.3549,18.6,5.783,0.489,0.0,18.06
0.01778,13.9,1.47,0,32.9,7.6534,17.0,7.135,0.403,95.0,4.45
0.82526,94.5,3.97,0,31.0,2.0788,13.0,7.327,0.647,20.0,11.25
0.14103,58.0,13.92,0,20.3,6.32,16.0,5.79,0.437,0.0,15.84
0.09266,18.4,6.09,0,26.4,5.4917,16.1,6.495,0.433,34.0,8.67
0.77299,94.4,8.14,0,18.4,4.4547,21.0,6.495,0.538,0.0,12.8
0.51183,71.6,6.2,0,31.5,4.148,17.4,7.358,0.507,0.0,4.73
5.66637,100.0,18.1,0,18.4,2.0048,20.2,6.219,0.74,0.0,16.59
0.11425,92.4,13.89,1,23.0,3.3633,16.4,6.373,0.55,0.0,10.5
0.03537,40.4,6.09,0,22.0,5.4917,16.1,6.59,0.433,34.0,9.5
0.04379,31.1,3.37,0,19.4,6.6115,16.1,5.787,0.398,80.0,10.24
38.3518,100.0,18.1,0,5.0,1.4896,20.2,5.453,0.693,0.0,30.59
0.03768,38.3,1.52,0,34.6,7.309,12.6,7.274,0.404,80.0,6.62
2.77974,97.8,19.58,0,11.8,1.3459,14.7,4.903,0.871,0.0,29.29
0.07022,47.2,4.05,0,23.2,3.5549,16.6,6.02,0.51,0.0,10.11
0.28955,9.8,10.59,0,23.7,3.5875,18.6,5.412,0.489,0.0,29.55
8.71675,98.8,18.1,0,13.1,1.7257,20.2,6.471,0.693,0.0,17.12
0.12083,76.0,2.89,0,38.7,3.4952,18.0,8.069,0.445,0.0,4.21
28.6558,100.0,18.1,0,16.3,1.5894,20.2,5.155,0.597,0.0,20.08
0.17134,88.2,10.01,0,18.3,2.4631,17.8,5.928,0.547,0.0,15.76
0.04684,66.1,3.41,0,22.6,3.0923,17.8,6.417,0.489,0.0,8.81
13.5222,100.0,18.1,0,23.1,1.5106,20.2,3.863,0.631,0.0,13.33
0.03961,34.5,5.19,0,21.1,5.9853,20.2,6.037,0.515,0.0,8.01
0.20746,98.0,27.74,0,8.1,1.8226,20.1,5.093,0.609,0.0,29.68
0.07978,32.1,6.41,0,29.1,4.1403,17.6,6.482,0.447,40.0,7.19
16.8118,98.1,18.1,0,7.2,1.4261,20.2,5.277,0.7,0.0,30.81
0.22927,85.5,6.91,0,16.6,5.6894,17.9,6.03,0.448,0.0,18.8
0.06211,44.4,1.25,0,22.9,8.7921,19.7,6.49,0.429,40.0,5.98
0.09744,61.4,5.96,0,20.0,3.3779,19.2,5.841,0.499,0.0,11.41
0.02731,78.9,7.07,0,21.6,4.9671,17.8,6.421,0.469,0.0,9.14
0.21719,53.8,10.59,1,22.4,3.6526,18.6,5.807,0.489,0.0,16.03
0.09164,7.8,10.81,0,22.8,5.2873,19.2,6.065,0.413,0.0,5.52
0.03237,45.8,2.18,0,33.4,6.0622,18.7,6.998,0.458,0.0,2.94
0.1676,52.3,7.38,0,23.8,4.5404,19.6,6.426,0.493,0.0,7.2
8.05579,95.4,18.1,0,13.8,2.4298,20.2,5.427,0.584,0.0,18.14
0.09252,42.2,4.93,0,23.3,6.1899,16.6,6.606,0.428,30.0,7.37
0.01709,36.1,2.02,0,30.1,12.1265,17.0,6.728,0.41,90.0,4.5
0.85204,89.2,8.14,0,19.6,4.0123,21.0,5.965,0.538,0.0,13.83
1.25179,98.1,8.14,0,13.6,3.7979,21.0,5.57,0.538,0.0,21.02
0.65665,100.0,3.97,0,30.1,2.0107,13.0,6.842,0.647,20.0,6.9
0.08187,36.9,2.89,0,43.8,3.4952,18.0,7.82,0.445,0.0,3.57
9.32909,98.7,18.1,0,14.1,2.2616,20.2,6.185,0.713,0.0,18.13
0.02899,34.5,1.25,0,26.6,8.7921,19.7,6.939,0.429,40.0,5.89
0.35809,88.5,6.2,1,26.7,2.8617,17.4,6.951,0.507,0.0,9.71
0.22438,79.7,9.69,0,16.8,2.4982,19.2,6.027,0.585,0.0,14.33
6.96215,97.0,18.1,0,15.1,1.9265,20.2,5.713,0.7,0.0,17.11
0.5405,52.6,3.97,0,43.5,2.872,13.0,7.47,0.575,20.0,3.16
0.10469,49.0,6.41,1,33.2,4.7872,17.6,7.267,0.447,40.0,6.05
0.84054,85.7,8.14,0,13.9,4.4546,21.0,5.599,0.538,0.0,16.51
0.79041,52.8,9.9,0,22.1,2.6403,18.4,6.122,0.544,0.0,5.98
0.15098,82.6,10.01,0,19.2,2.7474,17.8,6.021,0.547,0.0,10.3
0.6147,80.8,6.2,0,30.1,3.2721,17.4,6.618,0.507,0.0,7.6
0.08873,45.7,5.64,0,19.7,6.8147,16.8,5.963,0.439,21.0,13.45
9.18702,100.0,18.1,0,11.3,1.5804,20.2,5.536,0.7,0.0,23.6
0.09512,45.0,12.83,0,21.4,4.5026,18.7,6.286,0.437,0.0,8.94
41.5292,85.4,18.1,0,8.5,1.6074,20.2,5.531,0.693,0.0,27.38
3.56868,75.0,18.1,0,23.2,2.8965,20.2,6.437,0.58,0.0,14.36
1.20742,94.6,19.58,0,17.4,2.4259,14.7,5.875,0.605,0.0,14.43
9.33889,95.6,18.1,0,9.5,1.9682,20.2,6.38,0.679,0.0,24.08
14.2362,100.0,18.1,0,7.2,1.5741,20.2,6.343,0.693,0.0,20.32
8.26725,89.6,18.1,1,50.0,1.1296,20.2,5.875,0.668,0.0,8.88
3.1636,48.2,18.1,0,19.9,3.0665,20.2,5.759,0.655,0.0,14.13
8.24809,99.3,18.1,0,17.8,2.4527,20.2,7.393,0.713,0.0,16.74
0.06888,62.2,2.46,0,36.2,2.5979,17.8,6.144,0.488,0.0,9.45
0.17171,93.4,5.13,0,16.0,6.8185,19.7,5.966,0.453,25.0,14.44
0.01538,34.2,3.75,0,44.0,6.3361,15.9,7.454,0.394,90.0,3.11
2.15505,100.0,19.58,0,15.6,1.5166,14.7,5.628,0.871,0.0,16.65
7.67202,98.9,18.1,0,8.5,1.6334,20.2,5.747,0.693,0.0,19.92
0.31533,78.3,6.2,0,44.8,2.8944,17.4,8.266,0.504,0.0,4.14
0.0578,58.4,2.46,0,37.2,2.829,17.8,6.98,0.488,0.0,5.04
24.3938,100.0,18.1,0,10.5,1.4672,20.2,4.652,0.7,0.0,28.28
0.0566,86.3,3.41,0,23.6,3.4217,17.8,7.007,0.489,0.0,5.5
3.32105,100.0,19.58,1,13.4,1.3216,14.7,5.403,0.871,0.0,26.82
0.47547,58.8,9.9,0,21.0,4.0019,18.4,6.113,0.544,0.0,12.73
0.33983,34.9,5.86,0,24.3,8.0555,19.1,6.108,0.431,22.0,9.16
0.06047,68.8,2.46,0,29.6,3.2797,17.8,6.153,0.488,0.0,13.15
0.49298,82.5,9.9,0,22.8,3.3175,18.4,6.635,0.544,0.0,4.54
0.14231,84.2,10.01,0,18.5,2.2565,17.8,6.254,0.547,0.0,10.45
0.10959,89.3,11.93,0,22.0,2.3889,21.0,6.794,0.573,0.0,6.48
0.03705,37.2,3.33,0,35.4,5.2447,14.9,6.968,0.4429,20.0,4.59
0.08829,66.6,7.87,0,22.9,5.5605,15.2,6.012,0.524,12.5,12.43
0.08199,42.3,13.92,0,21.7,5.5027,16.0,6.009,0.437,0.0,10.4
1.35472,100.0,8.14,0,14.5,4.175,21.0,6.072,0.538,0.0,13.04
0.06076,91.0,11.93,0,23.9,2.1675,21.0,6.976,0.573,0.0,5.64
0.02543,56.4,3.78,0,23.9,5.7321,17.6,6.696,0.484,55.0,7.18
0.57529,73.3,6.2,0,41.7,3.8384,17.4,8.337,0.507,0.0,2.47
12.8023,96.6,18.1,0,10.8,1.8956,20.2,5.854,0.74,0.0,23.79
0.67191,90.3,8.14,0,16.6,4.682,21.0,5.813,0.538,0.0,14.81
0.04527,76.7,11.93,0,20.6,2.2875,21.0,6.12,0.573,0.0,9.08
0.03584,17.8,3.37,0,23.5,6.6115,16.1,6.29,0.398,80.0,4.67
0.1029,52.9,4.93,0,22.2,7.0355,16.6,6.358,0.428,30.0,11.22
0.97617,98.4,21.89,0,15.6,2.346,21.2,5.757,0.624,0.0,17.31
0.33147,70.4,6.2,0,48.3,3.6519,17.4,8.247,0.507,0.0,3.95
0.03548,19.1,3.64,0,20.9,9.2203,16.4,5.876,0.392,80.0,9.25
0.05023,28.4,6.06,0,17.1,6.6407,16.9,5.706,0.4379,35.0,12.43
22.0511,92.4,18.1,0,10.5,1.8662,20.2,5.818,0.74,0.0,22.11
0.24522,71.7,9.9,0,19.8,4.0317,18.4,5.782,0.544,0.0,15.94
0.18836,33.3,6.91,0,20.0,5.1004,17.9,5.786,0.448,0.0,14.15
1.19294,97.7,21.89,0,19.6,2.271,21.2,6.326,0.624,0.0,12.26
15.1772,100.0,18.1,0,8.7,1.9142,20.2,6.152,0.74,0.0,26.45
0.19539,6.2,10.81,0,23.4,5.2873,19.2,6.245,0.413,0.0,7.54
9.51363,94.1,18.1,0,14.9,2.4961,20.2,6.728,0.713,0.0,18.71
0.07503,71.9,2.18,0,33.4,3.0992,18.4,7.42,0.472,33.0,6.47
13.3598,94.7,18.1,0,12.7,1.7821,20.2,5.887,0.693,0.0,16.35
0.54452,97.9,21.89,0,17.8,1.6687,21.2,6.151,0.624,0.0,18.46
2.37857,41.9,18.1,0,20.6,3.724,20.2,5.871,0.583,0.0,13.34
0.02009,31.9,2.68,0,50.0,5.118,14.7,8.034,0.4161,95.0,2.88
0.03738,38.5,5.19,0,20.7,6.4584,20.2,6.31,0.515,0.0,6.75
7.52601,98.3,18.1,0,13.0,2.185,20.2,6.417,0.713,0.0,19.31
0.06588,83.3,2.46,0,39.8,2.741,17.8,7.765,0.488,0.0,7.56
0.76162,62.8,3.97,0,22.8,1.9865,13.0,5.56,0.647,20.0,10.45
0.06642,74.4,4.05,0,29.9,2.9153,16.6,6.86,0.51,0.0,6.92
25.9406,89.1,18.1,0,10.4,1.6475,20.2,5.304,0.679,0.0,26.64
7.40389,97.9,18.1,0,17.2,1.4547,20.2,5.617,0.597,0.0,26.4
0.22969,52.5,10.59,0,24.4,4.3549,18.6,6.326,0.489,0.0,10.97
2.33099,93.8,19.58,0,17.8,1.5296,14.7,5.186,0.871,0.0,28.32
0.11069,93.8,13.89,1,21.5,2.8893,16.4,5.951,0.55,0.0,17.92
5.70818,74.9,18.1,0,23.7,3.3317,20.2,6.75,0.532,0.0,7.74
9.72418,97.2,18.1,0,17.1,2.0651,20.2,6.406,0.74,0.0,19.52
1.83377,98.2,19.58,1,50.0,2.0407,14.7,7.802,0.605,0.0,1.92
1.61282,96.9,8.14,0,13.5,3.7598,21.0,6.096,0.538,0.0,20.34
1.41385,96.0,19.58,1,17.0,1.7494,14.7,6.129,0.871,0.0,15.12
0.0837,38.9,3.44,0,34.9,4.5667,15.2,7.185,0.437,45.0,5.39
0.0459,45.6,5.32,0,22.3,7.3172,16.6,6.315,0.405,52.5,7.6
0.26838,70.6,9.69,0,18.3,2.8927,19.2,5.794,0.585,0.0,14.1
0.1,17.7,6.09,0,33.1,5.4917,16.1,6.982,0.433,34.0,4.86
0.05497,45.4,5.19,0,19.0,4.8122,20.2,5.985,0.515,0.0,9.74
0.1415,6.6,6.91,0,25.3,5.7209,17.9,6.169,0.448,0.0,5.81
4.87141,93.6,18.1,0,16.7,2.3053,20.2,6.484,0.614,0.0,18.68
0.08265,18.4,13.92,0,23.9,5.5027,16.0,6.127,0.437,0.0,8.58
6.28807,96.4,18.1,0,14.9,2.072,20.2,6.341,0.74,0.0,17.79
0.12802,97.1,8.56,0,19.8,2.4329,20.9,6.474,0.52,0.0,12.27
0.1146,58.7,6.96,0,24.4,3.9175,18.6,6.538,0.464,20.0,7.73
4.0974,100.0,19.58,0,15.6,1.4118,14.7,5.468,0.871,0.0,26.42
11.9511,100.0,18.1,0,27.9,1.2852,20.2,5.608,0.659,0.0,12.13
8.98296,97.4,18.1,1,17.8,2.1222,20.2,6.212,0.77,0.0,17.6
0.03932,73.9,3.41,0,22.0,3.0921,17.8,6.405,0.489,0.0,8.2
7.75223,83.7,18.1,0,14.9,2.7831,20.2,6.301,0.713,0.0,16.23
0.03615,23.4,4.95,0,27.9,5.1167,19.2,6.63,0.411,80.0,4.7
2.14918,98.5,19.58,0,19.4,1.6232,14.7,5.709,0.871,0.0,15.79
0.07013,85.1,13.89,0,28.7,3.4211,16.4,6.642,0.55,0.0,9.69
0.35114,49.9,7.38,0,20.4,4.7211,19.6,6.041,0.493,0.0,7.7
0.26363,91.2,8.56,0,19.4,2.5451,20.9,6.229,0.52,0.0,15.55
0.08014,41.5,5.96,0,21.0,3.9342,19.2,5.85,0.499,0.0,8.77
0.12744,2.9,6.91,0,26.6,5.7209,17.9,6.77,0.448,0.0,4.84
0.63796,84.5,8.14,0,18.2,4.4619,21.0,6.096,0.538,0.0,10.26
8.20058,80.3,18.1,0,13.5,2.7792,20.2,5.936,0.713,0.0,16.94
0.43571,100.0,10.59,1,20.0,3.875,18.6,5.344,0.489,0.0,23.09
0.03502,27.9,4.95,0,28.5,5.1167,19.2,6.861,0.411,80.0,3.33
0.95577,88.8,8.14,0,14.8,4.4534,21.0,6.047,0.538,0.0,17.28
0.46296,76.9,6.2,0,31.7,3.6715,17.4,7.412,0.504,0.0,5.25
0.01432,40.5,1.32,0,31.6,8.3248,15.1,6.816,0.411,100.0,3.95
3.53501,82.6,19.58,1,15.6,1.7455,14.7,6.152,0.871,0.0,15.02
2.924,93.0,19.58,0,25.0,2.2834,14.7,6.101,0.605,0.0,9.81
2.3139,97.3,19.58,0,19.1,2.3887,14.7,5.88,0.605,0.0,12.03
1.51902,93.9,19.58,1,50.0,2.162,14.7,8.375,0.605,0.0,3.32
0.21977,62.0,6.91,0,19.4,6.0877,17.9,5.602,0.448,0.0,16.2
0.01501,24.8,1.21,1,50.0,5.885,13.6,7.923,0.401,90.0,3.16
0.0456,56.0,13.89,1,23.3,3.1121,16.4,5.888,0.55,0.0,13.51
0.09849,95.8,25.65,0,18.8,2.0063,19.1,5.879,0.581,0.0,17.58
0.08308,89.8,2.46,0,26.4,2.9879,17.8,5.604,0.488,0.0,13.98
0.0136,47.6,4.0,0,18.9,7.3197,21.1,5.888,0.41,75.0,14.8
0.31827,83.2,9.9,0,17.8,3.9986,18.4,5.914,0.544,0.0,18.33
0.22212,95.4,10.01,0,18.7,2.548,17.8,6.092,0.547,0.0,17.09
0.04544,32.2,3.24,0,19.8,5.8736,16.9,6.144,0.46,0.0,9.09
5.66998,96.8,18.1,1,50.0,1.3567,20.2,6.683,0.631,0.0,3.73
0.04203,53.6,15.04,0,22.9,3.6659,18.2,6.442,0.464,28.0,8.16
0.21038,32.2,3.33,0,35.1,4.1007,14.9,6.812,0.4429,20.0,4.85
9.92485,96.6,18.1,0,12.6,2.198,20.2,6.251,0.74,0.0,16.44
0.08826,6.6,10.81,0,24.2,5.2873,19.2,6.417,0.413,0.0,6.72
5.44114,98.2,18.1,0,15.2,2.3552,20.2,6.655,0.713,0.0,17.73
6.71772,92.6,18.1,0,13.4,2.3236,20.2,6.749,0.713,0.0,17.44
2.44953,95.2,19.58,0,22.3,2.2625,14.7,6.402,0.605,0.0,11.32
0.19133,70.2,5.86,0,18.5,7.9549,19.1,5.605,0.431,22.0,18.46
5.82115,89.9,18.1,0,20.2,2.8016,20.2,6.513,0.713,0.0,10.29
0.04932,70.3,2.18,0,28.2,3.1827,18.4,6.849,0.472,33.0,7.53
0.02498,59.7,1.89,0,16.5,6.2669,15.9,6.54,0.518,0.0,8.65
0.7857,84.6,3.97,0,30.7,2.1329,13.0,7.014,0.647,20.0,14.79
0.10153,74.5,12.83,0,20.0,4.0522,18.7,6.279,0.437,0.0,11.97
0.06664,33.1,4.05,0,29.4,3.1323,16.6,6.546,0.51,0.0,5.33
0.04981,21.4,5.64,0,23.4,6.8147,16.8,5.998,0.439,21.0,8.43
11.5779,97.0,18.1,0,9.7,1.77,20.2,5.036,0.7,0.0,25.68
0.16439,49.1,5.86,0,24.5,7.8265,19.1,6.433,0.431,22.0,9.52
10.233,96.7,18.1,0,14.6,2.1705,20.2,6.185,0.614,0.0,18.03
15.0234,97.3,18.1,0,12.0,2.1007,20.2,5.304,0.614,0.0,24.91
0.13117,85.2,8.56,0,20.4,2.1224,20.9,6.127,0.52,0.0,14.09
