major,gpa,work_exp,admission,application_id
Business,3.17,4.0,,4111
Humanities,3.38,3.0,Waitlist,4283
STEM,3.04,5.0,,5807
STEM,3.06,5.0,,3771
Humanities,3.08,5.0,,4138
STEM,3.24,7.0,,1202
Business,3.49,5.0,,4364
STEM,3.03,5.0,Admit,528
Business,3.18,6.0,,2065
Humanities,3.5,6.0,,1945
Business,3.66,5.0,,3963
STEM,3.28,5.0,,1318
Humanities,3.31,5.0,Admit,3444
Business,3.68,5.0,,1509
Humanities,3.07,4.0,,2366
Humanities,3.15,5.0,,1283
STEM,3.77,5.0,,249
STEM,3.08,6.0,,367
Humanities,3.36,6.0,Admit,2533
STEM,3.36,6.0,,852
STEM,3.45,6.0,,5918
Business,3.19,4.0,,4795
STEM,3.23,4.0,,6194
STEM,3.28,4.0,,4339
Humanities,3.3,5.0,,810
Business,3.2,3.0,,1031
Humanities,3.41,6.0,,5800
Humanities,3.16,6.0,,3684
STEM,3.25,4.0,,1494
Humanities,3.32,5.0,Admit,191
STEM,3.36,5.0,Admit,2914
Humanities,3.03,4.0,,320
Humanities,3.23,4.0,,1167
Business,3.02,5.0,,2315
Humanities,3.3,4.0,Admit,105
STEM,3.23,4.0,,4634
Humanities,3.25,5.0,Admit,177
Business,3.29,4.0,,4347
Business,3.16,5.0,,5760
STEM,3.39,5.0,Admit,4743
Humanities,3.35,4.0,,1896
Humanities,3.17,3.0,,3608
Business,3.32,5.0,,4624
Business,3.19,6.0,,4918
Humanities,3.23,5.0,,428
STEM,3.14,3.0,,1798
Business,3.32,5.0,,2922
Business,3.13,4.0,,4852
Humanities,3.31,5.0,Waitlist,5479
Business,3.47,7.0,,192
Business,3.24,6.0,,5123
Humanities,3.31,4.0,,3642
Humanities,3.63,3.0,Admit,4018
Humanities,3.23,6.0,,2573
Humanities,3.29,3.0,,5433
Humanities,3.29,5.0,,2004
Business,3.38,5.0,,5122
STEM,3.11,5.0,,3389
Business,3.23,5.0,Admit,2983
Humanities,3.07,4.0,,4324
Humanities,3.33,8.0,,4002
STEM,3.12,6.0,,5507
STEM,3.07,4.0,,3947
Humanities,3.15,5.0,,2616
STEM,3.32,4.0,,1301
STEM,3.28,5.0,Admit,355
Humanities,3.49,5.0,,2271
Humanities,3.2,5.0,,1969
Humanities,3.25,5.0,,5974
STEM,3.19,5.0,,2947
STEM,3.25,6.0,,1023
STEM,3.49,5.0,Waitlist,5545
Humanities,3.3,4.0,,4761
Humanities,3.23,5.0,,4713
Business,3.28,5.0,,1044
Business,3.26,4.0,Admit,1937
STEM,3.2,6.0,,1305
STEM,3.07,4.0,,5355
Humanities,3.27,5.0,,1266
Business,3.4,5.0,Admit,460
Business,3.04,5.0,,3273
STEM,3.21,5.0,,915
STEM,3.42,7.0,,3586
Business,3.07,4.0,,4387
STEM,3.24,6.0,Admit,5724
Humanities,3.35,7.0,,2330
Business,3.17,5.0,,4919
Humanities,3.18,5.0,,1883
Humanities,3.1,5.0,,1779
Humanities,3.2,5.0,,5882
STEM,3.28,6.0,,3683
Business,2.99,6.0,,2253
Humanities,3.11,4.0,,2747
Humanities,3.42,5.0,Admit,3225
Humanities,3.09,5.0,,806
STEM,3.16,4.0,,1894
Business,2.95,6.0,,3165
Business,3.4,4.0,,6055
STEM,3.34,6.0,,3317
Humanities,3.31,6.0,,328
Business,3.64,5.0,Admit,3064
Humanities,3.25,4.0,,5500
Humanities,3.36,4.0,,2789
Business,3.33,5.0,,255
Humanities,3.57,6.0,,5784
Humanities,3.26,5.0,,557
Business,3.36,6.0,,3178
STEM,3.32,4.0,,2030
STEM,3.45,4.0,,634
Humanities,3.44,7.0,,1800
STEM,3.14,5.0,,996
Humanities,3.23,5.0,,1791
Humanities,3.36,6.0,Admit,5835
Humanities,3.39,5.0,Admit,4191
STEM,3.15,4.0,,85
Humanities,3.24,5.0,,3733
STEM,3.32,6.0,Admit,2393
STEM,3.34,6.0,,3456
Humanities,3.18,6.0,,4653
STEM,3.07,6.0,,2752
STEM,3.4,7.0,,2594
Business,3.32,5.0,,3564
STEM,3.15,4.0,,2980
Humanities,3.32,5.0,,4056
Humanities,3.17,5.0,,800
Business,3.05,5.0,,280
Humanities,3.24,6.0,,3424
STEM,3.13,4.0,,5658
Humanities,3.25,4.0,,1483
Humanities,3.25,5.0,Admit,4883
Humanities,3.13,4.0,,477
Business,3.38,7.0,,4996
Humanities,3.29,3.0,,870
STEM,3.2,4.0,,1523
Humanities,3.27,4.0,,2835
Business,3.17,5.0,,5495
Humanities,3.03,6.0,,2704
Business,3.71,4.0,,2774
Humanities,3.39,6.0,,1024
Business,3.33,6.0,,2671
Humanities,3.09,3.0,,3627
STEM,3.42,5.0,,3612
Humanities,3.41,6.0,Admit,70
STEM,3.1,5.0,,1848
Business,3.38,5.0,,4551
Business,3.05,6.0,,3117
Business,3.34,5.0,,2472
STEM,3.28,5.0,,399
Humanities,3.24,4.0,,2810
Business,3.12,5.0,,3756
STEM,3.05,4.0,,6150
Business,3.41,4.0,,569
Humanities,3.19,7.0,,4303
STEM,3.24,6.0,,354
STEM,3.44,4.0,,2224
Humanities,3.13,7.0,,3143
STEM,3.49,6.0,,5469
Humanities,3.2,3.0,,776
Business,3.31,6.0,Admit,3256
Humanities,3.29,7.0,Admit,5285
Business,3.16,4.0,Waitlist,574
Humanities,3.55,3.0,Admit,1300
Humanities,3.31,6.0,,6143
STEM,3.04,5.0,,3707
Humanities,3.39,5.0,,2722
Humanities,3.13,7.0,,2342
STEM,3.42,6.0,,157
STEM,3.57,3.0,,5911
STEM,3.46,7.0,,1040
Business,3.11,3.0,,493
Business,3.5,4.0,Admit,3001
Business,2.92,7.0,,2542
STEM,3.25,5.0,,1642
STEM,3.27,7.0,,4917
STEM,3.57,5.0,Admit,4268
STEM,3.4,6.0,,4639
Business,3.32,4.0,,3496
Business,3.31,5.0,,5996
STEM,3.51,5.0,Waitlist,511
Humanities,3.31,5.0,,2989
Business,3.11,5.0,,4688
STEM,3.34,6.0,,4923
STEM,3.05,6.0,,2487
Humanities,3.51,7.0,,128
Humanities,2.98,5.0,,4890
Humanities,3.05,6.0,,2420
Business,3.13,3.0,,1383
Business,3.22,6.0,,4490
STEM,3.27,6.0,,3855
STEM,3.01,6.0,,5038
STEM,3.28,6.0,,2147
Humanities,3.52,7.0,,6074
STEM,3.2,6.0,,2567
STEM,3.21,6.0,,1932
STEM,3.26,6.0,,2024
STEM,3.2,5.0,,6133
Humanities,3.15,5.0,,2464
Business,3.36,4.0,Admit,405
Humanities,3.19,4.0,,5382
Humanities,3.1,6.0,,2675
Humanities,3.53,6.0,,2565
Humanities,3.35,6.0,Admit,4540
Business,3.3,5.0,,6149
Humanities,3.33,5.0,,2917
STEM,2.94,5.0,,4578
STEM,3.14,5.0,,3186
Business,3.33,4.0,,5353
Humanities,3.17,5.0,,5787
Business,3.37,5.0,,2223
STEM,3.2,5.0,,2048
Humanities,3.1,6.0,,5000
Business,3.5,5.0,Admit,4699
Business,3.19,6.0,,5598
Humanities,3.18,4.0,,4432
Humanities,3.11,3.0,,1205
STEM,3.34,4.0,Admit,3574
Business,3.37,5.0,,3538
Humanities,3.14,7.0,,3396
Humanities,3.22,6.0,,5611
Business,3.41,5.0,,3711
Humanities,3.49,6.0,,4028
Business,3.35,7.0,,4460
Humanities,3.18,5.0,,1231
Humanities,3.1,4.0,,3681
Humanities,3.54,6.0,,1731
Business,3.58,3.0,,3591
Humanities,3.45,4.0,,238
STEM,3.28,5.0,,5923
STEM,3.35,5.0,,4259
STEM,3.24,5.0,Admit,5884
Business,3.27,6.0,,801
Business,3.22,5.0,,2876
Business,3.17,5.0,,5983
Humanities,3.01,6.0,,187
Humanities,3.15,3.0,,4893
Business,3.31,4.0,Admit,932
Humanities,3.11,3.0,,2504
STEM,3.12,6.0,,4211
Humanities,3.08,5.0,,5389
Humanities,3.38,5.0,,4076
Humanities,3.44,4.0,,5409
Humanities,3.32,5.0,,4326
Business,3.32,6.0,,3095
STEM,3.12,5.0,,4752
Humanities,2.89,6.0,,570
STEM,3.43,5.0,Admit,2648
Business,3.18,4.0,,743
Business,3.11,4.0,,5233
Business,3.0,5.0,,661
Humanities,3.47,6.0,Admit,1646
Business,3.1,5.0,,4241
STEM,3.17,6.0,,3027
STEM,3.18,4.0,,2089
STEM,3.52,5.0,,898
Humanities,2.89,5.0,Admit,74
Business,3.31,3.0,,2924
STEM,3.25,5.0,Admit,3764
Business,2.99,4.0,,3569
Business,3.46,5.0,,3216
Business,3.45,7.0,Admit,3450
Humanities,3.13,4.0,,2184
Business,3.35,6.0,Admit,5675
Business,3.39,4.0,,14
Humanities,3.14,3.0,,3211
Humanities,2.98,5.0,,1807
Humanities,3.12,5.0,,5587
Business,3.41,5.0,Admit,2119
STEM,3.44,5.0,,5130
Humanities,2.89,5.0,,5491
Business,3.03,5.0,,3451
Humanities,3.32,6.0,,4916
STEM,3.1,4.0,,349
Business,3.4,4.0,,2434
STEM,3.44,5.0,,4654
STEM,3.26,5.0,,417
Business,3.18,5.0,,5402
Humanities,3.26,4.0,,5422
Business,3.63,6.0,Admit,753
STEM,3.45,6.0,,1547
Humanities,3.48,4.0,,5153
Humanities,3.37,4.0,,3593
Humanities,3.14,6.0,,5191
Humanities,3.38,3.0,,5216
Business,3.11,5.0,,1343
Business,3.33,5.0,,315
STEM,3.2,6.0,,5621
STEM,3.23,4.0,,1835
STEM,3.47,6.0,,4
Humanities,3.12,5.0,,4669
Humanities,3.45,5.0,,197
STEM,3.34,5.0,Admit,474
STEM,3.24,6.0,,5451
Business,3.15,5.0,,2149
Humanities,3.12,5.0,,3920
Humanities,3.26,4.0,,4843
Humanities,3.28,6.0,,2964
Humanities,3.26,6.0,,5812
STEM,2.97,4.0,,3318
Business,3.38,5.0,,1500
STEM,3.51,5.0,Waitlist,780
Humanities,3.28,5.0,,1812
Business,2.95,4.0,,5574
Humanities,3.31,6.0,,1744
Humanities,3.49,3.0,,237
STEM,3.38,4.0,Admit,2678
STEM,3.25,6.0,,4128
Humanities,3.21,4.0,,6053
STEM,3.28,6.0,,2723
Humanities,3.32,4.0,,261
Humanities,3.04,7.0,,4496
Humanities,3.3,4.0,,1334
Business,3.17,5.0,,2449
STEM,3.36,3.0,,4053
STEM,3.26,4.0,,3576
Humanities,3.17,5.0,,2383
STEM,3.17,6.0,,3651
Humanities,3.25,3.0,,545
Humanities,3.39,6.0,,4051
Humanities,3.24,6.0,,3734
Business,3.11,6.0,,3331
Humanities,3.24,5.0,,6001
Humanities,3.06,5.0,,4825
STEM,3.31,7.0,Admit,604
Business,3.19,5.0,,5205
Humanities,3.32,4.0,,2033
Humanities,2.97,5.0,,4574
STEM,3.2,6.0,,705
STEM,2.99,4.0,,2364
Humanities,3.16,5.0,,1026
Humanities,3.26,7.0,,3302
STEM,3.17,5.0,,2116
Humanities,3.23,3.0,,5369
Humanities,3.18,4.0,,2151
Humanities,3.33,5.0,,5445
STEM,3.16,6.0,,5512
Humanities,3.36,5.0,Admit,926
Humanities,3.36,5.0,,4526
Humanities,2.93,4.0,,81
Business,3.3,4.0,,4483
Business,3.61,6.0,,5713
STEM,3.2,5.0,,1519
Humanities,3.34,5.0,,5649
STEM,3.34,6.0,,4690
Humanities,3.22,5.0,,2187
Humanities,3.18,7.0,,3669
Humanities,3.26,4.0,,252
STEM,3.07,6.0,,5423
Business,3.0,6.0,,5463
Business,3.23,5.0,,2692
Business,3.19,6.0,,3783
STEM,3.32,2.0,Admit,1944
STEM,3.13,6.0,Waitlist,840
Humanities,3.32,6.0,,146
Humanities,3.43,4.0,Admit,5343
Humanities,3.33,5.0,Admit,1965
STEM,3.31,6.0,,3959
Business,3.14,4.0,,2570
Humanities,3.14,5.0,,1679
Humanities,3.32,4.0,,3907
Business,3.42,6.0,Admit,1873
STEM,3.36,4.0,,940
Humanities,3.19,4.0,,3120
Business,3.15,3.0,,3217
Humanities,3.25,6.0,,2822
STEM,3.38,5.0,,3470
Humanities,3.1,6.0,,4964
Business,3.38,6.0,,4150
Humanities,3.45,3.0,Admit,1078
Humanities,3.04,4.0,,575
Business,3.26,5.0,,2812
STEM,3.21,6.0,,455
Humanities,3.39,6.0,,3759
Business,3.2,6.0,,4992
Business,3.29,6.0,,1981
Business,3.44,3.0,Admit,5274
Business,3.23,7.0,,1729
Humanities,3.38,5.0,,3477
STEM,3.39,5.0,Admit,5954
Business,3.26,6.0,,1514
Business,3.14,6.0,,2673
Business,3.48,5.0,Admit,88
Humanities,3.2,7.0,Admit,114
Humanities,3.24,3.0,,400
Humanities,3.3,5.0,,2264
Humanities,3.55,3.0,,1192
STEM,3.36,6.0,Waitlist,786
Business,3.22,5.0,Admit,6192
Humanities,3.58,6.0,,2768
Humanities,3.15,5.0,,5766
STEM,3.26,6.0,Admit,1866
Business,3.18,4.0,,5235
STEM,3.1,5.0,,2850
Business,3.13,5.0,,2821
STEM,3.18,5.0,,4801
STEM,3.06,7.0,,2958
STEM,3.1,4.0,,1700
Humanities,2.97,4.0,Admit,284
STEM,3.25,3.0,,3276
STEM,3.31,6.0,,1921
Humanities,3.65,6.0,Waitlist,767
Humanities,3.24,4.0,,4560
Humanities,3.01,8.0,,375
STEM,3.24,5.0,Admit,2109
STEM,3.41,6.0,,5350
STEM,3.27,5.0,,5886
Humanities,3.01,4.0,,2040
Business,3.24,7.0,,5247
Business,3.19,6.0,Admit,534
Humanities,3.22,5.0,,403
STEM,3.17,4.0,,2630
Business,3.12,5.0,,1804
Humanities,3.36,5.0,,5175
Humanities,3.23,5.0,,4069
STEM,3.21,4.0,,3078
Humanities,3.28,6.0,Admit,704
Humanities,3.47,5.0,,4007
STEM,3.21,6.0,Admit,2786
Humanities,3.31,4.0,,2278
STEM,3.17,6.0,,1763
Humanities,3.43,6.0,,2436
Business,3.31,4.0,Waitlist,3281
Humanities,3.35,5.0,,3284
STEM,3.29,4.0,,1329
STEM,3.18,4.0,,725
Business,3.22,6.0,,2930
Humanities,3.26,4.0,,6028
Business,3.23,5.0,,1568
Humanities,3.4,5.0,Admit,5823
Humanities,3.13,6.0,,19
Humanities,3.42,6.0,,3793
Humanities,3.26,5.0,,5307
STEM,3.27,7.0,,2067
Business,3.32,4.0,,5319
Humanities,3.32,5.0,Admit,153
Humanities,3.11,7.0,,2944
Business,3.25,5.0,,4678
Business,3.29,4.0,,4730
STEM,3.33,4.0,,4260
Business,3.51,4.0,,620
Business,3.38,5.0,Admit,4791
Business,3.3,6.0,,5043
Business,3.33,6.0,,5685
Humanities,3.26,5.0,,4423
Humanities,3.01,6.0,,4165
Business,3.16,5.0,,2886
STEM,3.3,5.0,,1405
Humanities,3.41,5.0,,2186
STEM,3.25,5.0,,3108
Humanities,3.11,4.0,,2288
STEM,3.39,4.0,,1460
Humanities,3.24,4.0,Admit,1864
STEM,3.24,5.0,,3839
STEM,3.28,5.0,,1930
Humanities,3.19,4.0,,5059
Humanities,3.44,5.0,,3336
Humanities,3.12,5.0,,1591
STEM,3.12,6.0,,4242
Business,2.84,5.0,,2197
Business,3.32,6.0,,2993
STEM,3.17,4.0,,1431
Business,3.37,6.0,,4356
Business,3.17,6.0,,835
STEM,3.0,6.0,,863
Business,3.05,7.0,,2866
Humanities,3.24,4.0,,2948
STEM,3.62,6.0,,1436
STEM,3.24,4.0,,3363
STEM,3.43,4.0,,4637
Humanities,2.9,4.0,,3303
STEM,3.14,5.0,,2121
Business,3.2,5.0,,1180
Business,3.15,7.0,,2042
Humanities,2.92,6.0,,4989
Humanities,3.58,4.0,,1414
STEM,3.25,4.0,,5962
STEM,3.03,5.0,,6097
STEM,3.18,6.0,,1719
Humanities,3.23,5.0,,1962
Business,3.24,6.0,,3729
Humanities,3.15,5.0,,692
Business,3.5,5.0,,4374
STEM,3.33,5.0,,496
STEM,3.01,4.0,,2301
Humanities,3.21,5.0,,3390
STEM,3.38,4.0,,5120
STEM,3.49,6.0,,3505
Business,3.39,4.0,,5393
Humanities,3.36,6.0,Admit,4903
Humanities,3.28,5.0,,260
Business,3.31,4.0,,2847
Humanities,3.23,6.0,,2193
Business,3.28,5.0,,5291
STEM,2.82,3.0,,4429
Humanities,3.44,5.0,,1345
Business,3.33,5.0,,1672
Humanities,3.45,7.0,,873
Humanities,3.27,6.0,,456
Business,3.24,4.0,,1144
Business,3.2,4.0,,5346
Humanities,3.5,4.0,,2032
Humanities,3.1,5.0,,5189
STEM,3.21,5.0,,5939
Business,3.24,2.0,,9
STEM,3.33,4.0,Admit,795
STEM,3.03,5.0,,1448
Business,3.19,5.0,,5080
STEM,3.43,3.0,,1914
Humanities,3.18,6.0,,1207
Humanities,3.45,5.0,,639
Business,3.35,5.0,,4951
Humanities,3.25,6.0,Admit,1789
Business,3.37,7.0,,4647
STEM,3.13,7.0,,1732
Business,3.27,5.0,,2451
Business,3.4,6.0,,6059
STEM,3.09,6.0,,1590
Business,3.09,6.0,,2652
STEM,3.49,6.0,,3526
STEM,3.19,5.0,,5143
Business,3.15,5.0,,2310
STEM,3.19,6.0,,4059
Humanities,3.21,5.0,Admit,1045
Business,3.29,5.0,,750
Humanities,3.27,5.0,,3320
Business,3.32,5.0,Admit,855
Humanities,3.13,4.0,,3438
Business,3.55,6.0,Waitlist,503
STEM,3.33,4.0,,4536
STEM,3.29,5.0,,285
Business,3.2,4.0,,5164
Business,3.14,5.0,,3142
Humanities,3.34,7.0,Admit,5723
Business,3.06,6.0,,3249
Humanities,3.46,5.0,Waitlist,2646
STEM,3.25,5.0,,5209
Humanities,3.36,5.0,,2163
Business,3.06,7.0,,3614
STEM,3.39,6.0,,4859
STEM,3.16,5.0,,3427
Humanities,3.04,5.0,,4321
Humanities,2.89,6.0,,1328
STEM,3.35,5.0,,5039
Business,3.33,5.0,,4701
Humanities,2.99,3.0,,2066
Humanities,3.22,6.0,,1370
Business,3.14,6.0,,1754
Business,3.02,6.0,,3515
STEM,3.44,6.0,,4408
Humanities,3.21,5.0,Admit,3634
Business,3.3,6.0,,3933
Humanities,3.16,6.0,,1867
Humanities,3.46,4.0,,2141
STEM,3.48,5.0,,533
Humanities,3.38,6.0,,3589
Humanities,3.0,5.0,,1689
STEM,3.22,6.0,,4712
Humanities,2.94,6.0,,4692
Humanities,3.21,3.0,Admit,3048
Business,3.21,5.0,,1002
Humanities,3.08,5.0,,2568
STEM,2.9,4.0,,2843
Humanities,3.08,4.0,,4617
Business,3.33,5.0,,5623
STEM,3.24,5.0,Admit,601
Humanities,3.43,4.0,,4269
STEM,3.32,6.0,,4177
Business,3.1,5.0,,1878
Humanities,3.27,6.0,,1209
Humanities,3.33,4.0,Admit,119
Humanities,3.46,6.0,,768
Humanities,3.31,5.0,,5180
Humanities,3.33,6.0,Admit,4718
STEM,3.05,5.0,,1490
STEM,3.21,4.0,Waitlist,667
Business,3.38,4.0,,1783
Business,3.09,5.0,,3115
Humanities,3.43,5.0,,984
Business,3.39,4.0,,2242
Business,3.4,4.0,,5371
STEM,3.36,5.0,,98
Business,3.19,4.0,,4494
Humanities,3.26,4.0,,5922
Humanities,3.36,5.0,,1139
Humanities,3.27,5.0,Admit,1707
STEM,3.07,3.0,,5010
STEM,3.47,4.0,,3580
STEM,3.28,6.0,,1557
Business,3.4,6.0,,2908
Humanities,3.29,4.0,,6042
Humanities,3.3,5.0,,4013
Business,3.4,6.0,,5011
STEM,3.08,4.0,,766
Humanities,3.36,6.0,,323
STEM,3.21,5.0,,4376
Humanities,3.39,6.0,,2579
Humanities,3.41,4.0,Admit,3310
STEM,3.07,5.0,,5230
STEM,3.43,4.0,,4236
Humanities,3.15,8.0,,6085
Business,3.19,4.0,,1244
Humanities,3.15,2.0,,3521
Humanities,3.01,4.0,,5638
Business,3.23,6.0,,4066
Business,3.11,7.0,,244
STEM,3.29,6.0,,3956
Business,3.14,4.0,,5424
Humanities,3.32,5.0,Admit,319
Humanities,3.04,5.0,,2797
Business,3.05,3.0,,3297
Business,3.0,3.0,,3473
STEM,3.17,4.0,,5259
STEM,3.29,4.0,,6103
STEM,3.18,6.0,,1200
Humanities,3.25,6.0,,4665
STEM,3.2,6.0,,509
STEM,3.34,8.0,,4172
Business,3.14,4.0,,4104
Humanities,3.51,6.0,,5734
STEM,3.33,5.0,,3692
Business,3.49,3.0,Admit,3410
STEM,3.14,6.0,,6113
Humanities,3.28,6.0,,5834
Humanities,3.1,5.0,,326
Business,2.99,4.0,,2132
Humanities,3.44,7.0,Admit,5131
Humanities,3.45,4.0,,3160
Business,3.33,6.0,,4922
Humanities,3.31,5.0,,415
Humanities,3.36,6.0,,2290
Humanities,3.38,3.0,,5041
Humanities,3.01,2.0,,1670
STEM,3.13,4.0,,2794
Humanities,3.01,6.0,,2326
Humanities,3.13,3.0,,2911
Business,3.41,6.0,,669
Humanities,3.43,4.0,,2323
Business,3.38,6.0,,5559
STEM,3.21,4.0,,3656
Humanities,3.14,5.0,,5829
Humanities,3.09,5.0,,4249
STEM,3.44,5.0,Admit,5993
Business,3.28,6.0,,4095
Humanities,3.13,4.0,,4598
STEM,3.31,6.0,,1661
STEM,3.23,5.0,,5531
Humanities,2.96,4.0,,5374
Humanities,3.24,6.0,,1705
Humanities,3.21,5.0,,2750
Humanities,3.19,5.0,,2755
Humanities,3.53,6.0,,5204
