RM,PRICE,ZN,NOX,CRIM,LSTAT,RAD,DIS,B,TAX,AGE
6.014,17.5,0.0,0.442,0.03113,10.53,3,8.0136,385.64,352,48.5
4.963,21.9,0.0,0.718,3.69695,14.0,24,1.7523,316.03,666,91.4
5.628,15.6,0.0,0.871,2.15505,16.65,5,1.5166,169.27,403,100.0
6.657,17.2,0.0,0.597,14.0507,21.22,24,1.5275,35.05,666,100.0
6.861,28.5,80.0,0.411,0.03502,3.33,4,5.1167,396.9,245,27.9
5.875,17.4,0.0,0.605,1.20742,14.43,5,2.4259,292.29,403,94.6
6.436,14.3,0.0,0.713,5.58107,16.22,24,2.3158,100.19,666,87.9
5.998,23.4,21.0,0.439,0.04981,8.43,4,6.8147,396.9,243,21.4
6.726,29.0,0.0,0.507,0.44791,8.05,8,3.6519,360.2,307,66.5
5.613,15.7,0.0,0.581,0.38735,27.26,2,1.7572,359.29,188,95.6
6.096,13.5,0.0,0.538,1.61282,20.34,4,3.7598,248.31,307,96.9
7.088,32.2,90.0,0.4,0.00906,7.85,1,7.3073,394.72,285,20.8
6.114,19.1,0.0,0.583,5.69175,14.98,24,3.5459,392.68,666,79.8
7.923,50.0,90.0,0.401,0.01501,3.16,1,5.885,395.52,198,24.8
7.178,36.4,45.0,0.437,0.08664,2.87,5,6.4798,390.49,398,26.3
6.372,23.0,0.0,0.624,0.59005,11.12,4,2.3274,385.76,437,97.9
6.167,20.1,0.0,0.52,0.1396,12.33,5,2.421,392.69,384,90.0
6.096,18.2,0.0,0.538,0.63796,10.26,4,4.4619,380.02,307,84.5
5.186,17.8,0.0,0.871,2.33099,28.32,5,1.5296,356.99,403,93.8
6.395,21.7,0.0,0.77,3.8497,13.27,24,2.5052,391.34,666,91.0
6.549,27.1,0.0,0.437,0.05372,7.39,4,5.9604,392.85,289,51.0
4.906,13.8,0.0,0.668,11.1081,34.77,24,1.1742,396.9,666,100.0
5.683,5.0,0.0,0.693,67.9208,22.98,24,1.4254,384.97,666,100.0
6.649,13.9,0.0,0.671,15.288,23.24,24,1.3449,363.02,666,93.3
5.706,17.1,35.0,0.4379,0.05023,12.43,1,6.6407,394.02,304,28.4
5.949,20.4,0.0,0.538,0.62976,8.26,4,4.7075,396.9,307,61.8
5.572,23.1,0.0,0.51,0.13914,14.69,5,2.5961,396.9,296,88.5
5.56,22.8,20.0,0.647,0.76162,10.45,5,1.9865,392.4,264,62.8
5.349,8.3,0.0,0.693,24.8017,19.77,24,1.7028,396.9,666,96.0
5.818,10.5,0.0,0.74,22.0511,22.11,24,1.8662,391.45,666,92.4
6.487,24.4,22.0,0.431,0.1403,5.9,7,7.3967,396.28,330,13.0
6.433,24.5,22.0,0.431,0.16439,9.52,7,7.8265,374.71,330,49.1
6.781,26.5,0.0,0.52,0.11432,7.67,5,2.8561,395.58,384,71.3
5.856,17.3,0.0,0.581,0.15038,25.41,2,1.9444,370.31,188,97.0
6.072,14.5,0.0,0.538,1.35472,13.04,4,4.175,376.73,307,100.0
6.728,14.9,0.0,0.713,9.51363,18.71,24,2.4961,6.68,666,94.1
5.95,13.2,0.0,0.538,1.38799,27.71,4,3.99,232.6,307,82.0
7.267,33.2,40.0,0.447,0.10469,6.05,4,4.7872,389.25,254,49.0
6.24,25.2,20.0,0.464,0.16211,6.59,3,4.429,396.9,223,16.3
7.185,34.7,0.0,0.469,0.02729,4.03,2,4.9671,392.83,242,61.1
5.605,18.5,22.0,0.431,0.19133,18.46,7,7.9549,389.13,330,70.2
7.454,44.0,90.0,0.394,0.01538,3.11,3,6.3361,386.34,244,34.2
5.898,17.2,0.0,0.442,0.06162,12.67,3,8.0136,364.61,352,52.3
7.333,36.0,20.0,0.647,0.66351,7.79,5,1.8946,383.29,264,100.0
5.887,12.7,0.0,0.693,13.3598,16.35,24,1.7821,396.9,666,94.7
6.406,17.1,0.0,0.74,9.72418,19.52,24,2.0651,385.96,666,97.2
6.211,25.0,28.0,0.464,0.02875,6.21,4,3.6659,396.33,270,28.9
5.39,19.7,0.0,0.585,0.2896,21.14,6,2.7986,396.9,391,72.9
6.563,32.5,0.0,0.488,0.10008,5.68,3,2.847,396.9,193,95.6
6.405,12.5,0.0,0.693,5.87205,19.37,24,1.6768,396.9,666,96.0
6.195,21.7,0.0,0.52,0.10793,13.0,5,2.7778,393.49,384,54.4
5.79,20.3,0.0,0.437,0.14103,15.84,4,6.32,396.9,289,58.0
6.312,21.2,0.0,0.583,3.67367,10.58,24,3.9917,388.62,666,51.9
6.715,22.8,0.0,0.547,0.10084,10.16,6,2.6775,395.59,432,81.6
6.625,28.4,0.0,0.445,0.12204,6.65,2,3.4952,357.98,276,57.8
6.163,21.4,0.0,0.445,0.11504,11.34,2,3.4952,391.83,276,69.6
5.412,23.7,0.0,0.489,0.28955,29.55,4,3.5875,348.93,277,9.8
6.251,19.9,0.0,0.77,3.83684,14.19,24,2.2955,350.65,666,91.1
6.316,22.2,0.0,0.515,0.05083,5.68,5,6.4584,389.71,224,38.1
7.016,50.0,0.0,0.631,6.53876,2.96,24,1.2024,392.05,666,97.5
6.023,19.4,0.0,0.544,0.26169,11.72,4,2.834,396.3,304,90.4
5.875,50.0,0.0,0.668,8.26725,8.88,24,1.1296,347.88,666,89.6
5.871,20.6,0.0,0.583,2.37857,13.34,24,3.724,370.73,666,41.9
7.686,46.7,0.0,0.504,0.29819,3.92,8,3.3751,377.51,307,17.0
6.059,20.6,0.0,0.515,0.03306,8.51,5,4.8122,396.14,224,37.3
6.027,16.8,0.0,0.585,0.22438,14.33,6,2.4982,396.9,391,79.7
5.708,18.5,0.0,0.493,0.28392,11.74,5,4.7211,391.13,287,74.3
6.417,13.0,0.0,0.713,7.52601,19.31,24,2.185,304.21,666,98.3
6.065,22.8,0.0,0.413,0.09164,5.52,4,5.2873,390.91,305,7.8
6.405,22.0,0.0,0.489,0.03932,8.2,2,3.0921,393.55,270,73.9
5.926,24.5,0.0,0.585,0.27957,13.59,6,2.3817,396.9,391,42.6
6.51,23.3,0.0,0.871,1.42502,7.39,5,1.7659,364.31,403,100.0
5.822,18.4,0.0,0.624,0.32982,15.03,4,2.4699,388.69,437,95.4
6.348,14.5,0.0,0.584,8.49213,17.64,24,2.0527,83.45,666,86.1
6.006,14.2,0.0,0.718,7.02259,15.7,24,1.8746,319.98,666,95.3
6.998,33.4,0.0,0.458,0.03237,2.94,3,6.0622,394.63,222,45.8
6.021,19.2,0.0,0.547,0.15098,10.3,6,2.7474,394.51,432,82.6
6.495,18.4,0.0,0.538,0.77299,12.8,4,4.4547,387.94,307,94.4
5.713,20.1,0.0,0.58,13.0751,14.76,24,2.8237,396.9,666,56.7
6.162,13.3,0.0,0.584,6.39312,24.1,24,2.206,302.76,666,97.4
6.404,12.1,0.0,0.693,9.59571,20.31,24,1.639,376.11,666,100.0
6.376,23.1,0.0,0.493,0.18159,6.87,5,4.5404,396.9,287,54.3
6.064,24.4,0.0,0.489,0.13587,14.66,4,4.2392,381.32,277,59.1
8.266,44.8,0.0,0.504,0.31533,4.14,8,2.8944,385.05,307,78.3
6.273,24.1,0.0,0.437,0.07896,6.78,5,4.2515,394.92,398,6.0
7.041,29.0,70.0,0.4,0.05561,4.74,5,7.8278,371.58,358,10.0
6.939,26.6,40.0,0.429,0.02899,5.89,1,8.7921,389.85,335,34.5
6.115,20.5,21.0,0.439,0.04337,9.43,4,6.8147,393.97,243,63.0
6.302,24.8,25.0,0.426,0.03659,6.72,4,5.4007,396.9,281,32.2
6.069,21.2,0.0,0.448,0.12269,9.55,3,5.7209,389.39,233,40.0
5.891,22.6,0.0,0.489,0.13642,10.87,4,3.9454,396.9,277,22.3
5.427,13.8,0.0,0.584,8.05579,18.14,24,2.4298,352.58,666,95.4
8.375,50.0,0.0,0.605,1.51902,3.32,5,2.162,388.45,403,93.9
5.757,15.6,0.0,0.624,0.97617,17.31,4,2.346,262.76,437,98.4
5.854,22.7,0.0,0.605,2.24236,11.64,5,2.422,395.11,403,91.8
7.249,35.4,90.0,0.403,0.01311,4.81,5,8.6966,395.93,226,21.9
5.036,9.7,0.0,0.7,11.5779,25.68,24,1.77,396.9,666,97.0
6.975,34.9,95.0,0.403,0.0315,4.56,3,7.6534,396.9,402,15.3
5.972,20.3,0.0,0.544,0.3494,9.97,4,3.1025,396.24,304,76.7
6.153,29.6,0.0,0.488,0.06047,13.15,3,3.2797,387.11,193,68.8
6.382,23.1,0.0,0.544,0.40202,10.36,4,3.5325,395.21,304,67.2
6.129,17.0,0.0,0.871,1.41385,15.12,5,1.7494,321.02,403,96.0
5.872,20.4,0.0,0.547,0.13058,15.37,6,2.4775,338.63,432,73.1
6.8,31.1,60.0,0.401,0.02187,5.03,1,6.2196,393.37,265,9.9
6.229,21.4,0.0,0.614,14.3337,13.11,24,1.9512,383.32,666,88.0
6.678,28.6,0.0,0.437,0.12932,6.27,4,5.9604,396.9,289,31.1
6.631,25.1,0.0,0.507,0.52058,9.54,8,4.148,388.45,307,76.5
6.14,20.8,0.0,0.437,0.08707,10.27,5,4.0905,386.96,398,45.8
5.836,19.5,0.0,0.52,0.1712,18.66,5,2.211,395.67,384,91.9
5.933,18.9,0.0,0.499,0.06417,9.68,5,3.3603,396.9,279,68.2
6.266,21.6,0.0,0.544,0.26938,7.9,4,3.2628,393.39,304,82.8
6.683,50.0,0.0,0.631,5.66998,3.73,24,1.3567,375.33,666,96.8
6.031,19.4,35.0,0.4379,0.03466,7.83,1,6.6407,362.25,304,23.3
5.913,18.8,0.0,0.547,0.12329,16.21,6,2.3534,394.95,432,92.9
5.854,10.8,0.0,0.74,12.8023,23.79,24,1.8956,240.52,666,96.6
5.88,19.1,0.0,0.605,2.3139,12.03,5,2.3887,348.13,403,97.3
5.884,18.6,60.0,0.411,0.07244,7.79,4,10.7103,392.33,411,18.5
7.014,30.7,20.0,0.647,0.7857,14.79,5,2.1329,384.07,264,84.6
5.868,19.3,0.0,0.46,0.06617,9.97,4,5.2146,382.44,430,25.8
6.122,22.1,0.0,0.544,0.79041,5.98,4,2.6403,396.9,304,52.8
7.313,15.0,0.0,0.671,19.6091,13.44,24,1.3163,396.9,666,97.9
6.951,37.0,45.0,0.437,0.09068,5.1,5,6.4798,377.68,398,21.5
6.152,8.7,0.0,0.74,15.1772,26.45,24,1.9142,9.32,666,100.0
6.98,37.2,0.0,0.488,0.0578,5.04,3,2.829,396.9,193,58.4
6.98,29.8,0.0,0.614,4.64689,11.66,24,2.5329,374.68,666,67.6
7.929,50.0,0.0,0.605,2.01019,3.7,5,2.0459,369.3,403,96.2
8.034,50.0,95.0,0.4161,0.02009,2.88,4,5.118,390.55,224,31.9
6.782,32.0,45.0,0.437,0.07875,6.68,5,3.7886,393.87,398,41.1
6.495,26.4,34.0,0.433,0.09266,8.67,7,5.4917,383.61,329,18.4
6.29,23.5,80.0,0.398,0.03584,4.67,4,6.6115,396.9,337,17.8
5.454,15.2,0.0,0.609,0.15086,18.06,4,1.8209,395.09,711,92.7
5.304,12.0,0.0,0.614,15.0234,24.91,24,2.1007,349.48,666,97.3
6.618,30.1,0.0,0.507,0.6147,7.6,8,3.2721,396.9,307,80.8
6.943,41.3,0.0,0.605,1.22358,4.59,5,1.8773,363.43,403,97.4
7.42,33.4,33.0,0.472,0.07503,6.47,7,3.0992,396.9,222,71.9
6.108,24.3,22.0,0.431,0.33983,9.16,7,8.0555,390.18,330,34.9
5.693,16.2,0.0,0.624,0.25915,17.19,4,1.7883,392.11,437,96.0
6.824,8.4,0.0,0.718,11.8123,22.74,24,1.794,48.45,666,76.5
7.241,32.7,35.0,0.442,0.01301,5.49,1,7.0379,394.74,284,49.3
6.434,7.2,0.0,0.679,18.0846,29.05,24,1.8347,27.25,666,100.0
5.0,7.4,0.0,0.7,22.5971,31.99,24,1.5184,396.9,666,89.5
5.92,20.7,20.0,0.464,0.09065,13.65,3,3.9175,391.34,223,61.5
6.968,35.4,20.0,0.4429,0.03705,4.59,5,5.2447,392.23,216,37.2
6.438,24.8,22.0,0.431,0.21409,3.59,7,7.3967,377.07,330,8.9
6.474,19.8,0.0,0.52,0.12802,12.27,5,2.4329,395.24,384,97.1
6.193,11.0,0.0,0.679,7.36711,21.52,24,1.9356,96.73,666,78.1
8.725,50.0,0.0,0.504,0.52693,4.63,8,2.8944,382.0,307,83.0
7.079,28.7,0.0,0.489,0.05302,5.7,2,3.4145,396.06,270,63.1
6.164,21.7,0.0,0.507,0.40771,21.46,8,3.048,395.24,307,91.3
6.629,13.4,0.0,0.74,11.1604,23.27,24,2.1247,109.85,666,94.6
7.82,45.4,20.0,0.4429,0.03578,3.76,5,4.6947,387.31,216,64.5
6.081,20.0,0.0,0.713,6.80117,14.7,24,2.7175,396.9,666,84.4
5.936,13.5,0.0,0.713,8.20058,16.94,24,2.7792,3.5,666,80.3
6.152,15.6,0.0,0.871,3.53501,15.02,5,1.7455,88.01,403,82.6
6.242,23.0,0.0,0.532,5.82401,10.74,24,3.4242,396.9,666,64.7
6.393,23.7,30.0,0.428,0.12757,5.19,6,7.0355,374.71,300,7.8
6.101,25.0,0.0,0.605,2.924,9.81,5,2.2834,240.16,403,93.0
6.343,7.2,0.0,0.693,14.2362,20.32,24,1.5741,396.9,666,100.0
6.009,21.7,0.0,0.437,0.08199,10.4,4,5.5027,396.9,289,42.3
6.297,16.1,0.0,0.713,5.09017,17.27,24,2.3682,385.09,666,91.8
6.758,32.4,40.0,0.447,0.05644,3.53,4,4.0776,396.9,254,32.9
6.172,27.1,12.5,0.524,0.14455,19.15,5,5.9505,396.9,311,96.1
6.345,22.5,70.0,0.4,0.06466,4.97,5,7.8278,368.24,358,20.1
6.879,27.5,0.0,0.507,0.62356,9.93,8,3.2721,390.39,307,77.7
5.936,20.6,80.0,0.413,0.10659,5.57,4,10.5857,376.04,334,19.5
6.315,22.3,52.5,0.405,0.0459,7.6,6,7.3172,396.9,293,45.6
7.148,37.3,80.0,0.411,0.07886,3.56,4,5.1167,396.9,245,27.7
6.456,22.2,25.0,0.453,0.11027,6.73,8,7.2255,396.9,284,67.8
7.393,17.8,0.0,0.713,8.24809,16.74,24,2.4527,375.87,666,99.3
4.138,13.8,0.0,0.668,18.4982,37.97,24,1.137,396.9,666,100.0
6.373,23.0,0.0,0.55,0.11425,10.5,5,3.3633,393.74,276,92.4
5.877,23.8,0.0,0.605,1.80028,12.14,5,2.4259,227.61,403,79.2
5.155,16.3,0.0,0.597,28.6558,20.08,24,1.5894,210.97,666,100.0
6.286,21.4,0.0,0.437,0.09512,8.94,5,4.5026,383.23,398,45.0
8.297,50.0,20.0,0.575,0.57834,7.44,5,2.4216,384.54,264,67.0
8.259,42.8,22.0,0.431,0.36894,3.54,7,8.9067,396.9,330,8.4
6.185,14.1,0.0,0.713,9.32909,18.13,24,2.2616,396.9,666,98.7
6.63,26.6,0.0,0.449,0.05735,6.53,3,4.4377,392.3,247,56.1
5.879,18.8,0.0,0.581,0.09849,17.58,2,2.0063,379.38,188,95.8
6.25,27.0,0.0,0.605,1.27346,5.5,5,1.7984,338.92,403,92.6
6.31,20.7,0.0,0.515,0.03738,6.75,5,6.4584,389.4,224,38.5
5.927,19.6,25.0,0.453,0.10328,9.22,8,6.932,396.9,284,47.2
5.961,20.5,0.0,0.581,0.09299,17.93,2,2.0869,378.09,188,92.9
6.202,10.9,0.0,0.679,37.6619,14.52,24,1.8629,18.82,666,78.7
6.749,13.4,0.0,0.713,6.71772,17.44,24,2.3236,0.32,666,92.6
6.976,23.9,0.0,0.573,0.06076,5.64,1,2.1675,396.9,273,91.0
5.935,23.1,0.0,0.538,1.05393,6.58,4,4.4986,386.85,307,29.3
7.203,33.8,20.0,0.647,0.54011,9.59,5,2.1121,392.8,264,81.8
6.43,28.7,0.0,0.458,0.02985,5.21,3,6.0622,394.12,222,58.7
7.412,31.7,0.0,0.504,0.46296,5.25,8,3.6715,376.14,307,76.9
5.852,6.3,0.0,0.693,9.91655,29.97,24,1.5004,338.16,666,77.8
5.602,19.4,0.0,0.448,0.21977,16.2,3,6.0877,396.9,233,62.0
7.107,30.3,80.0,0.404,0.04666,8.61,2,7.309,354.31,329,36.6
7.061,25.0,0.0,0.532,5.73116,7.01,24,3.4106,395.28,666,77.0
6.546,29.4,0.0,0.51,0.06664,5.33,5,3.1323,390.96,296,33.1
6.826,33.1,40.0,0.447,0.06127,4.16,4,4.8628,393.45,254,27.6
6.169,25.3,0.0,0.448,0.1415,5.81,3,5.7209,383.37,233,6.6
6.229,19.6,0.0,0.532,4.03841,12.87,24,3.0993,395.33,666,90.7
6.127,22.7,0.0,0.77,5.20177,11.48,24,2.7227,395.43,666,83.4
5.985,19.0,0.0,0.515,0.05497,9.74,5,4.8122,396.9,224,45.4
6.871,24.8,70.0,0.4,0.04417,6.07,5,7.8278,390.86,358,47.4
7.163,31.6,0.0,0.504,0.41238,6.36,8,3.2157,372.08,307,79.9
5.57,13.6,0.0,0.538,1.25179,21.02,4,3.7979,376.57,307,98.1
4.97,50.0,0.0,0.631,4.89822,3.26,24,1.3325,375.52,666,100.0
5.627,12.8,0.0,0.74,9.39063,22.88,24,1.8172,396.9,666,93.9
6.513,20.2,0.0,0.713,5.82115,10.29,24,2.8016,393.82,666,89.9
5.701,13.1,0.0,0.538,1.15172,18.35,4,3.7872,358.77,307,95.0
5.976,12.7,0.0,0.713,4.66883,19.01,24,2.5806,10.48,666,87.9
5.851,19.5,0.0,0.52,0.13262,16.47,5,2.1069,394.05,384,96.7
5.905,20.6,0.0,0.583,4.83567,11.45,24,3.1523,388.22,666,53.2
4.903,11.8,0.0,0.871,2.77974,29.29,5,1.3459,396.9,403,97.8
6.38,9.5,0.0,0.679,9.33889,24.08,24,1.9682,60.72,666,95.6
5.857,13.3,0.0,0.624,0.2498,21.32,4,1.6686,392.04,437,98.2
7.645,46.0,20.0,0.4429,0.06129,3.01,5,5.2119,377.07,216,49.7
5.456,20.2,0.0,0.538,0.80271,11.69,4,3.7965,288.99,307,36.6
5.52,12.3,0.0,0.7,7.99248,24.56,24,1.5331,396.9,666,100.0
6.23,20.1,80.0,0.385,0.01965,12.93,1,9.0892,341.6,241,31.5
5.617,17.2,0.0,0.597,7.40389,26.4,24,1.4547,314.64,666,97.9
6.335,18.1,0.0,0.624,0.55778,16.96,4,2.1107,394.67,437,98.2
6.004,18.9,12.5,0.524,0.17004,17.1,5,6.5921,386.71,311,85.9
5.012,15.3,0.0,0.871,1.12658,12.12,5,1.6102,343.28,403,88.0
6.794,13.3,0.0,0.671,9.82349,21.24,24,1.358,396.9,666,98.8
6.453,22.0,55.0,0.389,0.01096,8.23,1,7.3073,394.72,300,31.9
6.842,30.1,20.0,0.647,0.65665,6.9,5,2.0107,391.93,264,100.0
6.417,22.6,0.0,0.489,0.04684,8.81,2,3.0923,392.18,270,66.1
6.019,21.2,0.0,0.585,0.23912,12.92,6,2.4091,396.9,391,65.3
6.854,32.0,40.0,0.447,0.09604,2.98,4,4.2673,396.9,254,42.8
5.757,15.0,0.0,0.597,51.1358,10.11,24,1.413,2.6,666,100.0
6.317,19.5,0.0,0.713,6.65492,13.99,24,2.7344,396.9,666,83.0
6.982,33.1,34.0,0.433,0.1,4.86,7,5.4917,390.43,329,17.7
6.312,23.0,0.0,0.493,0.30347,6.15,5,5.4159,396.9,287,28.9
7.287,33.3,80.0,0.404,0.04011,4.08,2,7.309,396.9,329,34.1
5.304,10.4,0.0,0.679,25.9406,26.64,24,1.6475,127.36,666,89.1
5.896,8.3,0.0,0.679,15.8603,24.39,24,1.9096,7.68,666,95.4
7.185,34.9,45.0,0.437,0.0837,5.39,5,4.5667,396.9,398,38.9
8.337,41.7,0.0,0.507,0.57529,2.47,8,3.8384,385.91,307,73.3
5.787,19.4,80.0,0.398,0.04379,10.24,4,6.6115,396.9,337,31.1
6.471,13.1,0.0,0.693,8.71675,17.12,24,1.7257,391.98,666,98.8
5.834,19.9,0.0,0.538,0.62739,8.47,4,4.4986,395.62,307,56.5
6.482,29.1,40.0,0.447,0.07978,7.19,4,4.1403,396.9,254,32.1
6.833,14.1,0.0,0.584,10.0623,19.69,24,2.0882,81.33,666,94.3
6.431,18.0,0.0,0.624,0.32543,15.39,4,1.8125,396.9,437,98.8
8.78,21.9,0.0,0.718,3.47428,5.29,24,1.9047,354.55,666,82.9
6.762,25.0,25.0,0.453,0.1265,9.5,8,7.9809,395.58,284,43.4
7.147,36.2,0.0,0.458,0.06905,5.33,3,6.0622,396.9,222,54.2
6.047,14.8,0.0,0.538,0.95577,17.28,4,4.4534,306.38,307,88.8
6.245,23.4,0.0,0.413,0.19539,7.54,4,5.2873,377.17,305,6.2
5.888,18.9,75.0,0.41,0.0136,14.8,3,7.3197,396.9,469,47.6
5.709,19.4,0.0,0.871,2.14918,15.79,5,1.6232,261.95,403,98.5
5.813,14.5,0.0,0.538,0.98843,19.88,4,4.0952,394.54,307,100.0
6.223,10.2,0.0,0.671,17.8667,21.78,24,1.3861,393.74,666,100.0
5.682,19.3,0.0,0.448,0.17142,10.21,3,5.1004,396.9,233,33.8
6.556,29.8,45.0,0.437,0.12579,4.56,5,4.5667,382.84,398,29.1
5.637,14.3,0.0,0.624,0.88125,18.34,4,1.9799,396.9,437,94.7
5.631,16.5,12.5,0.524,0.21124,29.93,5,6.0821,386.63,311,100.0
5.987,5.6,0.0,0.693,25.0461,26.77,24,1.5888,396.9,666,100.0
6.575,24.0,18.0,0.538,0.00632,4.98,1,4.09,396.9,296,65.2
5.536,11.3,0.0,0.7,9.18702,23.6,24,1.5804,396.9,666,100.0
5.874,20.3,0.0,0.437,0.08387,9.1,5,4.5026,396.06,398,36.6
6.051,23.2,0.0,0.7,5.29305,18.76,24,2.1678,378.38,666,82.5
6.437,23.2,0.0,0.58,3.56868,14.36,24,2.8965,393.37,666,75.0
7.358,31.5,0.0,0.507,0.51183,4.73,8,4.148,390.07,307,71.6
6.402,22.3,0.0,0.605,2.44953,11.32,5,2.2625,330.04,403,95.2
7.52,43.1,20.0,0.647,0.53412,7.26,5,2.1398,388.37,264,89.4
5.604,26.4,0.0,0.488,0.08308,13.98,3,2.9879,391.0,193,89.8
5.468,15.6,0.0,0.871,4.0974,26.42,5,1.4118,396.9,403,100.0
4.973,16.1,0.0,0.544,2.63548,12.64,4,2.5194,350.45,304,37.8
6.567,23.8,0.0,0.544,0.3692,9.28,4,3.6023,395.69,304,87.3
6.416,23.6,0.0,0.51,0.09178,9.04,5,2.6463,395.5,296,84.1
6.12,20.6,0.0,0.573,0.04527,9.08,1,2.2875,396.9,273,76.7
6.606,23.3,30.0,0.428,0.09252,7.37,6,6.1899,383.78,300,42.2
6.145,23.3,25.0,0.453,0.15445,6.86,8,7.8148,390.68,284,29.2
5.837,10.2,0.0,0.584,12.2472,15.69,24,1.9976,24.65,666,59.7
6.38,13.1,0.0,0.671,23.6482,23.69,24,1.3861,396.9,666,96.2
7.104,33.0,17.5,0.4161,0.01951,8.05,3,9.2229,393.24,216,59.5
6.655,15.2,0.0,0.713,5.44114,17.73,24,2.3552,355.29,666,98.2
6.209,23.2,52.5,0.405,0.03871,7.14,6,7.3172,396.9,293,31.3
6.604,29.1,60.0,0.401,0.01439,4.38,1,6.2196,376.7,265,18.8
6.579,24.1,60.0,0.411,0.0795,5.49,4,10.7103,370.78,411,35.9
6.122,21.5,0.0,0.871,1.6566,14.1,5,1.618,372.8,403,97.3
6.167,22.9,25.0,0.426,0.03551,7.51,4,5.4007,390.64,281,46.7
5.019,14.4,0.0,0.624,1.62864,34.41,4,1.4394,396.9,437,100.0
6.461,9.6,0.0,0.74,14.4208,18.05,24,2.0026,27.49,666,93.3
6.425,16.1,0.0,0.584,6.44405,12.03,24,2.2004,97.95,666,74.8
6.794,22.0,0.0,0.573,0.10959,6.48,1,2.3889,393.45,273,89.3
7.135,32.9,95.0,0.403,0.01778,4.45,3,7.6534,384.3,402,13.9
6.525,14.1,0.0,0.713,4.75237,18.13,24,2.4358,50.92,666,86.5
6.968,10.4,0.0,0.671,88.9762,17.21,24,1.4165,396.9,666,91.9
6.144,36.2,0.0,0.488,0.06888,9.45,3,2.5979,396.9,193,62.2
6.083,22.2,0.0,0.493,0.24103,12.79,5,5.4159,396.9,287,43.7
5.981,24.3,0.0,0.504,0.537,11.65,8,3.6715,378.35,307,68.1
6.481,23.7,30.0,0.428,0.08244,6.36,6,6.1899,379.41,300,18.5
7.47,43.5,20.0,0.575,0.5405,3.16,5,2.872,390.3,264,52.6
4.628,17.9,0.0,0.597,18.811,34.37,24,1.5539,28.79,666,100.0
6.162,24.1,82.5,0.415,0.03445,7.43,2,6.27,393.77,348,38.4
5.983,20.1,0.0,0.609,0.11132,13.35,4,2.1099,396.9,711,83.5
6.383,24.7,85.0,0.41,0.02055,5.77,2,9.1876,396.9,313,35.7
7.853,48.5,95.0,0.4161,0.0351,3.81,4,5.118,392.78,224,33.2
6.718,26.2,22.0,0.431,0.19073,6.56,7,7.8265,393.74,330,17.5
