chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed acidity,volatile acidity,citric acid,residual sugar,wine_id,wine_id_r
0.074,38.0,76.0,0.999,3.17,0.85,12.0,7.0,10.4,0.44,0.73,6.55,323116.0,323116.0
0.091,18.0,48.0,0.9994,3.22,0.64,10.3,6.0,10.4,0.55,0.23,2.7,846392.0,846392.0
0.0969999999999999,22.0,89.0,0.9959,3.34,0.54,9.2,6.0,7.0,0.69,0.08,1.8,970152.0,970152.0
0.081,15.0,115.0,0.998,3.23,0.59,9.5,5.0,9.2,0.58,0.2,3.0,120735.0,120735.0
0.095,21.0,101.0,1.0001,3.13,0.51,9.5,5.0,11.1,0.39,0.54,2.7,386690.0,386690.0
0.094,5.0,31.0,0.9993,3.67,0.8,9.7,5.0,7.2,0.65,0.02,2.3,244748.0,244748.0
0.062,37.0,53.0,0.99374,3.35,0.76,11.6,7.0,6.6,0.58,0.02,2.0,238058.0,238058.0
0.084,9.0,26.0,0.9976,3.39,0.49,9.7,5.0,7.7,0.705,0.1,2.6,802096.0,802096.0
0.06,19.0,72.0,0.99543,3.39,0.72,11.8,6.0,8.8,0.3,0.38,2.3,561951.0,561951.0
0.089,12.0,32.0,0.99735,3.36,0.61,10.0,5.0,8.0,0.59,0.05,2.0,829231.0,829231.0
0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6.0,8.2,1.0,0.09,2.3,128089.0,128089.0
0.084,13.0,31.0,0.99538,3.36,0.54,10.5,6.0,7.5,0.51,0.02,1.7,737215.0,737215.0
0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5.0,7.8,0.59,0.18,2.3,424454.0,424454.0
0.0579999999999999,18.0,38.0,0.99518,3.16,0.85,11.1,6.0,8.5,0.47,0.27,1.9,853362.0,853362.0
0.08,11.0,27.0,0.9974,3.21,0.8,9.4,6.0,8.3,0.26,0.42,2.0,274351.0,274351.0
0.067,7.0,25.0,0.99628,3.24,0.44,10.4,5.0,7.5,0.42,0.32,2.7,753346.0,753346.0
0.106,14.0,27.0,0.99665,3.44,0.58,10.2,5.0,6.6,0.7,0.08,2.6,564190.0,564190.0
0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5.0,6.8,0.67,0.02,1.8,793715.0,793715.0
0.072,32.0,64.0,0.99491,3.43,0.56,11.2,6.0,6.8,0.57,0.0,2.5,338988.0,338988.0
0.039,15.0,88.0,0.99357,3.66,0.6,11.5,6.0,5.8,1.01,0.66,2.0,495376.0,495376.0
0.069,26.0,46.0,0.99358,3.47,0.45,11.0,5.0,6.1,0.64,0.02,2.4,980379.0,980379.0
0.093,11.0,75.0,0.99736,3.2,0.59,9.2,4.0,8.4,0.67,0.19,2.2,851781.0,851781.0
0.0559999999999999,9.0,24.0,0.99695,3.22,0.82,10.3,7.0,9.6,0.32,0.47,1.4,706668.0,706668.0
0.065,34.0,45.0,0.99417,3.46,0.74,12.7,8.0,7.8,0.57,0.09,2.3,258890.0,258890.0
0.079,6.0,9.0,0.9948,3.59,0.54,11.5,6.0,6.1,0.56,0.0,2.2,356301.0,356301.0
0.091,10.0,41.0,0.99638,3.18,0.69,11.9,6.0,9.9,0.44,0.46,2.2,494438.0,494438.0
0.078,7.0,18.0,0.99592,3.27,0.62,9.3,5.0,7.1,0.56,0.14,1.6,995953.0,995953.0
0.077,26.0,35.0,0.99314,3.32,0.82,11.6,6.0,6.3,0.55,0.15,1.8,920080.0,920080.0
0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6.0,6.4,0.37,0.25,1.9,117335.0,117335.0
0.07,10.0,35.0,0.99575,3.34,0.57,10.0,5.0,8.0,0.52,0.03,1.7,945896.0,945896.0
0.143,7.0,23.0,0.9964,3.35,0.65,10.2,7.0,7.7,0.915,0.12,2.2,432984.0,432984.0
0.05,4.0,8.0,0.9951,3.4,0.64,11.0,7.0,7.5,0.27,0.34,2.3,583176.0,583176.0
0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5.0,9.9,0.59,0.07,3.4,923090.0,923090.0
0.079,7.0,34.0,0.99788,3.36,0.61,10.5,5.0,8.3,0.43,0.3,3.4,534557.0,534557.0
0.235,66.0,115.0,0.99787,3.22,0.56,9.5,5.0,6.9,0.63,0.33,6.7,550950.0,550950.0
0.08,26.0,86.0,0.9987,3.38,0.62,9.5,6.0,9.0,0.43,0.34,2.5,997022.0,997022.0
0.074,5.0,20.0,0.9973,3.32,0.81,9.6,6.0,7.2,0.52,0.07,1.4,841295.0,841295.0
0.051,28.0,91.0,0.9952,3.44,0.55,12.1,6.0,6.5,0.39,0.23,8.3,990067.0,990067.0
0.071,6.0,10.0,0.9968,3.2,0.72,10.2,7.0,11.8,0.26,0.52,1.8,660270.0,660270.0
0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6.0,10.0,0.49,0.2,11.0,430343.0,430343.0
0.066,18.0,47.0,0.9956,3.37,0.62,10.4,5.0,7.4,0.41,0.24,1.8,252215.0,252215.0
0.077,5.0,13.0,0.9976,3.29,0.55,10.4,5.0,9.0,0.66,0.17,3.0,444631.0,444631.0
0.062,8.0,22.0,0.9974,3.22,0.94,10.9,6.0,8.2,0.24,0.34,5.1,952297.0,952297.0
0.078,32.0,58.0,0.998,3.33,0.54,9.8,5.0,8.5,0.46,0.31,2.25,470069.0,470069.0
0.052,6.0,11.0,0.99318,3.35,0.66,12.7,7.0,7.1,0.66,0.0,2.4,747305.0,747305.0
0.087,21.0,68.0,0.9955,3.12,0.44,9.2,5.0,7.6,0.79,0.21,2.3,715594.0,715594.0
0.098,10.0,26.0,1.0006,3.48,0.91,9.7,5.0,10.0,0.29,0.4,2.9,477280.0,477280.0
0.422,16.0,62.0,0.9979,3.03,1.17,9.0,5.0,8.6,0.49,0.51,2.0,989415.0,989415.0
0.111,7.0,60.0,0.99709,2.94,0.98,10.2,5.0,9.9,0.54,0.26,2.0,999901.0,999901.0
0.084,13.0,31.0,0.99538,3.36,0.54,10.5,6.0,7.5,0.51,0.02,1.7,980114.0,980114.0
0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6.0,6.9,0.605,0.12,10.7,336627.0,336627.0
0.091,12.0,48.0,0.99888,3.31,0.54,9.5,6.0,9.2,0.67,0.1,3.0,860698.0,860698.0
0.081,12.0,24.0,0.99798,3.38,0.46,9.6,4.0,8.1,0.73,0.0,2.5,705087.0,705087.0
0.08,35.0,70.0,0.99693,3.44,0.5,9.4,5.0,7.1,0.36,0.3,1.6,168193.0,168193.0
0.071,14.0,24.0,0.99428,3.45,0.87,11.2,7.0,6.2,0.39,0.43,2.0,737599.0,737599.0
0.172,7.0,19.0,0.994,3.5,0.48,9.8,4.0,5.7,1.13,0.09,1.5,929491.0,929491.0
0.083,30.0,45.0,0.9959,3.26,0.58,10.0,5.0,6.9,0.4,0.24,2.5,259042.0,259042.0
0.078,24.0,56.0,0.9984,3.31,0.67,10.6,6.0,9.3,0.775,0.27,2.8,454474.0,454474.0
0.069,4.0,8.0,0.99396,3.33,0.37,10.4,4.0,6.6,0.61,0.0,1.6,633263.0,633263.0
0.067,4.0,11.0,0.997,3.46,0.68,9.5,5.0,6.4,0.57,0.02,1.8,931879.0,931879.0
0.087,20.0,53.0,1.0004,3.14,0.61,9.4,5.0,9.7,0.55,0.17,2.9,225095.0,225095.0
0.1119999999999999,11.0,22.0,0.9963,3.26,0.5,9.5,5.0,7.7,0.965,0.1,2.1,870508.0,870508.0
0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6.0,7.1,0.6,0.0,1.8,212772.0,212772.0
0.0969999999999999,19.0,27.0,0.99596,3.16,0.49,9.4,5.0,7.7,0.39,0.12,1.7,709407.0,709407.0
0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7.0,8.1,0.38,0.28,2.1,646753.0,646753.0
0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5.0,8.1,0.785,0.52,2.0,655813.0,655813.0
0.073,19.0,25.0,0.99258,3.56,0.55,12.9,5.0,5.6,0.605,0.05,2.4,674543.0,674543.0
0.064,21.0,37.0,0.9952,3.35,0.77,12.1,7.0,7.3,0.34,0.33,2.5,681754.0,681754.0
0.08,25.0,105.0,0.99613,3.3,0.49,9.9,5.0,8.0,0.6,0.22,2.1,411220.0,411220.0
0.08,12.0,57.0,0.9978,3.3,0.47,9.0,6.0,8.2,0.34,0.38,2.5,102389.0,102389.0
0.12,23.0,77.0,1.0018,3.18,0.77,13.0,5.0,13.5,0.53,0.79,4.8,215496.0,215496.0
0.107,31.0,67.0,0.99668,3.26,0.46,9.2,5.0,7.8,0.87,0.26,3.8,961503.0,961503.0
0.122,34.0,151.0,1.001,3.31,1.14,9.3,5.0,8.5,0.655,0.49,6.1,544930.0,544930.0
0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5.0,8.1,0.575,0.22,2.1,696584.0,696584.0
0.084,25.0,130.0,0.99818,3.23,0.54,9.6,5.0,8.8,0.64,0.17,2.9,322729.0,322729.0
0.084,13.0,31.0,0.99538,3.36,0.54,10.5,6.0,7.5,0.51,0.02,1.7,921369.0,921369.0
0.095,25.0,99.0,0.995,3.35,0.54,10.1,5.0,7.5,0.6,0.03,1.8,668264.0,668264.0
0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5.0,8.9,0.31,0.57,2.0,254049.0,254049.0
0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6.0,13.7,0.415,0.68,2.9,570996.0,570996.0
0.1119999999999999,11.0,22.0,0.9963,3.26,0.5,9.5,5.0,7.7,0.965,0.1,2.1,619490.0,619490.0
0.068,28.0,38.0,0.99651,3.42,0.82,9.5,6.0,6.8,0.62,0.08,1.9,720042.0,720042.0
0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5.0,7.3,0.67,0.26,1.8,594710.0,594710.0
0.08,25.0,105.0,0.99613,3.3,0.49,9.9,5.0,8.0,0.6,0.22,2.1,820838.0,820838.0
0.122,10.0,41.0,0.998,3.23,0.66,12.5,6.0,10.2,0.36,0.64,2.9,237799.0,237799.0
0.087,26.0,72.0,0.99645,3.39,0.68,11.0,5.0,7.4,0.36,0.29,2.6,904324.0,904324.0
0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6.0,8.0,0.42,0.17,2.0,450029.0,450029.0
0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5.0,7.6,0.41,0.24,1.8,638491.0,638491.0
0.045,12.0,88.0,0.9924,3.56,0.82,12.9,8.0,5.6,0.85,0.05,1.4,928717.0,928717.0
0.08,11.0,119.0,0.99538,3.36,0.7,10.9,5.0,6.7,0.64,0.23,2.1,654101.0,654101.0
0.08,9.0,32.0,0.9974,3.13,0.55,9.5,5.0,10.0,0.58,0.22,1.9,661056.0,661056.0
0.095,13.0,38.0,0.9998,3.28,0.59,9.7,5.0,9.1,0.64,0.23,3.1,150246.0,150246.0
0.122,68.0,124.0,0.9994,3.47,0.53,9.9,5.0,6.6,0.735,0.02,7.9,618317.0,618317.0
0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7.0,8.0,0.59,0.16,1.8,442306.0,442306.0
0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5.0,7.5,0.705,0.24,1.8,210971.0,210971.0
0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6.0,7.0,0.43,0.3,2.0,989037.0,989037.0
0.071,23.0,58.0,0.99633,3.42,0.97,10.6,5.0,6.1,0.32,0.25,2.3,954706.0,954706.0
0.062,3.0,9.0,0.9948,3.14,0.57,11.5,7.0,9.8,0.3,0.39,1.7,297193.0,297193.0
0.087,12.0,93.0,0.9998,3.48,0.54,9.8,5.0,9.2,0.92,0.24,2.6,862696.0,862696.0
0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7.0,12.8,0.3,0.74,2.6,544284.0,544284.0
0.076,8.0,23.0,0.9974,3.26,0.7,9.6,6.0,8.3,0.26,0.37,1.4,930048.0,930048.0
0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6.0,8.1,0.545,0.18,1.9,836216.0,836216.0
0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5.0,7.3,0.38,0.21,2.0,138087.0,138087.0
0.063,6.0,25.0,0.9998,3.12,0.59,9.3,6.0,10.3,0.53,0.48,2.5,717318.0,717318.0
0.062,31.0,54.0,0.99728,3.3,0.65,10.0,7.0,7.3,0.48,0.32,2.1,984333.0,984333.0
0.094,30.0,69.0,0.99787,3.22,0.5,10.0,6.0,8.8,0.61,0.19,4.0,493572.0,493572.0
0.084,18.0,35.0,0.9968,3.44,0.63,10.0,6.0,6.8,0.56,0.03,1.7,326183.0,326183.0
0.075,14.0,27.0,0.99598,3.06,0.84,11.4,6.0,10.5,0.39,0.46,2.2,355807.0,355807.0
0.073,46.0,102.0,0.9964,3.27,0.58,9.5,5.0,7.9,0.35,0.21,1.9,710908.0,710908.0
0.084,8.0,24.0,0.99578,2.88,0.47,9.7,5.0,10.0,0.69,0.11,1.4,588080.0,588080.0
0.086,5.0,32.0,0.99464,3.36,0.44,10.1,5.0,6.1,0.32,0.25,1.8,225250.0,225250.0
0.075,18.0,38.0,0.9933,3.38,0.88,13.6,7.0,7.4,0.36,0.34,1.8,815360.0,815360.0
0.077,16.0,37.0,0.9966,3.37,0.51,10.5,5.0,7.4,0.49,0.19,3.0,151440.0,151440.0
0.068,13.0,19.0,0.996,3.1,0.87,11.4,6.0,10.4,0.43,0.5,2.3,877880.0,877880.0
0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7.0,6.6,0.84,0.03,2.3,691749.0,691749.0
0.086,24.0,69.0,0.99556,3.4,0.53,10.1,6.0,7.0,0.36,0.21,2.4,793867.0,793867.0
0.123,3.0,8.0,0.99642,3.2,0.53,11.9,6.0,11.3,0.36,0.66,2.4,857709.0,857709.0
0.054,5.0,27.0,0.9934,3.57,0.84,12.5,7.0,5.3,0.57,0.01,1.7,598030.0,598030.0
0.078,16.0,86.0,0.99743,3.53,0.57,9.7,5.0,7.2,0.66,0.03,2.3,491732.0,491732.0
0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5.0,7.9,0.43,0.21,1.6,473368.0,473368.0
0.083,5.0,15.0,1.0,3.19,0.43,9.2,5.0,11.7,0.49,0.49,2.2,457008.0,457008.0
0.073,7.0,23.0,0.99974,3.21,0.69,10.9,6.0,11.7,0.45,0.63,2.2,539184.0,539184.0
0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4.0,7.6,0.68,0.02,1.3,739460.0,739460.0
0.094,41.0,110.0,0.9982,3.08,0.61,9.2,5.0,9.0,0.54,0.49,2.9,736334.0,736334.0
0.078,26.0,44.0,0.99522,3.42,0.68,10.8,6.0,7.1,0.59,0.0,2.2,439180.0,439180.0
0.1,15.0,77.0,0.9966,3.27,0.64,9.3,5.0,7.1,0.735,0.16,1.9,303374.0,303374.0
0.119,34.0,68.0,0.99708,3.23,0.72,10.9,6.0,10.6,0.5,0.45,2.6,794933.0,794933.0
0.077,32.0,133.0,0.9956,3.27,0.45,9.9,5.0,7.7,0.64,0.21,2.2,308093.0,308093.0
0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5.0,8.0,0.745,0.56,2.0,581789.0,581789.0
0.079,19.0,58.0,0.9991,3.18,0.56,10.1,6.0,10.0,0.56,0.24,2.2,820472.0,820472.0
0.06,21.0,55.0,0.99495,3.18,0.82,11.0,7.0,9.1,0.36,0.39,1.8,376907.0,376907.0
0.079,19.0,41.0,0.99697,3.39,0.62,10.1,6.0,7.7,0.6,0.06,2.0,301001.0,301001.0
0.081,16.0,36.0,0.99564,3.38,0.6,10.3,6.0,7.2,0.57,0.05,2.3,357903.0,357903.0
0.107,5.0,13.0,0.998,3.28,0.83,11.5,5.0,10.3,0.44,0.5,4.5,394461.0,394461.0
0.083,6.0,20.0,0.9963,3.29,0.6,10.2,6.0,7.7,0.61,0.18,2.4,942398.0,942398.0
0.087,3.0,11.0,0.99378,3.71,0.63,12.8,7.0,5.6,0.66,0.0,2.2,927973.0,927973.0
0.078,17.0,38.0,0.9963,3.34,0.74,11.7,7.0,7.9,0.65,0.01,2.5,583105.0,583105.0
0.075,15.0,39.0,0.9956,3.56,0.52,12.7,6.0,6.3,0.36,0.19,3.2,559620.0,559620.0
0.083,14.0,23.0,0.9976,3.35,0.61,11.3,6.0,9.2,0.43,0.52,2.3,131662.0,131662.0
0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6.0,7.3,0.66,0.0,2.0,667916.0,667916.0
0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5.0,9.9,0.59,0.07,3.4,798732.0,798732.0
0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5.0,7.7,0.62,0.04,3.8,335880.0,335880.0
0.066,26.0,51.0,0.99456,3.38,0.72,11.8,6.0,8.5,0.37,0.32,1.8,128783.0,128783.0
0.075,6.0,25.0,0.99581,3.09,0.43,9.7,6.0,8.4,0.39,0.1,1.7,193512.0,193512.0
0.171,27.0,66.0,0.9982,3.17,0.76,10.8,6.0,10.8,0.47,0.43,2.1,180430.0,180430.0
0.067,9.0,23.0,0.997,3.47,0.67,9.4,6.0,7.0,0.64,0.02,2.1,494605.0,494605.0
0.081,8.0,30.0,0.9984,3.23,0.58,10.5,6.0,9.8,0.51,0.19,3.2,132847.0,132847.0
0.084,12.0,31.0,0.9979,3.4,0.48,9.9,5.0,8.6,0.8,0.11,2.3,799366.0,799366.0
0.092,13.0,26.0,0.99647,3.46,0.47,10.0,5.0,6.0,0.5,0.04,2.2,870014.0,870014.0
0.072,31.0,92.0,0.99566,3.32,0.68,11.066666666666698,6.0,7.3,0.67,0.02,2.2,814196.0,814196.0
0.063,29.0,44.0,0.99489,3.38,0.83,10.3,6.0,6.5,0.53,0.06,2.0,286606.0,286606.0
0.07,23.0,149.0,0.9922,3.12,0.5,11.5,6.0,6.6,0.39,0.49,1.7,437843.0,437843.0
0.098,5.0,15.0,0.9988,3.36,0.49,9.1,5.0,8.8,0.6,0.29,2.2,679962.0,679962.0
0.083,7.0,42.0,1.0022,3.07,0.73,10.0,7.0,12.8,0.615,0.66,5.8,999928.0,999928.0
0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5.0,7.5,0.77,0.2,8.1,772359.0,772359.0
0.064,13.0,29.0,0.99397,3.42,0.62,11.7,7.0,6.6,0.56,0.14,2.4,418050.0,418050.0
0.048,16.0,89.0,0.99182,3.54,0.88,13.566666666666698,7.0,5.3,0.47,0.11,2.2,822696.0,822696.0
0.068,7.0,27.0,0.9988,3.06,0.68,11.3,6.0,11.9,0.4,0.65,2.15,768429.0,768429.0
0.078,33.0,89.0,0.99678,3.26,0.46,9.6,6.0,8.1,0.53,0.22,2.2,442699.0,442699.0
0.08,8.0,33.0,0.99845,3.68,0.71,9.6,5.0,6.9,0.67,0.06,2.1,797535.0,797535.0
0.065,4.0,8.0,0.99674,3.33,0.62,12.2,6.0,10.0,0.46,0.44,2.9,222752.0,222752.0
0.08,11.0,63.0,0.99652,3.29,0.48,9.8,4.0,8.0,0.83,0.27,2.0,487927.0,487927.0
0.086,17.0,45.0,0.9976,3.46,0.54,9.5,5.0,7.1,0.66,0.0,3.9,961530.0,961530.0
0.079,39.0,55.0,0.9956,3.39,0.84,11.4,6.0,7.0,0.54,0.0,2.1,224845.0,224845.0
0.1,7.0,27.0,0.9967,3.2,0.56,10.2,6.0,8.6,0.53,0.22,2.0,815765.0,815765.0
0.071,6.0,14.0,0.99702,3.21,0.49,11.8,7.0,10.0,0.41,0.45,6.2,673787.0,673787.0
0.0579999999999999,5.0,10.0,0.9977,3.18,0.63,10.4,6.0,9.1,0.6,0.0,1.9,507711.0,507711.0
0.083,33.0,75.0,0.9968,3.4,0.58,9.5,6.0,7.2,0.35,0.26,1.8,846163.0,846163.0
0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5.0,7.3,0.45,0.36,5.9,712462.0,712462.0
0.076,12.0,20.0,0.99546,3.29,0.54,10.1,5.0,7.2,0.695,0.13,2.0,647453.0,647453.0
0.067,22.0,50.0,0.9946,3.38,0.6,11.9,6.0,8.0,0.25,0.43,1.7,711536.0,711536.0
0.057,14.0,36.0,0.99614,3.23,0.49,9.3,4.0,10.2,0.23,0.37,2.2,857849.0,857849.0
0.079,16.0,86.0,0.99764,3.34,0.64,9.5,6.0,8.2,0.51,0.24,2.0,149335.0,149335.0
0.083,21.0,64.0,0.99642,3.16,0.53,9.4,5.0,7.8,0.82,0.29,4.3,550045.0,550045.0
0.093,19.0,58.0,1.0002,3.5,0.65,9.3,6.0,8.2,0.59,0.0,2.5,780642.0,780642.0
0.0819999999999999,23.0,143.0,0.9978,3.28,0.55,9.4,5.0,9.4,0.685,0.26,2.4,132564.0,132564.0
0.098,12.0,42.0,1.0004,3.16,0.61,10.3,5.0,11.9,0.38,0.49,2.7,375347.0,375347.0
0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7.0,7.8,0.58,0.02,2.0,544430.0,544430.0
0.012,36.0,100.0,0.99064,3.26,0.39,11.7,7.0,6.7,0.28,0.28,2.4,637241.0,637241.0
0.065,16.0,20.0,0.99672,3.61,0.82,10.0,6.0,7.0,0.22,0.3,1.8,396167.0,396167.0
0.066,27.0,55.0,0.99655,3.39,0.51,9.3,5.0,7.6,0.665,0.1,1.5,159443.0,159443.0
0.078,14.0,104.0,0.9976,3.28,0.62,9.4,5.0,8.2,0.56,0.23,3.4,965966.0,965966.0
0.075,6.0,20.0,0.9977,3.18,1.06,11.0,6.0,10.4,0.24,0.49,1.8,938968.0,938968.0
0.0819999999999999,5.0,14.0,0.9987,3.29,0.52,10.7,6.0,9.4,0.5,0.34,3.6,106763.0,106763.0
0.085,5.0,17.0,0.99683,3.17,0.65,10.6,7.0,10.1,0.37,0.34,2.4,385306.0,385306.0
0.08,8.0,25.0,0.99746,3.69,0.73,10.5,5.0,6.6,0.61,0.01,1.9,687438.0,687438.0
0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,5.0,8.1,0.67,0.55,1.8,881027.0,881027.0
0.08,29.0,58.0,0.9974,3.31,0.64,10.3,5.0,7.8,0.43,0.32,2.8,302698.0,302698.0
0.054,6.0,17.0,0.9976,3.17,0.47,10.0,5.0,10.2,0.67,0.39,1.9,833462.0,833462.0
0.077,3.0,15.0,0.9994,3.2,0.78,9.6,5.0,10.0,0.32,0.59,2.2,458583.0,458583.0
0.094,30.0,69.0,0.99787,3.22,0.5,10.0,6.0,8.8,0.61,0.19,4.0,873837.0,873837.0
0.118,6.0,14.0,0.9982,3.3,0.75,9.8,6.0,10.9,0.39,0.47,1.8,551492.0,551492.0
0.063,10.0,19.0,0.99468,3.3,0.73,12.0,7.0,8.7,0.33,0.38,3.3,434833.0,434833.0
0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6.0,8.8,0.55,0.04,2.2,373742.0,373742.0
